,G,Opponent,Home_away,Tm,Opp
0,1,Cleveland Cavaliers,0,104,107
1,2,New Jersey Nets,1,111,103
2,3,Philadelphia 76ers,1,104,103
3,4,New York Knicks,0,123,106
4,5,Phoenix Suns,0,114,107
5,6,Chicago Bulls,0,99,88
6,7,Kansas City Kings,1,102,104
7,8,Golden State Warriors,0,105,102
8,9,Washington Bullets,0,97,108
9,10,Denver Nuggets,1,112,115
10,11,Phoenix Suns,1,111,127
11,12,Los Angeles Lakers,1,107,123
12,13,Seattle SuperSonics,1,83,117
13,14,New York Knicks,1,105,108
14,15,Seattle SuperSonics,0,127,116
15,16,Houston Rockets,1,103,101
16,17,Indiana Pacers,0,123,108
17,18,Denver Nuggets,0,131,129
18,19,Kansas City Kings,0,115,106
19,20,Chicago Bulls,1,87,95
21,21,Philadelphia 76ers,0,114,117
22,22,San Antonio Spurs,1,118,133
23,23,Buffalo Braves,1,90,113
24,24,Indiana Pacers,1,103,118
25,25,Washington Bullets,1,97,101
26,26,Detroit Pistons,1,86,104
27,27,Los Angeles Lakers,0,117,94
28,28,Phoenix Suns,0,113,126
29,29,Kansas City Kings,1,93,115
30,30,Detroit Pistons,0,108,117
31,31,New Jersey Nets,0,131,110
32,32,San Antonio Spurs,0,105,115
33,33,Cleveland Cavaliers,1,113,102
34,34,New York Knicks,1,116,118
35,35,Indiana Pacers,0,103,104
36,36,Milwaukee Bucks,1,116,109
37,37,Atlanta Hawks,0,96,94
38,38,Portland Trail Blazers,1,100,122
39,39,Denver Nuggets,1,110,115
40,40,Phoenix Suns,1,99,142
42,41,Golden State Warriors,1,118,111
43,42,Houston Rockets,0,99,95
44,43,Atlanta Hawks,1,108,106
45,44,Portland Trail Blazers,0,101,100
46,45,Detroit Pistons,0,100,97
47,46,Boston Celtics,0,96,91
48,47,Kansas City Kings,0,134,117
49,48,Indiana Pacers,1,107,91
50,49,Buffalo Braves,0,114,95
51,50,Chicago Bulls,0,117,111
52,51,Cleveland Cavaliers,1,99,122
53,52,Philadelphia 76ers,1,104,117
54,53,Detroit Pistons,1,96,106
55,54,Houston Rockets,0,112,119
56,55,Chicago Bulls,1,95,102
57,56,Milwaukee Bucks,1,99,112
58,57,Atlanta Hawks,0,102,111
59,58,Washington Bullets,1,111,130
60,59,Golden State Warriors,0,116,91
61,60,Cleveland Cavaliers,0,101,98
63,61,Milwaukee Bucks,0,120,122
64,62,Buffalo Braves,0,125,108
65,63,Boston Celtics,0,101,100
66,64,Boston Celtics,1,113,116
67,65,Seattle SuperSonics,0,113,104
68,66,San Antonio Spurs,1,97,98
69,67,Portland Trail Blazers,0,84,82
70,68,Buffalo Braves,1,108,120
71,69,New Jersey Nets,1,105,99
72,70,Portland Trail Blazers,1,109,103
73,71,Seattle SuperSonics,1,98,123
74,72,Golden State Warriors,1,96,88
75,73,New Jersey Nets,0,117,114
76,74,Washington Bullets,0,109,124
77,75,Atlanta Hawks,1,94,96
78,76,Denver Nuggets,0,100,109
79,77,Los Angeles Lakers,0,103,108
80,78,New York Knicks,0,116,117
81,79,Boston Celtics,1,108,119
82,80,Philadelphia 76ers,0,120,119
84,81,Houston Rockets,1,117,114
85,82,San Antonio Spurs,0,153,132
