,G,Opponent,Home_away,Tm,Opp
0,1,Portland Trail Blazers,0,110,102
1,2,Portland Trail Blazers,0,105,90
2,3,Portland Trail Blazers,1,91,94
3,4,Portland Trail Blazers,1,90,98
4,5,Portland Trail Blazers,0,102,64
6,6,San Antonio Spurs,1,95,75
7,7,San Antonio Spurs,1,77,88
8,8,San Antonio Spurs,0,105,75
9,9,San Antonio Spurs,0,101,86
10,10,San Antonio Spurs,1,87,98
11,11,San Antonio Spurs,0,108,81
13,12,Seattle SuperSonics,1,72,102
14,13,Seattle SuperSonics,1,87,91
15,14,Seattle SuperSonics,0,96,76
16,15,Seattle SuperSonics,0,86,88
17,16,Seattle SuperSonics,1,98,95
18,17,Seattle SuperSonics,0,118,83
19,18,Seattle SuperSonics,1,86,90
