,G,Opponent,Home_away,Tm,Opp
0,1,New York Knicks,0,121,98
1,2,Boston Celtics,0,109,125
2,3,Seattle SuperSonics,0,136,125
3,4,San Diego Rockets,1,125,109
4,5,San Francisco Warriors,1,111,124
5,6,Los Angeles Lakers,1,105,118
6,7,St. Louis Hawks,1,103,114
7,8,Philadelphia 76ers,1,111,136
8,9,Detroit Pistons,0,113,115
9,10,Detroit Pistons,1,118,127
10,11,Cincinnati Royals,0,122,100
11,12,Boston Celtics,1,114,115
12,13,Seattle SuperSonics,0,134,129
13,14,San Francisco Warriors,0,123,129
14,15,Los Angeles Lakers,0,116,107
15,16,New York Knicks,1,101,93
16,17,Chicago Bulls,0,100,105
17,18,Boston Celtics,0,126,118
18,19,San Francisco Warriors,0,110,117
19,20,Cincinnati Royals,0,123,109
21,21,Philadelphia 76ers,1,121,130
22,22,New York Knicks,1,117,148
23,23,Los Angeles Lakers,0,125,136
24,24,Boston Celtics,1,108,123
25,25,Philadelphia 76ers,0,109,123
26,26,St. Louis Hawks,1,112,114
27,27,Detroit Pistons,0,140,117
28,28,Cincinnati Royals,1,108,136
29,29,San Francisco Warriors,0,97,110
30,30,St. Louis Hawks,0,117,98
31,31,Chicago Bulls,1,116,108
32,32,Chicago Bulls,0,117,112
33,33,Philadelphia 76ers,0,105,108
34,34,Cincinnati Royals,0,130,113
35,35,Chicago Bulls,1,103,109
36,36,Detroit Pistons,0,113,114
37,37,Chicago Bulls,0,94,113
38,38,Los Angeles Lakers,0,130,127
39,39,Cincinnati Royals,0,121,118
40,40,Cincinnati Royals,1,117,133
42,41,St. Louis Hawks,0,101,108
43,42,Philadelphia 76ers,1,116,133
44,43,Chicago Bulls,1,106,110
45,44,Seattle SuperSonics,0,116,142
46,45,New York Knicks,0,109,111
47,46,St. Louis Hawks,0,116,119
48,47,Boston Celtics,0,118,115
49,48,San Diego Rockets,1,127,113
50,49,San Francisco Warriors,1,125,110
51,50,San Diego Rockets,1,123,122
52,51,Seattle SuperSonics,0,126,135
53,52,New York Knicks,1,134,131
54,53,Detroit Pistons,0,113,108
55,54,Boston Celtics,1,99,120
56,55,Philadelphia 76ers,0,121,133
57,56,Detroit Pistons,1,115,117
58,57,San Diego Rockets,0,121,108
59,58,New York Knicks,0,111,114
60,59,San Diego Rockets,0,106,102
61,60,Detroit Pistons,1,114,109
63,61,San Diego Rockets,0,136,116
64,62,Los Angeles Lakers,0,116,119
65,63,Seattle SuperSonics,0,147,118
66,64,Cincinnati Royals,1,115,117
67,65,St. Louis Hawks,0,127,115
68,66,San Francisco Warriors,0,126,117
69,67,Cincinnati Royals,0,112,99
70,68,St. Louis Hawks,1,110,118
71,69,Detroit Pistons,0,140,132
72,70,New York Knicks,0,122,126
73,71,San Diego Rockets,1,156,114
74,72,San Francisco Warriors,1,109,117
75,73,Los Angeles Lakers,1,114,121
76,74,Seattle SuperSonics,1,126,121
77,75,Seattle SuperSonics,0,122,116
78,76,Los Angeles Lakers,1,119,89
79,77,New York Knicks,1,104,107
80,78,Chicago Bulls,0,96,100
81,79,Philadelphia 76ers,1,115,122
82,80,Boston Celtics,0,111,136
84,81,Boston Celtics,1,147,139
85,82,Philadelphia 76ers,0,119,137
