,G,Opponent,Home_away,Tm,Opp
0,1,Philadelphia 76ers,0,112,126
1,2,Philadelphia 76ers,1,119,107
2,3,Philadelphia 76ers,0,111,103
3,4,Philadelphia 76ers,1,120,105
4,5,Philadelphia 76ers,0,103,104
5,6,Philadelphia 76ers,1,94,98
6,7,Philadelphia 76ers,0,128,120
8,8,New York Knicks,1,111,112
9,9,New York Knicks,1,88,107
10,10,New York Knicks,0,114,88
11,11,New York Knicks,0,101,80
12,12,New York Knicks,1,84,89
13,13,New York Knicks,0,113,96
14,14,New York Knicks,1,93,91
16,15,Milwaukee Bucks,1,88,98
17,16,Milwaukee Bucks,0,83,102
18,17,Milwaukee Bucks,1,99,107
19,18,Milwaukee Bucks,0,106,118
