,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Alaa Abdelnaby,1991,1995,F-C,6-10	,240,"June 24, 1968",Duke University
1,Zaid Abdul-Aziz,1969,1978,C-F,6-9	,235,"April 7, 1946",Iowa State University
2,Kareem Abdul-Jabbar*,1970,1989,C,7-2	,225,"April 16, 1947","University of California, Los Angeles"
3,Mahmoud Abdul-Rauf,1991,2001,G,6-1	,162,"March 9, 1969",Louisiana State University
4,Tariq Abdul-Wahad,1998,2003,F,6-6	,223,"November 3, 1974","University of Michigan, San Jose State University"
5,Shareef Abdur-Rahim,1997,2008,F,6-9	,225,"December 11, 1976",University of California
6,Tom Abernethy,1977,1981,F,6-7	,220,"May 6, 1954",Indiana University
7,Forest Able,1957,1957,G,6-3	,180,"July 27, 1932",Western Kentucky University
8,John Abramovic,1947,1948,F,6-3	,195,"February 9, 1919",Salem International University
9,Alex Abrines,2017,2018,G-F,6-6	,190,"August 1, 1993",
10,Alex Acker,2006,2009,G,6-5	,185,"January 21, 1983",Pepperdine University
11,Don Ackerman,1954,1954,G,6-0	,183,"September 4, 1930",Long Island University
12,Mark Acres,1988,1993,F-C,6-11	,220,"November 15, 1962",Oral Roberts University
13,Bud Acton,1968,1968,F,6-6	,210,"January 11, 1942",Hillsdale College
14,Quincy Acy,2013,2018,F,6-7	,240,"October 6, 1990",Baylor University
15,Alvan Adams,1976,1988,C-F,6-9	,210,"July 19, 1954",University of Oklahoma
16,Don Adams,1971,1977,F,6-6	,210,"November 27, 1947",Northwestern University
17,George Adams,1973,1975,F-G,6-5	,210,"May 15, 1949",Gardner-Webb University
18,Hassan Adams,2007,2009,G,6-4	,220,"June 20, 1984",University of Arizona
19,Jordan Adams,2015,2016,G,6-5	,209,"July 8, 1994","University of California, Los Angeles"
20,Michael Adams,1986,1996,G,5-10	,162,"January 19, 1963",Boston College
21,Steven Adams,2014,2018,C,7-0	,255,"July 20, 1993",University of Pittsburgh
22,Rafael Addison,1987,1997,F-G,6-7	,215,"July 22, 1964",Syracuse University
23,Bam Adebayo,2018,2018,C-F,6-10	,243,"July 18, 1997",University of Kentucky
24,Rick Adelman,1969,1975,G,6-1	,175,"June 16, 1946",Loyola Marymount University
25,Jeff Adrien,2011,2015,F,6-7	,245,"February 10, 1986",University of Connecticut
26,Arron Afflalo,2008,2018,G,6-5	,210,"October 15, 1985","University of California, Los Angeles"
27,Maurice Ager,2007,2011,G,6-5	,202,"February 9, 1984",Michigan State University
28,Mark Aguirre,1982,1994,F-G,6-6	,232,"December 10, 1959",DePaul University
29,Blake Ahearn,2008,2012,G,6-2	,190,"May 27, 1984",Missouri State University
30,Danny Ainge,1982,1995,G,6-4	,175,"March 17, 1959",Brigham Young University
31,Matthew Aitch,1968,1968,F,6-7	,230,"September 21, 1944",Michigan State University
32,Alexis Ajinca,2009,2017,C,7-2	,248,"May 6, 1988",
33,Henry Akin,1967,1969,C-F,6-10	,225,"July 31, 1944",Morehead State University
34,Josh Akognon,2013,2013,G,5-11	,185,"February 10, 1986","Washington State University, California State University, Fullerton"
35,Solomon Alabi,2011,2012,C,7-1	,251,"March 21, 1988",Florida State University
36,Mark Alarie,1987,1991,F,6-8	,217,"December 11, 1963",Duke University
37,Gary Alcorn,1960,1961,C,6-9	,225,"October 8, 1936","California State University, Fresno"
38,Furkan Aldemir,2015,2015,F-C,6-10	,240,"August 9, 1991",
39,Cole Aldrich,2011,2018,C,6-11	,250,"October 31, 1988",University of Kansas
40,LaMarcus Aldridge,2007,2018,F-C,6-11	,260,"July 19, 1985",University of Texas at Austin
41,Chuck Aleksinas,1985,1985,C,6-11	,260,"February 26, 1959","University of Kentucky, University of Connecticut"
42,Cliff Alexander,2016,2016,F,6-8	,245,"November 16, 1995",University of Kansas
43,Cory Alexander,1996,2005,G,6-1	,185,"June 22, 1973",University of Virginia
44,Courtney Alexander,2001,2003,G,6-5	,205,"April 27, 1977","University of Virginia, California State University, Fresno"
45,Gary Alexander,1994,1994,F,6-7	,240,"November 1, 1969",University of South Florida
46,Joe Alexander,2009,2010,F,6-8	,230,"December 26, 1986",West Virginia University
47,Victor Alexander,1992,2002,C-F,6-9	,265,"August 31, 1969",Iowa State University
48,Steve Alford,1988,1991,G,6-2	,183,"November 23, 1964",Indiana University
49,Bill Allen,1968,1968,C-F,6-8	,205,,New Mexico State University
50,Bob Allen,1969,1969,F,6-9	,205,"July 17, 1946",Marshall University
51,Jarrett Allen,2018,2018,F-C,6-10	,234,"April 21, 1998",University of Texas at Austin
52,Jerome Allen,1996,1997,G,6-4	,184,"January 28, 1973",University of Pennsylvania
53,Kadeem Allen,2018,2018,G,6-3	,192,"January 15, 1993",University of Arizona
54,Lavoy Allen,2012,2017,F-C,6-9	,260,"February 4, 1989",Temple University
55,Lucius Allen,1970,1979,G,6-2	,175,"September 26, 1947","University of California, Los Angeles"
56,Malik Allen,2002,2011,F-C,6-10	,255,"June 27, 1978",Villanova University
57,Randy Allen,1989,1990,F,6-8	,220,"January 26, 1965",Florida State University
58,Ray Allen*,1997,2014,G,6-5	,205,"July 20, 1975",University of Connecticut
59,Tony Allen,2005,2018,G-F,6-4	,213,"January 11, 1982","Butler County Community College, Oklahoma State University"
60,Willie Allen,1972,1972,F,6-6	,230,"February 8, 1949",University of Miami
61,Odis Allison,1972,1972,F,6-6	,195,"October 2, 1949","University of Nevada, Las Vegas"
62,Lance Allred,2008,2008,C,6-11	,250,"February 2, 1981","University of Utah, Weber State University"
63,Darrell Allums,1981,1981,F,6-9	,220,"September 12, 1958","University of California, Los Angeles"
64,Morris Almond,2008,2012,G,6-6	,225,"February 2, 1985",Rice University
65,Derrick Alston,1995,1997,F,6-11	,225,"August 20, 1972",Duquesne University
66,Rafer Alston,2000,2010,G,6-2	,171,"July 24, 1976","California State University, Fresno"
67,Peter Aluma,1999,1999,C,6-10	,260,"April 23, 1973",Liberty University
68,John Amaechi,1996,2003,C-F,6-10	,270,"November 26, 1970","Vanderbilt University, Pennsylvania State University"
69,Ashraf Amaya,1996,1997,F,6-8	,230,"November 23, 1971",Southern Illinois University
70,Al-Farouq Aminu,2011,2018,F,6-9	,220,"September 21, 1990",Wake Forest University
71,Lou Amundson,2007,2016,F,6-9	,220,"December 7, 1982","University of Nevada, Las Vegas"
72,Bob Anderegg,1960,1960,F-G,6-3	,200,"August 24, 1937",Michigan State University
73,Chris Andersen,2002,2017,F-C,6-10	,245,"July 7, 1978",Blinn College
74,David Andersen,2010,2011,C,6-11	,245,"June 23, 1980",
75,Alan Anderson,2006,2017,G-F,6-6	,220,"October 16, 1982",Michigan State University
76,Andrew Anderson,1968,1970,G,6-2	,184,"July 6, 1945",Canisius College
77,Antonio Anderson,2010,2010,G,6-6	,215,"June 5, 1985",University of Memphis
78,Cliff Anderson,1968,1971,G-F,6-2	,200,"September 7, 1944",Saint Joseph's University
79,Dan Anderson,1968,1969,C,6-10	,230,"February 15, 1943",Augsburg College
80,Dan Anderson,1975,1976,G,6-2	,185,"January 1, 1951",University of Southern California
81,Derek Anderson,1998,2008,G,6-5	,194,"July 18, 1974","Ohio State University, University of Kentucky"
82,Dwight Anderson,1983,1983,G,6-3	,185,"December 28, 1960","University of Kentucky, University of Southern California"
83,Eric Anderson,1993,1994,F,6-9	,220,"May 26, 1970",Indiana University
84,Greg Anderson,1988,1998,F-C,6-10	,230,"June 22, 1964",University of Houston
85,J.J. Anderson,1983,1985,F,6-8	,195,"September 23, 1960",Bradley University
86,James Anderson,2011,2016,G-F,6-6	,213,"March 25, 1989",Oklahoma State University
87,Jerome Anderson,1976,1977,G,6-5	,195,"October 9, 1953",West Virginia University
88,Justin Anderson,2016,2018,G,6-6	,228,"November 19, 1993",University of Virginia
89,Kenny Anderson,1992,2005,G,6-0	,168,"October 9, 1970",Georgia Institute of Technology
90,Kim Anderson,1979,1979,F,6-7	,200,"May 12, 1955",University of Missouri
91,Kyle Anderson,2015,2018,F-G,6-9	,230,"September 20, 1993","University of California, Los Angeles"
92,Michael Anderson,1989,1989,G,5-11	,184,"March 23, 1966",Drexel University
93,Nick Anderson,1990,2002,F-G,6-6	,205,"January 20, 1968",University of Illinois at Urbana-Champaign
94,Richard Anderson,1983,1990,F-C,6-10	,240,"November 19, 1960","University of California, Santa Barbara"
95,Ron Anderson,1985,1994,F-G,6-7	,215,"October 15, 1958","California State University, Fresno"
96,Ryan Anderson,2009,2018,F,6-10	,240,"May 6, 1988",University of California
97,Shandon Anderson,1997,2006,F-G,6-6	,208,"December 31, 1973",University of Georgia
98,Willie Anderson,1989,1997,G-F,6-7	,190,"January 8, 1967",University of Georgia
99,Wally Anderzunas,1970,1970,C-F,6-7	,220,"January 11, 1946",Creighton University
100,Martynas Andriuskevicius,2006,2006,C,7-2	,240,"March 12, 1986",
101,Don Anielak,1955,1955,F,6-7	,190,"November 1, 1930",Missouri State University
102,Ike Anigbogu,2018,2018,F-C,6-10	,252,"October 22, 1998","University of California, Los Angeles"
103,Michael Ansley,1990,1992,F,6-7	,225,"February 8, 1967",University of Alabama
104,Chris Anstey,1998,2000,C,7-0	,249,"January 1, 1975",
105,Giannis Antetokounmpo,2014,2018,F-G,6-11	,222,"December 6, 1994",
106,Thanasis Antetokounmpo,2016,2016,F,6-7	,205,"July 17, 1992",
107,Carmelo Anthony,2004,2018,F,6-8	,240,"May 29, 1984",Syracuse University
108,Greg Anthony,1992,2002,G,6-0	,176,"November 15, 1967","University of Portland, University of Nevada, Las Vegas"
109,Joel Anthony,2008,2017,C,6-9	,245,"August 9, 1982","University of Nevada, Las Vegas"
110,Pero Antic,2014,2015,C-F,6-11	,260,"July 29, 1982",
111,OG Anunoby,2018,2018,F,6-8	,232,"July 17, 1997",Indiana University
112,Keith Appling,2016,2016,G,6-1	,185,"February 13, 1992",Michigan State University
113,Rafael Araujo,2005,2007,C,6-11	,280,"August 12, 1980",Brigham Young University
114,Stacey Arceneaux,1962,1962,F,6-4	,210,"February 17, 1936",Iowa State University
115,Robert Archibald,2003,2004,F,6-11	,250,"March 29, 1980",University of Illinois at Urbana-Champaign
116,Tiny Archibald*,1971,1984,G,6-1	,150,"September 2, 1948",University of Texas at El Paso
117,Ryan Arcidiacono,2018,2018,G,6-3	,188,"March 26, 1994",Villanova University
118,Jim Ard,1971,1978,F-C,6-8	,215,"September 19, 1948",University of Cincinnati
119,Gilbert Arenas,2002,2012,G,6-3	,191,"January 6, 1982",University of Arizona
120,Trevor Ariza,2005,2018,F,6-8	,215,"June 30, 1985","University of California, Los Angeles"
121,Paul Arizin*,1951,1962,F-G,6-4	,190,"April 9, 1928",Villanova University
122,Joe Arlauckas,1988,1988,F,6-9	,230,"July 20, 1965",Niagara University
123,B.J. Armstrong,1990,2000,G,6-2	,175,"September 9, 1967",University of Iowa
124,Bob Armstrong,1957,1957,C-F,6-8	,220,"June 17, 1933",Michigan State University
125,Brandon Armstrong,2002,2004,G,6-5	,188,"June 16, 1980",Pepperdine University
126,Curly Armstrong,1949,1951,G-F,5-11	,170,"November 1, 1918",Indiana University
127,Darrell Armstrong,1995,2008,G,6-0	,170,"June 22, 1968",Fayetteville State University
128,Hilton Armstrong,2007,2014,F-C,6-11	,235,"November 11, 1984",University of Connecticut
129,Tate Armstrong,1978,1979,G,6-3	,175,"October 5, 1955",Duke University
130,Jesse Arnelle,1956,1956,F,6-5	,220,"December 30, 1933",Pennsylvania State University
131,Jay Arnette,1964,1966,G,6-2	,175,"December 19, 1938",University of Texas at Austin
132,Bob Arnzen,1970,1974,F,6-5	,205,"November 3, 1947",University of Notre Dame
133,Carlos Arroyo,2002,2011,G,6-2	,202,"July 30, 1979",Florida International University
134,Darrell Arthur,2009,2018,F,6-9	,235,"March 25, 1988",University of Kansas
135,John Arthurs,1970,1970,G,6-4	,185,"August 15, 1947",Tulane University
136,Jamel Artis,2018,2018,G-F,6-7	,213,"January 12, 1993",University of Pittsburgh
137,Omer Asik,2011,2018,C,7-0	,255,"July 4, 1986",
138,Vincent Askew,1988,1998,G-F,6-6	,210,"February 28, 1966",University of Memphis
139,Keith Askins,1991,1999,G-F,6-7	,197,"December 15, 1967",University of Alabama
140,Don Asmonga,1954,1954,G,6-2	,185,"February 15, 1928",Alliance College
141,Dick Atha,1956,1958,G,6-2	,190,"September 21, 1931",Indiana State University
142,Chucky Atkins,2000,2010,G,5-11	,160,"August 14, 1974",University of South Florida
143,Al Attles,1961,1971,G,6-0	,175,"November 7, 1936",North Carolina Agricultural and Technical State University
144,Chet Aubuchon,1947,1947,G,5-10	,137,"May 18, 1916",Michigan State University
145,Stacey Augmon,1992,2006,F-G,6-8	,205,"August 1, 1968","University of Nevada, Las Vegas"
146,D.J. Augustin,2009,2018,G,6-0	,183,"November 10, 1987",University of Texas at Austin
147,James Augustine,2007,2008,F,6-10	,235,"February 27, 1984",University of Illinois at Urbana-Champaign
148,Isaac Austin,1992,2002,C,6-10	,255,"August 18, 1969",Arizona State University
