,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Chris Babb,2014,2014,G,6-5	,225,"February 14, 1990","Pennsylvania State University, Iowa State University"
1,Luke Babbitt,2011,2018,F,6-9	,225,"June 20, 1989","University of Nevada, Reno"
2,Milos Babic,1991,1992,C-F,7-0	,240,"November 23, 1968",Tennessee Technological University
3,Johnny Bach,1949,1949,F-G,6-2	,180,"July 10, 1924",Fordham University
4,Dwayne Bacon,2018,2018,G,6-6	,222,"August 30, 1995",Florida State University
5,Henry Bacon,1973,1973,G,6-3	,205,"July 5, 1948",University of Louisville
6,Jim Baechtold,1953,1957,F-G,6-4	,205,"December 9, 1927",Eastern Kentucky University
7,Dalibor Bagaric,2001,2003,C,7-1	,255,"February 7, 1980",
8,John Bagley,1983,1994,G,6-0	,185,"April 23, 1960",Boston College
9,Carl Bailey,1982,1982,C,7-0	,210,"April 23, 1958",Tuskegee University
10,Gus Bailey,1975,1980,G-F,6-5	,185,"February 18, 1951",University of Texas at El Paso
11,James Bailey,1980,1988,F-C,6-9	,220,"May 21, 1957",Rutgers University
12,Thurl Bailey,1984,1999,F-C,6-11	,215,"April 7, 1961",North Carolina State University
13,Toby Bailey,1999,2000,G,6-6	,213,"November 19, 1975","University of California, Los Angeles"
14,Cameron Bairstow,2015,2016,F-C,6-9	,250,"December 7, 1990",University of New Mexico
15,Jimmie Baker,1976,1976,F,6-9	,220,"December 25, 1953",University of Hawaii
16,LaMark Baker,1999,1999,G,6-1	,175,"November 11, 1969",Ohio State University
17,Maurice Baker,2005,2005,G,6-1	,175,"July 28, 1979",Oklahoma State University
18,Norm Baker,1947,1947,G,6-0	,180,"February 17, 1923",
19,Ron Baker,2017,2018,G,6-4	,220,"March 30, 1993",Wichita State University
20,Vin Baker,1994,2006,F,6-11	,232,"November 23, 1971",University of Hartford
21,Wade Baldwin,2017,2018,G,6-4	,202,"March 29, 1996",Vanderbilt University
22,Renaldo Balkman,2007,2012,F,6-8	,208,"July 14, 1984",University of South Carolina
23,Cedric Ball,1991,1991,F,6-8	,210,"April 16, 1968",University of North Carolina at Charlotte
24,Lonzo Ball,2018,2018,G,6-6	,190,"October 27, 1997","University of California, Los Angeles"
25,Greg Ballard,1978,1989,F,6-7	,215,"January 29, 1955",University of Oregon
26,Herschel Baltimore,1947,1947,F,6-4	,195,"June 21, 1921",Pennsylvania State University
27,Gene Banks,1982,1987,F-G,6-7	,215,"May 15, 1959",Duke University
28,Marcus Banks,2004,2011,G,6-2	,200,"November 19, 1981","University of Nevada, Las Vegas"
29,Walker Banks,1971,1971,C,6-10	,205,"August 26, 1947",Western Kentucky University
30,Ken Bannister,1985,1991,F-C,6-9	,235,"April 1, 1960","Indiana State University, Saint Augustine's College"
31,Mike Bantom,1974,1982,F-C,6-9	,200,"December 3, 1951",Saint Joseph's University
32,John Barber,1957,1957,F,6-6	,210,"June 27, 1927","California State University, Los Angeles"
33,Leandro Barbosa,2004,2017,G,6-3	,194,"November 28, 1982",
34,Steve Bardo,1992,1996,G,6-5	,190,"April 5, 1968",University of Illinois at Urbana-Champaign
35,J.J. Barea,2007,2018,G,6-0	,185,"June 26, 1984",Northeastern University
36,Andrea Bargnani,2007,2016,F-C,7-0	,245,"October 26, 1985",
37,Cliff Barker,1950,1952,G,6-2	,185,"January 15, 1921",University of Kentucky
38,Tom Barker,1977,1979,C-F,6-11	,225,"March 11, 1955",University of Hawaii
39,Charles Barkley*,1985,2000,F,6-6	,252,"February 20, 1963",Auburn University
40,Erick Barkley,2001,2002,G,6-1	,177,"February 21, 1978",St. John's University
41,Don Barksdale*,1952,1955,F-C,6-6	,200,"March 31, 1923","University of California, Los Angeles"
42,Harrison Barnes,2013,2018,F,6-8	,210,"May 30, 1992",University of North Carolina
43,Harry Barnes,1969,1969,F,6-3	,205,"July 25, 1945",Northeastern University
44,Jim Barnes,1965,1971,C-F,6-8	,210,"April 13, 1941",University of Texas at El Paso
45,Marvin Barnes,1975,1980,F-C,6-8	,210,"July 27, 1952",Providence College
46,Matt Barnes,2004,2017,F,6-7	,226,"March 9, 1980","University of California, Los Angeles"
47,Dick Barnett,1960,1974,G-F,6-4	,190,"October 2, 1936",Tennessee State University
48,Jim Barnett,1967,1977,G-F,6-4	,170,"July 7, 1944",University of Oregon
49,Nathaniel Barnett,1976,1976,G,6-3	,175,"January 29, 1953",University of Akron
50,John Barnhill,1963,1972,G,6-1	,180,"March 20, 1938",Tennessee State University
51,Norton Barnhill,1977,1977,G,6-4	,205,"July 15, 1953",Washington State University
52,Leo Barnhorst,1950,1954,F-G,6-4	,190,"May 11, 1924",University of Notre Dame
53,John Barr,1947,1947,F,6-3	,205,"August 8, 1918",Pennsylvania State University
54,Mike Barr,1973,1977,G,6-3	,180,"October 19, 1950",Duquesne University
55,Moe Barr,1971,1971,G,6-4	,195,"June 19, 1944",Duquesne University
56,Andre Barrett,2005,2008,G,5-10	,172,"February 21, 1982",Seton Hall University
57,Ernie Barrett,1954,1956,G-F,6-3	,180,"August 27, 1929",Kansas State University
58,Mike Barrett,1970,1973,G,6-2	,155,"September 5, 1943",West Virginia University Institute of Technology
59,Earl Barron,2006,2015,C,7-0	,250,"August 14, 1981",University of Memphis
60,Dana Barros,1990,2004,G,5-11	,163,"April 13, 1967",Boston College
61,Brent Barry,1996,2009,G,6-6	,185,"December 31, 1971",Oregon State University
62,Drew Barry,1998,2000,G,6-5	,191,"February 17, 1973",Georgia Institute of Technology
63,Jon Barry,1993,2006,G,6-4	,195,"July 25, 1969","University of the Pacific, Georgia Institute of Technology"
64,Rick Barry*,1966,1980,F,6-7	,205,"March 28, 1944",University of Miami
65,Ed Bartels,1950,1951,F,6-5	,195,"October 8, 1925",North Carolina State University
66,Vic Bartolome,1972,1972,C,7-0	,230,"September 29, 1948",Oregon State University
67,Will Barton,2013,2018,G,6-6	,175,"January 6, 1991",University of Memphis
68,Eddie Basden,2006,2006,G,6-5	,215,"February 15, 1983",University of North Carolina at Charlotte
69,Jerry Baskerville,1976,1976,F,6-7	,190,"November 10, 1951",Temple University
70,Brandon Bass,2006,2017,F,6-8	,250,"April 30, 1985",Louisiana State University
71,Tim Bassett,1974,1980,F-C,6-8	,225,"April 1, 1951",University of Georgia
72,Maceo Baston,2003,2009,F,6-9	,215,"May 29, 1975",University of Michigan
73,Mengke Bateer,2002,2004,C,6-11	,290,"November 20, 1975",
74,Billy Ray Bates,1980,1983,G,6-4	,210,"May 31, 1956",Kentucky State University
75,Esteban Batista,2006,2007,F-C,6-10	,270,"September 2, 1983",
76,Mike Batiste,2003,2003,F,6-8	,225,"November 21, 1977",Arizona State University
77,Tony Battie,1998,2012,C-F,6-11	,230,"February 11, 1976",Texas Tech University
78,Shane Battier,2002,2014,F,6-8	,220,"September 9, 1978",Duke University
79,John Battle,1986,1995,G,6-2	,175,"November 9, 1962",Rutgers University
80,Kenny Battle,1990,1993,F,6-6	,210,"October 10, 1964","Northern Illinois University, University of Illinois at Urbana-Champaign"
81,Dave Batton,1983,1984,C,6-10	,240,"March 26, 1956",University of Notre Dame
82,Lloyd Batts,1975,1975,G-F,6-4	,185,"May 9, 1951",University of Cincinnati
83,Nicolas Batum,2009,2018,F-G,6-8	,200,"December 14, 1988",
84,Johnny Baum,1970,1974,F,6-5	,200,"June 17, 1946",Temple University
85,Frankie Baumholtz,1947,1947,G,5-10	,170,"October 7, 1918",Ohio University
86,Lonny Baxter,2003,2006,F,6-8	,260,"January 27, 1979",University of Maryland
87,Jerryd Bayless,2009,2018,G,6-3	,200,"August 20, 1988",University of Arizona
88,Elgin Baylor*,1959,1972,F,6-5	,225,"September 16, 1934","Albertson College of Idaho, Seattle University"
89,Howard Bayne,1968,1968,F,6-6	,235,"July 28, 1942",University of Tennessee
90,Aron Baynes,2013,2018,C,6-10	,260,"December 9, 1986",Washington State University
91,Sergei Bazarevich,1995,1995,G,6-2	,168,"March 16, 1965",
92,Kent Bazemore,2013,2018,G-F,6-5	,201,"July 1, 1989",Old Dominion University
93,Ed Beach,1951,1951,F,6-3	,200,"January 25, 1929",West Virginia University
94,Bradley Beal,2013,2018,G,6-5	,207,"June 28, 1993",University of Florida
95,Al Beard,1968,1968,C,6-9	,200,"April 27, 1942",Norfolk State University
96,Butch Beard,1970,1979,G,6-3	,185,"May 4, 1947",University of Louisville
97,Ralph Beard,1950,1951,G,5-10	,175,"December 2, 1927",University of Kentucky
98,Charles Beasley,1968,1971,G-F,6-5	,190,"September 23, 1945",Southern Methodist University
99,Jerome Beasley,2004,2004,F,6-10	,237,"May 17, 1980","Midland College, University of North Dakota"
100,John Beasley,1968,1974,F-C,6-9	,225,"February 5, 1944",Texas A&M University
101,Malik Beasley,2017,2018,G,6-5	,196,"November 26, 1996",Florida State University
102,Michael Beasley,2009,2018,F,6-9	,235,"January 9, 1989",Kansas State University
103,Zelmo Beaty*,1963,1975,C,6-9	,225,"October 25, 1939",Prairie View A&M University
104,Rodrigue Beaubois,2010,2013,G,6-0	,170,"February 24, 1988",
105,Byron Beck,1968,1977,C-F,6-9	,225,"January 25, 1945",University of Denver
106,Corey Beck,1996,1999,G,6-1	,190,"May 27, 1971","South Plains College, University of Arkansas"
107,Ernie Beck,1954,1961,G-F,6-4	,190,"December 11, 1931",University of Pennsylvania
108,Arthur Becker,1968,1973,F,6-7	,205,"January 12, 1942",Arizona State University
109,Moe Becker,1947,1947,G-F,6-1	,185,"February 24, 1917",Duquesne University
110,Bob Bedell,1968,1971,F,6-7	,205,"June 26, 1944",Stanford University
111,William Bedford,1987,1993,C,7-0	,225,"December 14, 1963",University of Memphis
112,Hank Beenders,1947,1949,C-F,6-6	,185,"June 2, 1916",Long Island University
113,Ron Behagen,1974,1980,F-C,6-9	,185,"January 14, 1951",University of Minnesota
114,Elmer Behnke,1952,1952,C,6-7	,210,"February 3, 1929",Bradley University
