,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Zarko Cabarkapa,2004,2006,F,6-11	,235,"May 21, 1981",
1,Barney Cable,1959,1964,F,6-7	,175,"July 29, 1935",Bradley University
2,Bruno Caboclo,2015,2018,F,6-9	,218,"September 21, 1995",
3,Jason Caffey,1996,2003,F,6-8	,255,"June 12, 1973",University of Alabama
4,Michael Cage,1985,2000,F-C,6-9	,224,"January 28, 1962",San Diego State University
5,Gerry Calabrese,1951,1952,G,6-1	,175,"February 4, 1925",St. John's University
6,Nick Calathes,2014,2015,G,6-6	,213,"February 7, 1989",University of Florida
7,Jose Calderon,2006,2018,G,6-3	,200,"September 28, 1981",
8,Adrian Caldwell,1990,1998,F-C,6-8	,265,"July 4, 1966","Southern Methodist University, Lamar University"
9,Jim Caldwell,1968,1969,C,6-10	,240,"January 28, 1943",Georgia Institute of Technology
10,Joe Caldwell,1965,1975,F-G,6-5	,195,"November 1, 1941",Arizona State University
11,Kentavious Caldwell-Pope,2014,2018,G,6-5	,205,"February 18, 1993",University of Georgia
12,Bill Calhoun,1949,1955,F-G,6-3	,180,"November 4, 1927",City College of San Francisco
13,Corky Calhoun,1973,1980,F,6-7	,210,"November 1, 1950",University of Pennsylvania
14,Demetrius Calip,1992,1992,G,6-1	,165,"November 18, 1969",University of Michigan
15,Tom Callahan,1947,1947,G,6-1	,180,"June 2, 1921",Rockhurst University
16,Rick Calloway,1991,1991,F,6-6	,180,"December 12, 1966","Indiana University, University of Kansas"
17,Ernie Calverley,1947,1949,G,5-10	,145,"January 30, 1924",University of Rhode Island
18,Mack Calvin,1970,1981,G,6-0	,165,"July 27, 1947",University of Southern California
19,Dexter Cambridge,1993,1993,F,6-7	,224,"January 29, 1970",University of Texas at Austin
20,Marcus Camby,1997,2013,C-F,6-11	,220,"March 22, 1974",University of Massachusetts Amherst
21,Elden Campbell,1991,2005,C,6-11	,215,"July 23, 1968",Clemson University
22,Tony Campbell,1985,1995,F-G,6-7	,215,"May 7, 1962",Ohio State University
23,Isaiah Canaan,2014,2018,G,6-0	,201,"May 21, 1991",Murray State University
24,Larry Cannon,1970,1974,G,6-4	,195,"April 12, 1947",La Salle University
25,Clint Capela,2015,2018,C,6-10	,240,"May 18, 1994",
26,Derrick Caracter,2011,2011,F,6-9	,275,"May 4, 1988","University of Louisville, University of Texas at El Paso"
27,Frank Card,1969,1973,F,6-7	,195,"December 28, 1944",South Carolina State University
28,Brian Cardinal,2001,2012,F,6-8	,245,"May 2, 1977",Purdue University
