,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Joe Fabel,1947,1947,F-G,6-1	,190,"September 4, 1913",University of Pittsburgh
1,John Fairchild,1966,1970,F,6-8	,205,"April 28, 1943",Brigham Young University
2,Phil Farbman,1949,1949,F,6-1	,185,"April 3, 1924",City College of New York
3,Kenneth Faried,2012,2018,F,6-8	,228,"November 19, 1989",Morehead State University
4,Dick Farley,1955,1959,G-F,6-4	,190,"April 13, 1932",Indiana University
5,Jordan Farmar,2007,2017,G,6-2	,180,"November 30, 1986","University of California, Los Angeles"
6,Desmon Farmer,2007,2009,G,6-5	,220,"October 7, 1981",University of Southern California
7,Jim Farmer,1988,1994,G,6-4	,190,"September 23, 1964",University of Alabama
8,Mike Farmer,1959,1966,F,6-7	,210,"September 26, 1936",University of San Francisco
9,Tony Farmer,1998,2000,F,6-9	,244,"January 3, 1970","San Jose State University, University of Nebraska"
10,Bob Faught,1947,1947,F,6-5	,185,"September 2, 1921",University of Notre Dame
11,Vitor Faverani,2014,2014,C,6-11	,260,"May 5, 1988",
12,Derrick Favors,2011,2018,F-C,6-10	,265,"July 15, 1991",Georgia Institute of Technology
13,Nick Fazekas,2008,2008,F,6-11	,235,"June 17, 1985","University of Nevada, Reno"
14,Dave Fedor,1963,1963,F,6-6	,190,"December 10, 1940",Florida State University
15,Bob Feerick,1947,1950,F-G,6-3	,190,"January 2, 1920",Santa Clara University
16,Butch Feher,1977,1977,G,6-4	,185,"May 19, 1954",Vanderbilt University
17,Jamie Feick,1997,2001,C,6-9	,255,"July 3, 1974",Michigan State University
18,Ron Feiereisel,1956,1956,G,6-3	,185,"August 6, 1931",DePaul University
19,George Feigenbaum,1950,1953,G,6-1	,185,"July 2, 1929",University of Kentucky
20,Dave Feitl,1987,1992,C,6-11	,235,"June 8, 1962",University of Texas at El Paso
21,Kay Felder,2017,2018,G,5-9	,176,"March 29, 1995",Oakland University
22,Cristiano Felicio,2016,2018,F-C,6-10	,275,"July 7, 1992",
23,Carrick Felix,2014,2014,G,6-6	,201,"August 17, 1990",Arizona State University
