,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Bill Gabor,1950,1955,G-F,5-11	,170,"May 13, 1922",Syracuse University
1,Dan Gadzuric,2003,2012,C,6-11	,240,"February 2, 1978","University of California, Los Angeles"
2,Deng Gai,2006,2006,F,6-9	,250,"March 22, 1982",Fairfield University
3,Elmer Gainer,1948,1950,F-C,6-6	,195,"November 22, 1918",DePaul University
4,Bill Gaines,1969,1969,G,6-4	,185,"March 10, 1946",East Texas State University
5,Corey Gaines,1989,1995,G,6-3	,195,"June 1, 1965","University of California, Los Angeles, Loyola Marymount University"
6,David Gaines,1968,1968,G,6-1	,170,"February 27, 1942",LeMoyne-Owen College
7,Reece Gaines,2004,2006,G,6-6	,205,"January 7, 1981",University of Louisville
8,Sundiata Gaines,2010,2012,G,6-1	,185,"April 18, 1986",University of Georgia
9,Mike Gale,1972,1982,G,6-4	,185,"July 18, 1950",Elizabeth City State University
10,Chad Gallagher,1994,1994,C,6-10	,255,"May 30, 1969",Creighton University
11,Harry Gallatin*,1949,1958,F-C,6-6	,210,"April 26, 1927",Truman State University
12,Danilo Gallinari,2009,2018,F,6-10	,225,"August 8, 1988",
13,Langston Galloway,2015,2018,G,6-2	,200,"December 9, 1991",Saint Joseph's University
14,Dave Gambee,1959,1970,F,6-6	,215,"April 16, 1937",Oregon State University
15,Kevin Gamble,1988,1997,F-G,6-5	,210,"November 13, 1965",University of Iowa
16,Bob Gantt,1947,1947,F-C,6-4	,205,"June 22, 1922",Duke University
17,Jorge Garbajosa,2007,2008,F,6-9	,245,"December 19, 1977",
18,Ruben Garces,2001,2001,F,6-9	,245,"October 17, 1973",Providence College
19,Alex Garcia,2004,2005,G,6-3	,220,"March 4, 1980",
20,Francisco Garcia,2006,2015,F-G,6-7	,195,"December 31, 1981",University of Louisville
21,Chuck Gardner,1968,1968,F,6-8	,205,"September 30, 1944",University of Colorado
22,Earl Gardner,1949,1949,F,6-3	,195,"September 18, 1923",DePauw University
23,Kenneth Gardner,1976,1976,F,6-5	,205,"September 27, 1949",University of Utah
24,Thomas Gardner,2008,2009,G,6-5	,225,"February 8, 1985",University of Missouri
25,Vern Gardner,1950,1952,F-C,6-5	,200,"May 14, 1925",University of Utah
26,Jack Garfinkel,1947,1949,G,6-0	,190,"June 13, 1918",St. John's University
27,Patricio Garino,2017,2017,G-F,6-6	,210,"May 17, 1993",George Washington University
28,Gary Garland,1980,1980,G,6-4	,180,"October 12, 1957",DePaul University
29,Winston Garland,1988,1995,G,6-2	,170,"December 19, 1964",Missouri State University
30,Dick Garmaker,1956,1961,G-F,6-3	,200,"October 29, 1932",University of Minnesota
31,Bill Garner,1968,1968,C,6-10	,220,"June 17, 1940",University of Portland
32,Chris Garner,1998,2001,G,5-10	,156,"February 2, 1975",University of Memphis
33,Bill Garnett,1983,1986,F,6-9	,225,"April 22, 1960",University of Wyoming
34,Kevin Garnett,1996,2016,F-C,6-11	,240,"May 19, 1976",
35,Marlon Garnett,1999,1999,G,6-2	,186,"July 3, 1975",Santa Clara University
36,Calvin Garrett,1981,1984,F,6-7	,190,"July 11, 1956","Austin Peay State University, Oral Roberts University"
37,Dean Garrett,1997,2002,C,6-10	,225,"November 27, 1966",Indiana University
38,Diante Garrett,2013,2014,G,6-4	,190,"November 3, 1988",Iowa State University
39,Dick Garrett,1970,1974,G,6-3	,185,"January 31, 1947",Southern Illinois University
40,Rowland Garrett,1973,1977,F,6-6	,210,"July 16, 1950",Florida State University
41,Tom Garrick,1989,1992,G,6-2	,185,"July 7, 1966",University of Rhode Island
42,John Garris,1984,1984,F,6-8	,205,"June 6, 1959","University of Michigan, Boston College"
