,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Rudy Hackett,1976,1977,F,6-9	,210,"May 10, 1953",Syracuse University
1,Hamed Haddadi,2009,2013,C,7-2	,254,"May 19, 1985",
2,Jim Hadnot,1968,1968,C-F,6-10	,235,"January 15, 1940",Providence College
3,Scott Haffner,1990,1991,G,6-3	,180,"February 2, 1966","University of Illinois at Urbana-Champaign, University of Evansville"
4,Cliff Hagan*,1957,1970,F-G,6-4	,210,"December 9, 1931",University of Kentucky
5,Glenn Hagan,1982,1982,G,6-0	,170,"June 25, 1955",St. Bonaventure University
6,Tom Hagan,1970,1971,G,6-3	,185,"January 29, 1947",Vanderbilt University
7,Robert Hahn,1950,1950,C,6-10	,240,"August 25, 1925",North Carolina State University
8,Al Hairston,1969,1970,G,6-1	,170,"December 11, 1945",Bowling Green State University
9,Happy Hairston,1965,1975,F,6-7	,225,"May 31, 1942",New York University
10,Lindsay Hairston,1976,1976,F-C,6-7	,180,"December 8, 1951",Michigan State University
11,Malik Hairston,2009,2010,G,6-6	,220,"February 23, 1987",University of Oregon
12,P.J. Hairston,2015,2016,G-F,6-6	,230,"December 24, 1992",University of North Carolina
13,Marcus Haislip,2003,2010,F,6-10	,230,"December 22, 1980",University of Tennessee
14,Chick Halbert,1947,1951,C,6-9	,225,"February 27, 1919",West Texas A&M University
15,Swede Halbrook,1961,1962,C,7-3	,235,"January 30, 1933",Oregon State University
16,Bruce Hale,1949,1951,G-F,6-1	,170,"August 30, 1918",Santa Clara University
17,Hal Hale,1968,1968,G,6-1	,180,"September 21, 1945",Utah State University
18,Jack Haley,1989,1998,C-F,6-10	,240,"January 27, 1964","University of California, Los Angeles"
19,Shaler Halimon,1969,1973,G-F,6-5	,199,"March 30, 1945",Utah State University
20,Mike Hall,2007,2007,F,6-8	,230,"June 5, 1984",George Washington University
21,Jeff Halliburton,1972,1973,G,6-5	,193,"July 3, 1949",Drake University
22,Darvin Ham,1997,2005,F,6-7	,220,"July 23, 1973",Texas Tech University
23,Steve Hamer,1997,1997,C,7-0	,245,"November 13, 1973",University of Tennessee
24,Dale Hamilton,1950,1950,G-F,6-0	,180,"August 16, 1919",Franklin College
25,Daniel Hamilton,2018,2018,G-F,6-7	,195,"August 8, 1995",University of Connecticut
26,Dennis Hamilton,1968,1971,F,6-8	,210,"May 8, 1944",Arizona State University
27,Joe Hamilton,1971,1976,G,5-10	,160,"July 5, 1948",University of North Texas
28,Jordan Hamilton,2012,2016,G-F,6-7	,220,"October 6, 1990",University of Texas at Austin
29,Justin Hamilton,2014,2017,C,7-0	,260,"April 1, 1990","Iowa State University, Louisiana State University"
30,Ralph Hamilton,1949,1949,G-F,6-1	,188,"June 10, 1921",Indiana University
31,Richard Hamilton,2000,2013,G-F,6-6	,185,"February 14, 1978",University of Connecticut
32,Roy Hamilton,1980,1981,G,6-2	,180,"July 20, 1957","University of California, Los Angeles"
