,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Hamady N'Diaye,2011,2014,C,7-0	,235.0,"January 12, 1987",Rutgers University
1,Makhtar N'Diaye,1999,1999,F,6-8	,245.0,"December 12, 1973","University of Michigan, University of North Carolina"
2,Mamadou N'Diaye,2001,2005,C,7-0	,255.0,"June 16, 1975",Auburn University
3,Boniface N'Dong,2006,2006,C,7-0	,198.0,"March 9, 1977",
4,Bob Naber,1953,1953,F,6-3	,185.0,"September 3, 1929",University of Louisville
5,Boris Nachamkin,1955,1955,F,6-6	,210.0,"December 6, 1933",New York University
6,Bostjan Nachbar,2003,2008,F,6-9	,221.0,"July 3, 1980",
7,Abdel Nader,2018,2018,F,6-6	,230.0,"September 25, 1993","Northern Illinois University, Iowa State University"
8,Jerry Nagel,1950,1950,G,6-0	,190.0,"May 18, 1928",Loyola University of Chicago
9,Fritz Nagy,1949,1949,G-F,6-2	,185.0,"January 3, 1924",University of Akron
10,Lee Nailon,2001,2006,F,6-9	,238.0,"February 22, 1975","Butler County Community College, Texas Christian University"
11,Eduardo Najera,2001,2012,F,6-8	,240.0,"July 11, 1976",University of Oklahoma
12,Larry Nance,1982,1994,F-C,6-10	,205.0,"February 12, 1959",Clemson University
13,Larry Nance,2016,2018,F-C,6-9	,230.0,"January 1, 1993",University of Wyoming
14,Shabazz Napier,2015,2018,G,6-1	,175.0,"July 14, 1991",University of Connecticut
15,Paul Napolitano,1949,1949,F-G,6-2	,185.0,"February 3, 1923",University of San Francisco
16,Bob Nash,1973,1979,F,6-8	,195.0,"August 24, 1950",University of Hawaii
17,Cotton Nash,1965,1968,F,6-5	,215.0,"July 24, 1942",University of Kentucky
18,Steve Nash*,1997,2014,G,6-3	,195.0,"February 7, 1974",Santa Clara University
19,Swen Nater,1974,1984,C,6-11	,240.0,"January 14, 1950","University of California, Los Angeles"
20,Howard Nathan,1996,1996,G,5-11	,175.0,"January 21, 1972","DePaul University, University of Louisiana at Monroe"
21,Calvin Natt,1980,1990,F,6-6	,220.0,"January 8, 1957",University of Louisiana at Monroe
22,Kenny Natt,1981,1985,G,6-3	,185.0,"October 5, 1958",University of Louisiana at Monroe
23,Willie Naulls,1957,1966,F-C,6-6	,225.0,"October 7, 1934","University of California, Los Angeles"
24,Juan Carlos Navarro,2008,2008,G,6-3	,170.0,"June 13, 1980",
25,Maurice Ndour,2017,2017,F,6-9	,200.0,"June 18, 1992",Ohio University
26,Craig Neal,1989,1991,G,6-5	,165.0,"February 16, 1964",Georgia Institute of Technology
27,Gary Neal,2011,2017,G,6-4	,210.0,"October 3, 1984","La Salle University, Towson University"
28,Jim Neal,1954,1955,C,6-11	,235.0,"May 21, 1930",Wofford College
29,Lloyd Neal,1973,1979,C-F,6-7	,225.0,"December 10, 1950",Tennessee State University
30,Ed Nealy,1983,1993,F,6-7	,238.0,"February 19, 1960",Kansas State University
31,Nemanja Nedovic,2014,2014,G,6-3	,192.0,"June 16, 1991",
32,Al Negratti,1947,1947,F-C,6-3	,200.0,"June 12, 1921",Seton Hall University
33,Barry Nelson,1972,1972,C,6-10	,230.0,"September 19, 1949",Duquesne University
34,DeMarcus Nelson,2009,2009,G,6-4	,200.0,"November 2, 1985",Duke University
35,Don Nelson*,1963,1976,F,6-6	,210.0,"May 15, 1940",University of Iowa
36,Jameer Nelson,2005,2018,G,6-0	,190.0,"February 9, 1982",Saint Joseph's University
37,Louie Nelson,1974,1978,G,6-3	,190.0,"May 28, 1951",University of Washington
38,Ron Nelson,1971,1971,G,6-2	,175.0,"October 7, 1946",University of New Mexico
39,Ruben Nembhard,1997,1997,G,6-3	,208.0,"February 20, 1972",Weber State University
40,Dick Nemelka,1971,1971,G,6-0	,175.0,"October 1, 1943",Brigham Young University
41,Tyrone Nesby,1999,2002,F,6-6	,225.0,"January 31, 1976","University of Nevada, Las Vegas"
42,Martin Nessley,1988,1988,C,7-2	,260.0,"February 16, 1965",Duke University
43,Rasho Nesterovic,1999,2010,C,7-0	,248.0,"May 30, 1976",
44,Raul Neto,2016,2018,G,6-1	,179.0,"May 19, 1992",
