,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Joe Pace,1977,1978,C,6-10	,220,"December 18, 1953",Coppin State University
1,Zaza Pachulia,2004,2018,C,6-11	,270,"February 10, 1984",
2,Robert Pack,1992,2004,G,6-2	,180,"February 3, 1969",University of Southern California
3,Wayne Pack,1975,1975,G,6-0	,165,"July 5, 1950",Tennessee Technological University
4,Gerald Paddio,1991,1994,F-G,6-7	,205,"April 21, 1965","University of Nevada, Las Vegas"
5,Scott Padgett,2000,2007,F,6-9	,240,"April 19, 1976",University of Kentucky
6,Dana Pagett,1972,1972,G,6-2	,180,"March 29, 1949",University of Southern California
7,Marcus Paige,2018,2018,G,6-1	,175,"September 11, 1993",University of North Carolina
8,Fred Paine,1949,1949,F,6-5	,210,"December 7, 1925",Westminster College of Pennsylvania
9,Milt Palacio,2000,2006,G,6-3	,195,"February 7, 1978","Midland College, Colorado State University"
10,Togo Palazzi,1955,1960,F-G,6-4	,205,"August 8, 1932",College of the Holy Cross
11,Bud Palmer,1947,1949,F-C,6-4	,180,"September 14, 1921",Princeton University
12,Errol Palmer,1968,1968,F,6-5	,195,,DePaul University
13,Jim Palmer,1959,1961,F-C,6-8	,224,"June 8, 1933",University of Dayton
14,Walter Palmer,1991,1993,C-F,7-1	,215,"October 23, 1968",Dartmouth College
15,Andy Panko,2001,2001,F,6-9	,222,"November 27, 1977",Lebanon Valley College
16,Georgios Papagiannis,2017,2018,C,7-1	,240,"July 3, 1997",
17,Kostas Papanikolaou,2015,2016,F,6-8	,225,"July 31, 1990",
18,Jannero Pargo,2003,2015,G,6-1	,175,"October 22, 1979",University of Arkansas
19,Jeremy Pargo,2012,2013,G,6-2	,219,"March 17, 1986",Gonzaga University
20,Easy Parham,1949,1951,F-G,6-3	,200,"December 27, 1921",Texas Wesleyan University
21,Robert Parish*,1977,1997,C,7-0	,230,"August 30, 1953",Centenary College of Louisiana
22,Med Park,1956,1960,G-F,6-2	,205,"April 11, 1933",University of Missouri
23,Anthony Parker,1998,2012,G,6-6	,215,"June 19, 1975",Bradley University
24,Jabari Parker,2015,2018,F,6-8	,250,"March 15, 1995",Duke University
25,Smush Parker,2003,2008,G,6-4	,190,"June 1, 1981",Fordham University
26,Sonny Parker,1977,1982,F-G,6-6	,200,"March 22, 1955",Texas A&M University
27,Tony Parker,2002,2018,G,6-2	,185,"May 17, 1982",
28,Barry Parkhill,1974,1976,G,6-4	,185,"May 10, 1951",University of Virginia
29,Jack Parkinson,1950,1950,G,6-0	,174,"March 4, 1924",University of Kentucky
30,Charles Parks,1969,1969,F,6-5	,210,,Idaho State University
31,Cherokee Parks,1996,2004,C-F,6-11	,235,"October 11, 1972",Duke University
32,Richard Parks,1968,1968,F,6-7	,235,"October 28, 1943",Saint Louis University
33,Jack Parr,1959,1959,C,6-9	,220,"March 13, 1936",Kansas State University
34,Doyle Parrack,1947,1947,F-G,6-0	,165,"December 6, 1921",Oklahoma State University
35,Charlie Parsley,1950,1950,G,6-2	,175,"October 13, 1925",Western Kentucky University
36,Chandler Parsons,2012,2018,F,6-10	,230,"October 25, 1988",University of Florida
37,Zarko Paspalj,1990,1990,F,6-9	,215,"March 27, 1966",
38,Marty Passaglia,1947,1949,G,6-1	,170,"April 22, 1919",Santa Clara University
39,George Pastushok,1947,1947,G,6-1	,195,"July 13, 1922",St. John's University
40,Myles Patrick,1981,1981,F,6-8	,220,"November 19, 1954",Auburn University
41,Stan Patrick,1950,1950,F-G,6-2	,185,"May 5, 1922",University of Illinois at Urbana-Champaign
42,Andrae Patterson,1999,2000,F,6-9	,238,"November 12, 1975",Indiana University
43,George Patterson,1968,1968,C-F,6-8	,230,"November 26, 1939",University of Toledo
44,Lamar Patterson,2016,2017,G-F,6-5	,225,"August 12, 1991",University of Pittsburgh
45,Patrick Patterson,2011,2018,F,6-9	,230,"March 14, 1989",University of Kentucky
46,Ruben Patterson,1999,2008,F,6-5	,224,"July 31, 1975",University of Cincinnati
47,Steve Patterson,1972,1976,C,6-9	,225,"June 24, 1948","University of California, Los Angeles"
48,Tom Patterson,1973,1974,F,6-6	,220,"October 15, 1948",Ouachita Baptist University
49,Worthy Patterson,1958,1958,G,6-2	,175,"June 17, 1931",University of Connecticut
50,Justin Patton,2018,2018,C,6-11	,229,"June 14, 1997",Creighton University
51,Brandon Paul,2018,2018,G,6-4	,200,"April 30, 1991",University of Illinois at Urbana-Champaign
52,Chris Paul,2006,2018,G,6-0	,175,"May 6, 1985",Wake Forest University
53,Charlie Paulk,1969,1972,F-C,6-8	,219,"June 14, 1946",Northeastern State University
54,Jerry Paulson,1958,1958,G,6-2	,185,"July 21, 1935",Manhattan College
55,Billy Paultz,1971,1985,C-F,6-11	,235,"July 30, 1948","Cameron University, St. John's University"
56,Sasha Pavlovic,2004,2013,G-F,6-8	,220,"November 15, 1983",
57,Jim Paxson,1957,1958,F-G,6-6	,200,"December 19, 1932",University of Dayton
58,Jim Paxson,1980,1990,G-F,6-6	,200,"July 9, 1957",University of Dayton
59,John Paxson,1984,1994,G,6-2	,185,"September 29, 1960",University of Notre Dame
60,Johnny Payak,1950,1953,G-F,6-4	,174,"November 20, 1926",Bowling Green State University
61,Adreian Payne,2015,2018,F-C,6-10	,237,"February 19, 1991",Michigan State University
62,Cameron Payne,2016,2018,G,6-3	,185,"August 8, 1994",Murray State University
63,Kenny Payne,1990,1993,F-G,6-8	,195,"November 25, 1966",University of Louisville
64,Tom Payne,1972,1972,C,7-2	,240,"November 19, 1950",University of Kentucky
65,Elfrid Payton,2015,2018,G,6-4	,185,"February 22, 1994",University of Louisiana at Lafayette
66,Gary Payton*,1991,2007,G,6-4	,180,"July 23, 1968",Oregon State University
67,Gary Payton,2017,2018,G,6-3	,190,"December 1, 1992",Oregon State University
68,Mel Payton,1952,1953,F-G,6-4	,185,"July 16, 1926",Tulane University
69,George Pearcy,1947,1947,G,6-1	,165,"July 2, 1919",Indiana State University
70,Henry Pearcy,1947,1947,G,6-1	,170,"July 21, 1922",Indiana State University
71,Oleksiy Pecherov,2008,2010,C,7-0	,232,"December 8, 1985",
72,Wiley Peck,1980,1980,G,6-7	,220,"September 15, 1957",Mississippi State University
73,Rich Peek,1968,1968,C,6-11	,230,"October 28, 1943","University of Florida, Louisiana Tech University"
74,Anthony Peeler,1993,2005,G,6-4	,208,"November 25, 1969",University of Missouri
75,George Peeples,1968,1973,C-F,6-7	,190,"October 30, 1943",University of Iowa
76,Nikola Pekovic,2011,2016,C,6-11	,307,"January 3, 1986",
77,Jake Pelkington,1949,1949,C-F,6-6	,220,"January 3, 1916",Manhattan College
78,Sam Pellom,1980,1983,F-C,6-9	,225,"October 2, 1951","University at Buffalo, State University of New York"
79,Mike Penberthy,2001,2002,G,6-3	,185,"November 29, 1974",Master's College
80,Jerry Pender,1974,1974,G,6-2	,185,"February 12, 1950","California State University, Fresno"
81,Desmond Penigar,2004,2004,F,6-7	,245,"July 16, 1981",Utah State University
82,Kirk Penney,2004,2005,G,6-5	,220,"November 23, 1980",University of Wisconsin
83,Mike Peplowski,1994,1996,C,6-10	,270,"October 15, 1970",Michigan State University
84,Will Perdue,1989,2001,C,7-0	,240,"August 29, 1965",Vanderbilt University
85,Kendrick Perkins,2004,2018,C,6-10	,270,"November 10, 1984",
86,Sam Perkins,1985,2001,F-C,6-9	,235,"June 14, 1961",University of North Carolina
87,Warren Perkins,1950,1951,G-F,6-3	,190,"February 2, 1922",Tulane University
88,Kosta Perovic,2008,2008,C,7-2	,240,"February 19, 1985",
89,London Perrantes,2018,2018,G,6-2	,200,"October 3, 1994",University of Virginia
90,Aulcie Perry,1975,1975,C,6-10	,210,"July 3, 1950",Bethune-Cookman College
91,Curtis Perry,1971,1978,F,6-7	,220,"September 13, 1948",Missouri State University
92,Elliot Perry,1992,2002,G,6-0	,150,"March 28, 1969",University of Memphis
93,Ron Perry,1968,1970,G,6-3	,190,"December 29, 1943",Virginia Polytechnic Institute and State University
94,Tim Perry,1989,1996,F-C,6-9	,200,"June 4, 1965",Temple University
95,Chuck Person,1987,2000,F,6-8	,220,"June 27, 1964",Auburn University
96,Wesley Person,1995,2005,G,6-6	,195,"March 28, 1971",Auburn University
97,Alec Peters,2018,2018,F,6-9	,232,"April 13, 1995",Valparaiso University
98,Jim Petersen,1985,1992,F-C,6-10	,235,"February 22, 1962",University of Minnesota
99,Loy Petersen,1969,1970,G,6-5	,205,"July 26, 1945",Oregon State University
100,Bob Peterson,1954,1956,F,6-5	,210,"January 25, 1932",University of Oregon
101,Ed Peterson,1950,1951,C,6-9	,220,"June 27, 1924",Cornell University
102,Mel Peterson,1964,1970,G-F,6-4	,185,"March 23, 1938",Wheaton College
103,Morris Peterson,2001,2011,F,6-7	,218,"August 26, 1977",Michigan State University
104,Geoff Petrie,1971,1976,G,6-4	,190,"April 17, 1948",Princeton University
105,Johan Petro,2006,2013,C,7-0	,247,"January 27, 1986",
106,Drazen Petrovic*,1990,1993,G,6-5	,195,"October 22, 1964",
107,Richard Petruska,1994,1994,C-F,6-10	,260,"January 25, 1969","Loyola Marymount University, University of California, Los Angeles"
108,Bob Pettit*,1955,1965,F-C,6-9	,205,"December 12, 1932",Louisiana State University
109,Jerry Pettway,1968,1969,G-F,6-3	,185,"February 13, 1944",Northwood Institute
110,Roger Phegley,1979,1984,G-F,6-6	,205,"October 16, 1956",Bradley University
111,Jack Phelan,1950,1950,F,6-5	,195,"November 6, 1925",DePaul University
112,James Phelan,1954,1954,G,6-1	,175,"March 19, 1929",La Salle University
113,Derrick Phelps,1995,1995,G,6-4	,181,"July 31, 1972",University of North Carolina
114,Michael Phelps,1986,1988,G,6-4	,180,"October 3, 1961",Alcorn State University
115,Andy Phillip*,1948,1958,G-F,6-2	,195,"March 7, 1922",University of Illinois at Urbana-Champaign
116,Eddie Phillips,1983,1983,F,6-7	,225,"September 29, 1961",University of Alabama
117,Gary Phillips,1962,1966,G,6-3	,189,"December 7, 1939",University of Houston
118,Gene Phillips,1972,1973,G,6-4	,175,"October 25, 1948",Southern Methodist University
119,Bobby Phills,1992,2000,G,6-5	,210,"December 20, 1969",Southern University and A&M College
120,Eric Piatkowski,1995,2008,G-F,6-7	,215,"September 30, 1970",University of Nebraska
121,Walter Piatkowski,1969,1972,F,6-8	,220,"June 11, 1945",Bowling Green State University
122,Paul Pierce,1999,2017,F-G,6-7	,235,"October 13, 1977",University of Kansas
123,Ricky Pierce,1983,1998,G,6-4	,205,"August 19, 1959",Rice University
124,Stan Pietkiewicz,1979,1981,G-F,6-5	,200,"July 14, 1956",Auburn University
125,Mickael Pietrus,2004,2013,G-F,6-6	,215,"February 7, 1982",
126,John Pilch,1952,1952,F,6-3	,185,"July 11, 1925",University of Wyoming
127,Ed Pinckney,1986,1997,F,6-9	,195,"March 27, 1963",Villanova University
128,Kevinn Pinkney,2007,2007,F,6-10	,245,"October 20, 1983","University of Nevada, Reno"
129,John Pinone,1984,1984,F,6-8	,230,"February 19, 1961",Villanova University
130,Dave Piontek,1957,1963,F-C,6-6	,230,"August 27, 1934",Xavier University
131,Tom Piotrowski,1984,1984,C,7-1	,240,"October 17, 1960",La Salle University
132,Scottie Pippen*,1988,2004,F-G,6-8	,210,"September 25, 1965",University of Central Arkansas
133,Charles Pittman,1983,1986,F,6-8	,220,"March 23, 1958",University of Maryland
134,Dexter Pittman,2011,2014,C,6-11	,308,"March 2, 1988",University of Texas at Austin
135,Zoran Planinic,2004,2006,G,6-7	,195,"September 12, 1982",
136,Tibor Pleiss,2016,2016,C,7-3	,256,"November 2, 1989",
137,Marshall Plumlee,2017,2018,C,7-0	,250,"July 14, 1992",Duke University
138,Mason Plumlee,2014,2018,C-F,6-11	,245,"March 5, 1990",Duke University
139,Miles Plumlee,2013,2018,C-F,6-11	,249,"September 1, 1988",Duke University
140,Gary Plummer,1985,1993,F-C,6-9	,215,"February 21, 1962",Boston University
141,Pavel Podkolzin,2005,2006,C,7-5	,260,"January 15, 1985",
142,Jakob Poeltl,2017,2018,C,7-0	,248,"October 15, 1995",University of Utah
143,Dwayne Polee,1987,1987,G,6-5	,180,"March 2, 1963","University of Nevada, Las Vegas, Pepperdine University"
144,Jim Pollard*,1949,1955,F-C,6-4	,185,"July 9, 1922",Stanford University
145,Scot Pollard,1998,2008,C,6-11	,265,"February 12, 1975",University of Kansas
146,Ralph Polson,1953,1953,F-C,6-7	,200,"October 26, 1929",Whitworth
147,Olden Polynice,1988,2004,C-F,6-11	,220,"November 21, 1964",University of Virginia
148,Cliff Pondexter,1976,1978,F-C,6-9	,233,"September 15, 1954","California State University, Long Beach"
149,Quincy Pondexter,2011,2018,G-F,6-7	,220,"March 10, 1988",University of Washington
150,David Pope,1985,1986,F,6-7	,220,"April 15, 1962",Norfolk State University
151,Mark Pope,1998,2005,F,6-10	,235,"September 11, 1972","University of Washington, University of Kentucky"
152,Dave Popson,1989,1992,F-C,6-10	,220,"May 17, 1964",University of North Carolina
153,Ben Poquette,1978,1987,F-C,6-9	,235,"May 7, 1955",Central Michigan University
154,Chris Porter,2001,2001,F,6-7	,218,"May 9, 1978",Auburn University
155,Howard Porter,1972,1978,F-C,6-8	,220,"August 31, 1948",Villanova University
156,Kevin Porter,1973,1983,G,6-0	,170,"April 17, 1950",Saint Francis University
157,Otto Porter,2014,2018,F,6-8	,198,"June 3, 1993",Georgetown University
158,Terry Porter,1986,2002,G,6-3	,195,"April 8, 1963",University of Wisconsin-Stevens Point
159,Willie Porter,1968,1969,F,6-7	,205,"July 3, 1942",Tennessee State University
160,Bobby Portis,2016,2018,F,6-11	,230,"February 10, 1995",University of Arkansas
161,Bob Portman,1970,1973,F,6-5	,200,"March 22, 1947",Creighton University
162,Kristaps Porzingis,2016,2018,F-C,7-3	,240,"August 2, 1995",
163,James Posey,2000,2011,F-G,6-8	,215,"January 13, 1977",Xavier University
