,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Zan Tabak,1995,2001,C,7-0	,245,"June 15, 1970",
1,Yuta Tabuse,2005,2005,G,5-9	,165,"October 5, 1980",Brigham Young University Hawaii
2,Chris Taft,2006,2006,F,6-10	,260,"March 10, 1985",University of Pittsburgh
3,Sid Tanenbaum,1948,1949,G,6-0	,160,"October 8, 1925",New York University
4,Dragan Tarlac,2001,2001,C,6-10	,260,"May 9, 1973",
5,Roy Tarpley,1987,1995,C-F,6-11	,230,"November 28, 1964",University of Michigan
6,Levern Tart,1968,1971,G-F,6-2	,195,"June 1, 1942",Bradley University
7,Earl Tatum,1977,1980,G-F,6-5	,185,"July 26, 1953",Marquette University
8,Jayson Tatum,2018,2018,F,6-8	,205,"March 3, 1998",Duke University
9,Edy Tavares,2016,2017,C,7-3	,260,"March 22, 1992",
10,Anthony Taylor,1989,1989,G,6-4	,175,"November 30, 1965",University of Oregon
11,Brian Taylor,1973,1982,G,6-2	,185,"June 9, 1951",Princeton University
12,Donell Taylor,2006,2007,G,6-6	,180,"July 26, 1982","Okaloosa-Walton Community College, University of Alabama at Birmingham"
13,Fatty Taylor,1970,1977,G,6-0	,175,"March 13, 1946",La Salle University
14,Fred Taylor,1971,1972,G-F,6-5	,180,"February 5, 1948",University of Texas-Pan American
15,Isaiah Taylor,2017,2018,G,6-3	,170,"July 11, 1994",University of Texas at Austin
16,Jay Taylor,1990,1990,G,6-3	,190,"October 3, 1967",Eastern Illinois University
17,Jeff Taylor,1983,1987,G,6-4	,175,"January 1, 1960",Texas Tech University
18,Jeffery Taylor,2013,2015,F,6-7	,225,"May 23, 1989",Vanderbilt University
19,Jermaine Taylor,2010,2011,G,6-4	,210,"December 8, 1986",University of Central Florida
20,Johnny Taylor,1998,2000,F,6-9	,220,"June 4, 1974","Indian Hills Community College, University of Tennessee at Chattanooga"
21,Leonard Taylor,1990,1990,F,6-8	,220,"May 2, 1966",University of California
22,Maurice Taylor,1998,2007,F,6-9	,260,"October 30, 1976",University of Michigan
23,Mike Taylor,2009,2009,G,6-2	,165,"January 21, 1986",Iowa State University
24,Oliver Taylor,1971,1974,G-F,6-2	,194,"March 7, 1947",University of Houston
25,Ronald Taylor,1970,1972,C,7-1	,265,"November 21, 1947",University of Southern California
