,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Stephen Vacendak,1968,1970,G,6-1	,185,"August 15, 1944",Duke University
1,Jonas Valanciunas,2013,2018,C,7-0	,265,"May 6, 1992",
2,Darnell Valentine,1982,1991,G,6-1	,183,"February 3, 1959",University of Kansas
3,Denzel Valentine,2017,2018,G,6-6	,212,"November 16, 1993",Michigan State University
4,Ronnie Valentine,1981,1981,F,6-7	,210,"November 27, 1957",Old Dominion University
5,John Vallely,1971,1972,G,6-3	,185,"October 3, 1948","University of California, Los Angeles"
6,Dick Van Arsdale,1966,1977,G-F,6-5	,210,"February 22, 1943",Indiana University
7,Tom Van Arsdale,1966,1977,F-G,6-5	,202,"February 22, 1943",Indiana University
8,Butch van Breda Kolff,1947,1950,G-F,6-3	,185,"October 28, 1922",New York University
9,Jan van Breda Kolff,1975,1983,F-G,6-7	,195,"December 16, 1951",Vanderbilt University
10,Nick Van Exel,1994,2006,G,6-1	,170,"November 27, 1971","Trinity Valley Community College, University of Cincinnati"
11,Keith Van Horn,1998,2006,F,6-10	,220,"October 23, 1975",University of Utah
12,Norm Van Lier,1970,1979,G,6-1	,173,"April 1, 1947",Saint Francis University
13,Dennis Van Zant,1976,1976,F,6-9	,210,"June 1, 1952",Azusa Pacific University
14,Gene Vance,1948,1952,G-F,6-3	,195,"February 25, 1923",University of Illinois at Urbana-Champaign
15,Logan Vander Velden,1996,1996,F,6-8	,215,"April 3, 1971",University of Wisconsin-Green Bay
16,Ernie Vandeweghe,1950,1956,F-G,6-3	,195,"September 12, 1928",Colgate University
17,Kiki Vandeweghe,1981,1993,F,6-8	,220,"August 1, 1958","University of California, Los Angeles"
18,Nick Vanos,1986,1987,C,7-1	,255,"April 13, 1963",Santa Clara University
19,David Vanterpool,2001,2001,G,6-5	,200,"March 31, 1973",St. Bonaventure University
20,Fred VanVleet,2017,2018,G,6-0	,195,"February 25, 1994",Wichita State University
21,Ratko Varda,2002,2002,C,7-1	,260,"May 6, 1979",
22,Anderson Varejao,2005,2017,F-C,6-10	,273,"September 28, 1982",
23,Jarvis Varnado,2013,2014,F,6-9	,230,"March 1, 1988",Mississippi State University
24,Greivis Vasquez,2011,2017,G,6-6	,217,"January 16, 1987",University of Maryland
25,Chico Vaughn,1963,1970,G,6-2	,190,"February 19, 1940",Southern Illinois University
26,David Vaughn,1975,1976,C,6-11	,220,"June 4, 1952",Oral Roberts University
27,David Vaughn,1996,1999,F,6-9	,240,"March 23, 1973",University of Memphis
28,Jacque Vaughn,1998,2009,G,6-1	,190,"February 11, 1975",University of Kansas
29,Rashad Vaughn,2016,2018,G,6-6	,202,"August 16, 1996","University of Nevada, Las Vegas"
30,Virgil Vaughn,1947,1947,F-C,6-4	,205,"May 15, 1918",Western Kentucky University
31,Loy Vaught,1991,2001,F,6-9	,230,"February 27, 1968",University of Michigan
32,Bob Verga,1968,1974,G,6-1	,190,"September 7, 1945",Duke University
33,Pete Verhoeven,1982,1987,F,6-9	,215,"February 15, 1959","California State University, Fresno"
34,Jan Vesely,2012,2014,F,6-11	,240,"April 24, 1990",
35,Gundars Vetra,1993,1993,F,6-6	,195,"May 22, 1967",
36,Joao Vianna,1992,1992,F,6-9	,215,"November 15, 1966",
37,Charlie Villanueva,2006,2016,F,6-11	,232,"August 24, 1984",University of Connecticut
38,Jay Vincent,1982,1990,F,6-7	,220,"June 10, 1959",Michigan State University
39,Sam Vincent,1986,1992,G,6-2	,185,"May 18, 1963",Michigan State University
40,Marcus Vinicius,2007,2008,F,6-8	,225,"May 31, 1984",
41,Fred Vinson,1995,2000,G,6-4	,190,"January 28, 1971",Georgia Institute of Technology
42,Claude Virden,1973,1973,F,6-6	,195,"November 25, 1947",Murray State University
43,Gary Voce,1990,1990,F,6-9	,240,"November 24, 1965",University of Notre Dame
44,Floyd Volker,1950,1950,F-C,6-4	,205,"June 21, 1921",University of Wyoming
45,Alexander Volkov,1990,1992,C,6-10	,218,"March 28, 1964",
46,Whitey Von Nieda,1950,1950,G-F,6-1	,170,"June 19, 1922",Pennsylvania State University
47,Noah Vonleh,2015,2018,F,6-10	,240,"August 24, 1995",Indiana University
48,Jake Voskuhl,2001,2009,C,6-11	,245,"November 1, 1977",University of Connecticut
49,Danny Vranes,1982,1988,F,6-7	,210,"October 29, 1958",University of Utah
50,Slavko Vranes,2004,2004,C,7-5	,275,"January 30, 1983",
51,Stojko Vrankovic,1991,1999,C,7-2	,260,"January 22, 1964",
52,Brett Vroman,1981,1981,C,7-0	,220,"December 25, 1955","University of California, Los Angeles, University of Nevada, Las Vegas"
53,Jackson Vroman,2005,2006,F-C,6-10	,220,"June 6, 1981",Iowa State University
54,Nikola Vucevic,2012,2018,C,7-0	,260,"October 24, 1990",University of Southern California
55,Sasha Vujacic,2005,2017,G,6-7	,195,"March 8, 1984",
