,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-02-05,24-202,CLE,@,ATL,L (-17),0,20:00,4,7,.571,0,0,,4,8,.500,0,0,0,3,0,0,5,3,12,3.0
1,2,2,1999-02-06,24-203,CLE,@,BOS,L (-4),0,25:00,2,7,.286,0,2,.000,2,4,.500,0,1,1,2,1,0,3,2,6,0.0
2,3,3,1999-02-08,24-205,CLE,,IND,L (-6),0,28:00,4,6,.667,0,0,,5,6,.833,1,5,6,2,1,0,3,2,13,10.8
3,4,4,1999-02-10,24-207,CLE,@,CHH,W (+10),0,26:00,3,9,.333,0,0,,1,1,1.000,1,2,3,1,2,0,2,1,7,3.5
4,5,5,1999-02-11,24-208,CLE,,SAS,W (+10),0,27:00,5,11,.455,1,1,1.000,3,3,1.000,1,2,3,2,0,0,1,2,14,9.2
5,6,6,1999-02-16,24-213,CLE,,ORL,W (+12),0,28:00,3,6,.500,1,1,1.000,4,4,1.000,1,3,4,4,2,0,4,1,11,10.0
6,7,7,1999-02-18,24-215,CLE,,NYK,W (+24),0,24:00,3,7,.429,0,0,,6,7,.857,0,1,1,6,2,0,0,2,12,13.6
7,8,8,1999-02-20,24-217,CLE,,NJN,W (+5),0,36:00,5,9,.556,0,0,,9,11,.818,0,4,4,5,3,1,4,2,19,17.5
8,9,9,1999-02-22,24-219,CLE,,PHI,L (-9),1,41:00,7,11,.636,0,0,,14,15,.933,1,2,3,10,1,0,3,3,28,27.8
9,10,10,1999-02-24,24-221,CLE,@,DET,L (-16),1,39:00,4,10,.400,0,1,.000,3,4,.750,4,5,9,4,2,0,5,2,11,8.5
10,11,11,1999-02-25,24-222,CLE,,IND,L (-7),1,39:00,3,9,.333,0,1,.000,0,0,,0,4,4,6,2,0,4,5,6,2.3
11,12,12,1999-03-01,24-226,CLE,@,NYK,L (-7),1,37:00,3,12,.250,0,3,.000,9,9,1.000,2,3,5,3,5,0,1,1,15,15.8
12,13,13,1999-03-02,24-227,CLE,,BOS,W (+17),1,36:00,3,6,.500,0,1,.000,10,12,.833,1,2,3,9,0,1,3,2,16,16.7
13,14,14,1999-03-04,24-229,CLE,,DET,L (-15),1,34:00,6,10,.600,1,2,.500,3,4,.750,0,2,2,6,2,0,1,4,16,15.2
14,15,15,1999-03-06,24-231,CLE,,GSW,W (+17),1,23:00,3,5,.600,0,2,.000,5,6,.833,0,2,2,3,2,0,1,2,11,11.2
15,16,16,1999-03-09,24-234,CLE,@,UTA,L (-13),0,22:00,2,10,.200,1,3,.333,4,4,1.000,0,0,0,1,1,0,1,3,9,2.3
16,17,17,1999-03-10,24-235,CLE,@,PHO,W (+13),0,21:00,2,7,.286,1,2,.500,2,2,1.000,2,2,4,5,2,0,0,2,7,9.6
17,18,18,1999-03-13,24-238,CLE,@,HOU,L (-11),0,27:00,8,16,.500,3,6,.500,4,6,.667,0,2,2,5,0,0,1,3,23,16.1
18,19,19,1999-03-15,24-240,CLE,@,CHI,W (+4),0,13:00,0,6,.000,0,3,.000,0,0,,0,1,1,1,0,0,0,0,0,-3.2
19,20,20,1999-03-18,24-243,CLE,,LAL,W (+7),0,13:00,5,8,.625,1,2,.500,1,1,1.000,0,0,0,1,1,0,2,1,12,7.7
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,1999-03-20,24-245,CLE,@,WAS,L (-30),0,11:00,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,2,1,0,-2.8
22,22,22,1999-03-25,24-250,CLE,@,ORL,L (-10),0,13:00,1,2,.500,0,0,,0,0,,0,1,1,3,0,0,0,0,2,3.4
23,23,23,1999-03-27,24-252,CLE,@,NJN,W (+10),0,25:00,4,9,.444,2,3,.667,2,2,1.000,0,3,3,1,5,0,1,1,12,12.5
24,24,24,1999-03-28,24-253,CLE,@,CHH,L (-21),1,32:00,2,8,.250,0,2,.000,0,0,,1,7,8,6,1,0,5,3,4,1.0
25,25,25,1999-03-30,24-255,CLE,,TOR,L (-10),1,26:00,3,8,.375,1,4,.250,8,8,1.000,0,2,2,5,1,0,3,0,15,12.7
26,26,26,1999-04-01,24-257,CLE,@,NYK,L (-4),0,25:00,3,10,.300,0,4,.000,3,3,1.000,0,4,4,3,0,0,2,4,9,2.9
27,27,27,1999-04-02,24-258,CLE,@,PHI,W (+5),0,20:00,4,10,.400,1,2,.500,3,3,1.000,0,2,2,3,2,0,3,1,12,7.9
28,28,28,1999-04-04,24-260,CLE,,MIL,W (+24),0,21:00,2,8,.250,1,2,.500,4,5,.800,2,1,3,5,1,0,1,0,9,9.0
29,29,29,1999-04-06,24-262,CLE,,CHI,W (+7),0,15:00,1,4,.250,0,1,.000,0,0,,1,0,1,0,0,0,1,1,2,-1.1
