,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-02-05,24-035,DAL,@,SEA,L (-6),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4
1,2,2,1999-02-07,24-037,DAL,@,GSW,W (+3),0,14:00,2,2,1.000,0,0,,2,4,.500,1,2,3,0,1,0,0,6,6,4.5
2,3,3,1999-02-09,24-039,DAL,,UTA,L (-11),0,5:00,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,2,2,4,1.3
3,4,4,1999-02-11,24-041,DAL,,HOU,L (-10),0,3:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8
4,5,5,1999-02-12,24-042,DAL,@,DEN,L (-6),1,15:00,1,6,.167,0,0,,2,2,1.000,1,2,3,0,0,0,0,3,4,0.3
5,6,6,1999-02-15,24-045,DAL,@,POR,L (-15),0,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7
6,7,7,1999-02-17,24-047,DAL,@,LAL,L (-13),0,12:00,3,7,.429,0,1,.000,0,0,,0,2,2,1,0,0,1,4,6,1.0
7,8,8,1999-02-19,24-049,DAL,@,GSW,L (-5),0,6:00,0,4,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.8
8,9,9,1999-02-20,24-050,DAL,@,LAC,W (+15),0,16:00,1,7,.143,0,0,,0,0,,1,0,1,0,0,0,1,2,2,-3.6
9,10,10,1999-02-22,24-052,DAL,@,PHO,L (-18),0,8:00,2,4,.500,0,0,,0,0,,0,4,4,0,0,0,1,2,4,1.4
10,11,11,1999-02-23,24-053,DAL,,ATL,W (+4),0,12:00,2,4,.500,0,1,.000,1,1,1.000,1,4,5,0,0,0,1,4,5,2.3
11,12,12,1999-02-26,24-056,DAL,@,UTA,L (-15),0,25:00,1,12,.083,0,1,.000,5,6,.833,2,2,4,2,3,0,0,1,7,4.6
12,13,13,1999-03-04,24-062,DAL,,SAS,L (-16),0,4:00,1,1,1.000,0,0,,3,4,.750,1,1,2,1,0,0,0,2,5,5.2
13,14,14,1999-03-05,24-063,DAL,@,UTA,L (-11),0,7:00,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,3,2,0.4
14,15,15,1999-03-09,24-067,DAL,,PHO,L (-12),0,5:00,0,3,.000,0,0,,0,0,,2,1,3,1,0,0,0,1,0,-0.1
15,16,16,1999-03-11,24-069,DAL,,ORL,W (+17),0,21:00,1,2,.500,0,0,,0,2,.000,3,5,8,2,0,3,1,4,2,4.7
