,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-02-06,31-150,CHH,,MIL,L (-6),0,41:00,6,13,.462,2,2,1.000,3,3,1.000,1,1,2,8,0,0,2,2,17,14.1
1,2,2,1999-02-08,31-152,CHH,,MIA,W (+3),0,6:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7
2,3,3,1999-02-10,31-154,CHH,,CLE,L (-10),0,14:00,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,2,2,0,-1.8
3,4,4,1999-02-11,31-155,CHH,@,ATL,L (-12),0,19:00,1,3,.333,1,1,1.000,1,1,1.000,0,4,4,2,0,0,0,1,4,4.5
4,5,5,1999-02-16,31-160,CHH,@,LAL,L (-28),1,23:00,4,6,.667,2,3,.667,2,2,1.000,0,2,2,3,1,0,0,2,12,12.3
5,6,6,1999-02-17,31-161,CHH,@,GSW,L (-9),0,14:00,1,4,.250,0,1,.000,0,0,,0,3,3,1,1,0,2,2,2,-0.6
6,7,7,1999-03-03,31-175,CHH,@,ORL,L (-17),0,9:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,2,0.5
7,8,8,1999-03-04,31-176,CHH,@,NJN,W (+14),0,22:00,4,5,.800,1,1,1.000,3,4,.750,0,2,2,1,0,0,0,1,12,10.6
8,9,9,1999-03-05,31-177,CHH,@,WAS,L (-1),0,15:00,2,3,.667,0,0,,0,0,,0,1,1,6,0,0,2,2,4,4.4
9,10,10,1999-03-09,31-181,CHH,,BOS,W (+18),0,15:00,2,5,.400,0,0,,0,0,,0,0,0,4,1,0,2,2,4,2.3
10,11,11,1999-03-17,31-189,ORL,,CHI,W (+9),0,5:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9
11,12,12,1999-03-18,31-190,ORL,@,NYK,W (+8),0,9:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6
12,13,13,1999-03-21,31-193,ORL,,LAL,L (-11),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
13,14,14,1999-03-25,31-197,ORL,,CLE,W (+10),0,3:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-2.5
14,15,15,1999-03-26,31-198,ORL,@,CHH,L (-8),0,5:00,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,0,1,2,0.9
15,16,16,1999-03-28,31-200,ORL,,MIA,W (+7),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
16,17,17,1999-03-31,31-203,ORL,@,WAS,L (-11),0,12:00,2,4,.500,0,0,,2,2,1.000,0,1,1,2,2,0,0,1,6,7.3
17,18,18,1999-04-02,31-205,ORL,@,CHI,W (+47),0,24:00,4,6,.667,1,3,.333,0,0,,0,7,7,6,1,0,3,2,9,9.9
18,19,19,1999-04-03,31-206,ORL,@,DET,W (+15),0,16:00,1,2,.500,0,1,.000,3,3,1.000,0,2,2,4,1,0,1,2,5,6.6
19,20,20,1999-04-05,31-208,ORL,,BOS,W (+7),0,13:00,2,6,.333,0,1,.000,2,3,.667,0,1,1,0,2,0,1,0,6,3.5
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,1999-04-06,31-209,ORL,@,NYK,W (+9),0,6:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-2.0
22,22,22,1999-04-08,31-211,ORL,@,CLE,W (+4),0,6:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3
23,23,23,1999-04-09,31-212,ORL,,MIL,W (+12),0,11:00,1,3,.333,0,1,.000,1,1,1.000,0,0,0,2,1,0,0,1,3,3.3
24,24,24,1999-04-14,31-217,ORL,@,IND,L (-3),0,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7
25,25,25,1999-04-16,31-219,ORL,@,ATL,L (-12),0,8:00,1,2,.500,0,1,.000,0,0,,1,1,2,1,0,0,2,2,2,-0.1
26,26,26,1999-04-18,31-221,ORL,,DET,W (+7),0,5:00,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-0.7
27,27,27,1999-04-19,31-222,ORL,@,TOR,L (-18),0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7
28,28,28,1999-04-25,31-228,ORL,@,PHI,L (-17),0,4:00,0,0,,0,0,,1,2,.500,0,0,0,1,1,0,1,0,1,1.3
29,29,29,1999-04-27,31-230,ORL,@,IND,W (+1),0,11:00,2,4,.500,0,0,,0,0,,0,1,1,2,0,0,0,1,4,3.3
30,30,30,1999-04-28,31-231,ORL,,WAS,W (+7),0,9:00,1,3,.333,0,0,,0,0,,0,2,2,2,1,0,0,1,2,2.9
31,31,31,1999-04-30,31-233,ORL,,NJN,W (+12),0,10:00,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,1,2,2,1.3
32,32,32,1999-05-05,31-238,ORL,@,CHI,W (+20),0,17:00,2,4,.500,0,0,,0,0,,0,1,1,9,0,0,1,0,4,7.6
