,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-02-05,31-052,MIA,,DET,L (-14),0,9:00,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,2,0,-0.2
1,2,2,1999-02-07,31-054,MIA,@,NYK,W (+4),0,6:00,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,1,0,0.9
2,3,3,1999-02-08,31-055,MIA,@,CHH,L (-3),1,16:00,1,4,.250,0,0,,0,0,,1,3,4,1,0,0,0,0,2,1.9
3,4,4,1999-02-09,31-056,MIA,,BOS,L (-7),1,14:00,1,2,.500,1,2,.500,1,2,.500,0,1,1,0,2,0,2,1,4,2.5
4,5,5,1999-02-17,31-064,MIA,@,DET,W (+11),0,9:00,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,3,2,0.1
5,6,6,1999-02-23,31-070,MIA,@,WAS,W (+16),0,15:00,2,4,.500,1,3,.333,0,0,,0,3,3,0,0,0,1,1,5,2.5
6,7,7,1999-02-26,31-073,MIA,@,DET,L (-2),0,11:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5
7,8,8,1999-03-02,31-077,MIA,,NYK,W (+1),1,23:00,2,4,.500,1,2,.500,0,0,,1,1,2,0,0,0,0,2,5,3.2
8,9,9,1999-03-07,31-082,MIA,@,IND,L (-13),0,6:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7
9,10,10,1999-03-10,31-085,MIA,,ATL,W (+10),1,21:00,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,2,4,5,1.4
10,11,11,1999-03-11,31-086,MIA,,TOR,W (+10),1,23:00,1,4,.250,1,1,1.000,0,0,,1,3,4,0,1,0,1,4,3,0.6
11,12,12,1999-03-14,31-089,MIA,,NJN,W (+26),1,20:00,1,4,.250,1,3,.333,0,0,,0,0,0,1,0,0,0,3,3,0.1
12,13,13,1999-03-16,31-091,MIA,,WAS,W (+9),1,13:00,0,2,.000,0,1,.000,0,0,,1,0,1,0,1,0,1,4,0,-2.3
13,14,14,1999-03-17,31-092,MIA,@,ATL,W (+1),1,22:00,3,4,.750,0,1,.000,0,0,,1,2,3,0,0,0,1,3,6,3.5
14,15,15,1999-03-20,31-095,MIA,,IND,L (-5),1,16:00,0,4,.000,0,1,.000,0,0,,3,3,6,0,0,0,0,2,0,-0.6
15,16,16,1999-03-23,31-098,MIA,@,UTA,L (-3),1,17:00,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,0.9
16,17,17,1999-03-24,31-099,MIA,@,MIL,W (+8),1,17:00,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,0,1,2,1.9
17,18,18,1999-03-26,31-101,MIA,@,MIN,L (-7),1,16:00,0,2,.000,0,1,.000,0,0,,0,0,0,5,0,0,0,2,0,1.3
18,19,19,1999-03-28,31-103,MIA,@,ORL,L (-7),1,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,3,0,-0.5
19,20,20,1999-04-04,31-110,MIA,@,WAS,W (+11),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,1999-04-06,31-112,MIA,@,TOR,W (+22),0,8:00,1,1,1.000,0,0,,1,2,.500,0,1,1,1,1,0,0,1,3,3.9
22,22,22,1999-04-07,31-113,MIA,,DAL,W (+6),0,4:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7
23,23,23,1999-04-10,31-116,MIA,@,CHI,W (+33),0,25:00,1,4,.250,0,1,.000,0,0,,0,0,0,0,3,0,1,3,2,0.4
24,24,24,1999-04-11,31-117,MIA,,MIL,W (+3),0,7:00,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,1,2,-0.4
25,25,25,1999-04-13,31-119,MIA,,CHI,W (+16),0,6:00,0,0,,0,0,,0,0,,0,0,0,0,1,1,1,3,0,-0.5
26,26,26,1999-04-14,31-120,MIA,@,MIL,L (-12),0,8:00,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,0,0,0,1.3
27,27,27,1999-04-18,31-124,MIA,,IND,W (+4),0,6:00,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,2,2,1.9
28,28,28,1999-04-21,31-127,MIA,,CLE,W (+13),0,8:00,1,1,1.000,1,1,1.000,1,2,.500,1,2,3,0,0,0,0,0,4,4.6
29,29,29,1999-04-25,31-131,MIA,,NYK,L (-2),0,6:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
30,30,30,1999-04-26,31-132,MIA,@,CLE,W (+25),0,21:00,0,2,.000,0,1,.000,0,0,,0,3,3,1,1,0,1,5,0,-1.8
31,31,31,1999-04-27,31-133,MIA,@,NJN,W (+19),0,16:00,0,2,.000,0,1,.000,0,0,,1,2,3,0,0,0,0,2,0,-0.9
32,32,32,1999-04-29,31-135,MIA,,BOS,L (-11),0,9:00,0,1,.000,0,1,.000,0,0,,0,3,3,0,2,1,0,2,0,2.1
33,33,33,1999-05-01,31-137,MIA,,CHI,L (-15),0,9:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4
