,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-02-05,29-171,ORL,,NYK,W (+8),1,24:00,6,13,.462,0,0,,2,3,.667,2,2,4,1,2,0,1,2,14,9.8
1,2,2,1999-02-06,29-172,ORL,@,PHI,L (-20),1,31:00,3,9,.333,0,0,,4,6,.667,2,2,4,1,2,1,4,1,10,5.1
2,3,3,1999-02-08,29-174,ORL,,BOS,W (+17),1,30:00,5,7,.714,0,0,,3,3,1.000,1,1,2,3,1,0,5,2,13,8.4
3,4,4,1999-02-10,29-176,ORL,@,NJN,W (+8),1,31:00,2,10,.200,0,0,,3,4,.750,3,3,6,2,1,1,1,1,7,5.1
4,5,5,1999-02-11,29-177,ORL,@,DET,W (+6),1,24:00,5,9,.556,0,0,,0,0,,2,2,4,2,0,1,2,5,10,5.8
5,6,6,1999-02-14,29-180,ORL,,MIL,W (+3),1,20:00,2,9,.222,0,0,,3,4,.750,1,3,4,4,2,0,2,0,7,5.5
6,7,7,1999-02-16,29-182,ORL,@,CLE,L (-12),1,23:00,5,7,.714,0,0,,2,2,1.000,1,1,2,2,1,0,2,1,12,10.1
7,8,8,1999-02-17,29-183,ORL,,WAS,W (+11),1,18:00,0,7,.000,0,0,,2,3,.667,0,3,3,1,1,0,4,1,2,-5.1
8,9,9,1999-02-19,29-185,ORL,@,ATL,W (+5),1,29:00,7,12,.583,0,0,,0,0,,2,5,7,4,0,1,4,4,14,9.2
9,10,10,1999-02-21,29-187,ORL,,HOU,W (+26),1,25:00,5,7,.714,0,0,,1,1,1.000,0,2,2,3,0,0,2,0,11,8.8
10,11,11,1999-02-22,29-188,ORL,,SAC,W (+11),1,20:00,2,5,.400,0,0,,2,2,1.000,2,1,3,4,1,0,3,2,6,5.0
11,12,12,1999-02-24,29-190,ORL,@,BOS,L (-32),1,19:00,4,8,.500,0,0,,5,9,.556,2,3,5,1,1,2,2,2,13,10.0
12,13,13,1999-02-26,29-192,ORL,,IND,W (+3),1,39:00,3,10,.300,0,0,,6,7,.857,5,5,10,2,2,0,1,4,12,11.6
13,14,14,1999-02-28,29-194,ORL,@,MIA,L (-6),1,30:00,6,10,.600,0,0,,1,2,.500,3,3,6,4,1,1,6,4,13,7.9
14,15,15,1999-03-01,29-195,ORL,,ATL,W (+3),1,31:00,4,14,.286,0,0,,3,4,.750,3,3,6,1,4,0,3,3,11,5.9
15,16,16,1999-03-03,29-197,ORL,,CHH,W (+17),1,33:00,8,13,.615,0,1,.000,4,6,.667,0,8,8,6,0,1,1,1,20,19.2
16,17,17,1999-03-05,29-199,ORL,@,TOR,W (+5),1,34:00,2,9,.222,0,0,,4,6,.667,1,7,8,1,0,0,4,1,8,0.8
17,18,18,1999-03-06,29-200,ORL,,DET,W (+5),1,35:00,9,16,.563,0,0,,5,7,.714,0,9,9,0,0,0,5,3,23,11.1
18,19,19,1999-03-08,29-202,ORL,,ATL,L (-4),1,33:00,5,15,.333,0,0,,1,2,.500,3,3,6,2,1,0,2,5,11,3.5
19,20,20,1999-03-10,29-204,ORL,@,SAS,L (-2),1,29:00,7,13,.538,0,0,,0,0,,0,2,2,1,1,1,4,6,14,4.3
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,1999-03-11,29-205,ORL,@,DAL,L (-17),1,26:00,4,8,.500,0,0,,2,2,1.000,1,2,3,2,1,0,1,3,10,7.5
22,22,22,1999-03-13,29-207,ORL,@,GSW,W (+13),1,25:00,4,12,.333,0,0,,4,10,.400,1,4,5,0,1,2,0,4,12,5.5
23,23,23,1999-03-15,29-209,ORL,,PHI,W (+1),1,22:00,4,15,.267,0,0,,1,2,.500,4,2,6,0,3,0,1,4,9,3.5
24,24,24,1999-03-17,29-211,ORL,,CHI,W (+9),1,26:00,4,10,.400,0,0,,4,4,1.000,5,4,9,3,3,2,2,0,12,15.8
25,25,25,1999-03-18,29-212,ORL,@,NYK,W (+8),1,25:00,5,12,.417,0,0,,3,4,.750,2,1,3,2,2,0,2,0,13,9.3
26,26,26,1999-03-21,29-215,ORL,,LAL,L (-11),1,16:00,4,8,.500,0,0,,2,4,.500,0,1,1,2,0,0,1,5,10,3.9
27,27,27,1999-03-23,29-217,ORL,,CHH,W (+8),1,25:00,1,9,.111,0,0,,1,4,.250,4,1,5,3,2,3,2,3,3,2.0
28,28,28,1999-03-25,29-219,ORL,,CLE,W (+10),1,27:00,3,5,.600,0,0,,1,4,.250,3,2,5,2,1,1,4,3,7,4.1
29,29,29,1999-03-26,29-220,ORL,@,CHH,L (-8),1,18:00,3,9,.333,0,0,,0,0,,1,2,3,1,1,0,1,3,6,1.7
30,30,30,1999-03-28,29-222,ORL,,MIA,W (+7),1,31:00,5,12,.417,0,0,,2,4,.500,1,3,4,3,2,1,3,2,12,7.4
31,31,31,1999-03-30,29-224,ORL,,NJN,W (+2),1,29:00,3,8,.375,0,0,,3,3,1.000,1,3,4,5,0,1,5,1,9,5.0
32,32,32,1999-03-31,29-225,ORL,@,WAS,L (-11),1,19:00,3,11,.273,0,0,,4,6,.667,1,5,6,1,0,0,3,3,10,1.4
33,33,33,1999-04-02,29-227,ORL,@,CHI,W (+47),1,23:00,3,7,.429,0,0,,2,3,.667,0,7,7,1,1,0,1,1,8,6.3
34,34,34,1999-04-03,29-228,ORL,@,DET,W (+15),1,33:00,1,3,.333,0,0,,5,6,.833,1,4,5,3,3,1,2,3,7,9.4
35,35,35,1999-04-05,29-230,ORL,,BOS,W (+7),1,19:00,3,7,.429,0,0,,0,0,,3,2,5,3,0,1,3,4,6,3.2
36,36,36,1999-04-06,29-231,ORL,@,NYK,W (+9),1,28:00,5,9,.556,0,0,,0,0,,1,6,7,4,0,2,2,2,10,9.6
37,37,37,1999-04-08,29-233,ORL,@,CLE,W (+4),1,25:00,3,10,.300,0,0,,2,4,.500,3,0,3,1,0,2,1,3,8,3.4
38,38,38,1999-04-09,29-234,ORL,,MIL,W (+12),1,18:00,3,7,.429,0,0,,0,1,.000,3,0,3,0,0,3,1,2,6,4.3
