,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-02-05,37-304,UTA,,CHI,W (+8),0,18:00,1,3,.333,0,0,,0,0,,1,2,3,1,0,2,1,1,2,2.3
1,2,2,1999-02-07,37-306,UTA,@,LAL,W (+9),0,4:00,1,1,1.000,0,0,,0,0,,0,0,0,0,1,1,0,0,2,3.4
2,3,3,1999-02-09,37-308,UTA,@,DAL,W (+11),0,3:00,0,0,,0,0,,0,0,,0,0,0,1,0,1,1,2,0,-0.4
3,4,4,1999-02-11,37-310,UTA,@,PHO,W (+8),0,18:00,3,3,1.000,0,0,,0,0,,1,3,4,0,1,1,0,2,6,7.6
4,5,5,1999-02-12,37-311,UTA,@,GSW,W (+16),0,22:00,4,8,.500,0,0,,0,0,,1,4,5,1,0,1,1,2,8,5.5
5,6,6,1999-02-15,37-314,UTA,,SAC,W (+8),0,22:00,4,6,.667,0,0,,1,4,.250,0,4,4,0,0,2,0,4,9,6.2
6,7,7,1999-03-02,37-329,UTA,@,POR,L (-2),0,20:00,3,7,.429,0,0,,0,0,,1,2,3,0,0,2,0,5,6,3.0
7,8,8,1999-03-03,37-330,UTA,,VAN,W (+23),0,13:00,4,5,.800,0,0,,2,2,1.000,2,2,4,1,0,0,1,2,10,9.0
8,9,9,1999-03-05,37-332,UTA,,DAL,W (+11),0,22:00,1,5,.200,0,0,,4,4,1.000,3,3,6,2,0,1,3,4,6,3.4
9,10,10,1999-03-07,37-334,UTA,,LAL,L (-8),0,13:00,3,4,.750,0,0,,0,0,,1,0,1,1,0,1,0,3,6,5.3
10,11,11,1999-03-09,37-336,UTA,,CLE,W (+13),0,9:00,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,1,2,2,-1.5
11,12,12,1999-03-11,37-338,UTA,,DEN,W (+5),0,19:00,5,10,.500,0,0,,1,1,1.000,1,1,2,1,0,1,0,3,11,7.2
12,13,13,1999-03-12,37-339,UTA,@,POR,W (+14),0,14:00,2,4,.500,0,0,,0,0,,3,0,3,1,1,0,0,1,4,5.4
13,14,14,1999-03-13,37-340,UTA,,MIN,W (+27),0,16:00,1,3,.333,0,0,,0,0,,0,3,3,1,0,0,0,0,2,1.9
14,15,15,1999-03-15,37-342,UTA,@,MIN,W (+7),0,11:00,0,2,.000,0,0,,0,0,,1,0,1,0,0,1,1,0,0,-1.0
