,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-02-05,23-078,PHO,@,LAC,W (+9),0,1:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-1.0
1,2,2,1999-02-07,23-080,PHO,,DEN,W (+7),0,1:00,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0
2,3,3,1999-02-09,23-082,PHO,,SAC,L (-17),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
3,4,4,1999-02-15,23-088,PHO,@,DEN,W (+9),0,14:00,0,2,.000,0,0,,0,0,,0,4,4,1,0,0,0,2,0,-0.3
4,5,5,1999-02-16,23-089,PHO,@,HOU,L (-17),0,7:00,0,4,.000,0,0,,0,0,,2,1,3,2,2,0,0,1,0,1.9
5,6,6,1999-03-04,23-105,PHO,@,SEA,W (+8),0,12:00,3,5,.600,0,0,,0,0,,2,2,4,1,0,0,0,2,6,5.6
6,7,7,1999-03-06,23-107,PHO,,SAC,L (-12),0,18:00,5,6,.833,0,0,,2,2,1.000,3,0,3,0,0,0,1,3,12,9.7
7,8,8,1999-03-09,23-110,PHO,@,DAL,W (+12),0,5:00,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1.7
8,9,9,1999-03-12,23-113,PHO,,SAS,L (-2),1,26:00,2,5,.400,0,1,.000,0,0,,2,2,4,3,2,0,1,0,4,6.4
9,10,10,1999-03-14,23-115,PHO,,HOU,W (+14),1,20:00,2,3,.667,0,0,,0,0,,0,6,6,2,1,0,1,0,4,5.9
10,11,11,1999-03-16,23-117,PHO,@,MIL,W (+18),1,16:00,2,4,.500,0,1,.000,0,0,,0,1,1,0,1,0,0,2,4,2.5
11,12,12,1999-03-17,23-118,PHO,@,CHH,L (-8),1,7:00,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,2,0,1,-2.1
12,13,13,1999-03-19,23-120,PHO,@,ATL,L (-8),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,2,0,0,-1.0
13,14,14,1999-03-22,23-123,PHO,,VAN,W (+5),0,9:00,2,7,.286,1,2,.500,0,0,,1,2,3,0,0,0,0,0,5,2.2
14,15,15,1999-03-24,23-125,PHO,@,LAL,W (+5),0,4:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1
15,16,16,1999-03-25,23-126,PHO,@,POR,L (-13),0,1:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7
16,17,17,1999-03-26,23-127,PHO,,NYK,L (-7),1,17:00,3,6,.500,0,1,.000,0,0,,3,5,8,0,0,0,0,0,6,6.6
17,18,18,1999-03-28,23-129,PHO,,POR,L (-2),1,12:00,1,6,.167,0,0,,0,0,,4,0,4,0,0,0,0,2,2,0.2
18,19,19,1999-03-31,23-132,PHO,,GSW,W (+15),1,22:00,3,9,.333,0,0,,1,3,.333,3,1,4,0,2,1,2,4,7,2.6
19,20,20,1999-04-02,23-134,PHO,,LAL,L (-1),1,8:00,0,3,.000,0,0,,0,0,,1,0,1,2,0,0,1,0,0,-1.0
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,1999-04-06,23-138,PHO,@,LAC,W (+5),1,8:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8
22,22,22,1999-04-25,23-157,PHO,,HOU,W (+24),0,2:00,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.1
23,23,23,1999-04-26,23-158,PHO,@,UTA,W (+14),0,2:00,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,4,3.0
24,24,24,1999-04-29,23-161,PHO,@,DEN,W (+11),1,10:00,3,8,.375,0,0,,0,0,,1,2,3,0,0,1,0,0,6,3.6
25,25,25,1999-05-01,23-163,PHO,,VAN,W (+30),0,5:00,3,3,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,6,5.0
26,26,26,1999-05-02,23-164,PHO,@,SAC,L (-11),0,10:00,1,4,.250,0,0,,2,2,1.000,1,0,1,0,0,0,0,3,4,1.1
27,27,27,1999-05-05,23-167,PHO,,MIN,W (+4),0,7:00,0,0,,0,0,,1,2,.500,0,1,1,1,0,0,0,0,1,1.6
