,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-03-04,26-015,SEA,,PHO,L (-8),0,7:00,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,1,0,0.9
1,2,2,1999-03-05,26-016,SEA,@,LAL,L (-3),0,10:00,0,0,,0,0,,0,0,,0,0,0,3,1,0,0,2,0,2.3
2,3,3,1999-03-07,26-018,SEA,,MIN,L (-11),0,4:00,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,0,-2.1
3,4,4,1999-03-09,26-020,SEA,@,MIN,L (-1),0,11:00,1,3,0.33299999999999996,1,3,0.33299999999999996,0,0,,0,0,0,2,0,0,1,2,3,0.9
4,5,5,1999-03-10,26-021,SEA,@,MIL,L (-4),0,5:00,0,2,0.0,0,1,0.0,0,0,,0,2,2,1,1,0,2,2,0,-1.9
5,6,6,1999-03-11,26-022,SEA,@,CHI,W (+9),0,13:00,1,6,0.16699999999999998,1,5,0.2,1,2,0.5,2,2,4,0,0,0,1,2,4,0.0
6,7,7,1999-03-14,26-025,SEA,,LAC,W (+19),0,10:00,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4
7,8,8,1999-03-16,26-027,SEA,,VAN,W (+2),0,19:00,1,2,0.5,0,1,0.0,3,4,0.75,0,2,2,0,0,0,1,5,5,1.2
8,9,9,1999-03-19,26-030,SEA,@,GSW,L (-12),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
9,10,10,1999-03-21,26-032,SEA,@,DEN,L (-4),0,18:00,0,0,,0,0,,0,0,,1,2,3,3,0,1,2,1,0,1.7
10,11,11,1999-03-22,26-033,SEA,,PHI,W (+16),0,21:00,3,3,1.0,2,2,1.0,0,0,,0,2,2,4,1,0,1,2,8,9.7
11,12,12,1999-03-28,26-039,SEA,@,DET,L (-17),0,17:00,1,2,0.5,1,1,1.0,2,2,1.0,0,0,0,1,1,0,1,0,5,4.7
12,13,13,1999-03-29,26-040,SEA,@,DAL,W (+8),0,3:00,1,1,1.0,1,1,1.0,1,3,0.33299999999999996,0,0,0,1,0,0,0,0,4,3.6
13,14,14,1999-03-30,26-041,SEA,@,SAS,L (-8),0,1:00,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,0,0,2.4
14,15,15,1999-04-30,26-072,SEA,,DEN,W (+10),0,18:00,1,5,0.2,1,5,0.2,0,0,,0,1,1,6,1,0,1,1,3,4.0
15,16,16,1999-05-02,26-074,SEA,,LAL,L (-7),0,1:00,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,2,0,-0.5
16,17,17,1999-05-04,26-076,SEA,,DAL,W (+10),0,24:00,1,6,0.16699999999999998,1,3,0.33299999999999996,2,2,1.0,0,3,3,2,1,0,1,3,5,2.3
