,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-02-05,26-208,IND,,WAS,W (+15),0,22:00,2,5,.400,0,1,.000,4,6,.667,1,0,1,2,0,1,0,1,8,6.9
1,2,2,1999-02-07,26-210,IND,@,DET,L (-9),0,19:00,2,4,.500,0,0,,2,2,1.000,0,0,0,2,1,0,0,6,6,4.0
2,3,3,1999-02-08,26-211,IND,@,CLE,W (+6),0,20:00,3,7,.429,1,2,.500,4,4,1.000,0,0,0,4,1,0,2,4,11,7.5
3,4,4,1999-02-10,26-213,IND,@,POR,L (-8),0,26:00,9,14,.643,2,2,1.000,0,0,,1,0,1,3,2,1,1,4,20,16.7
4,5,5,1999-02-11,26-214,IND,@,VAN,W (+4),0,19:00,3,6,.500,0,2,.000,2,2,1.000,0,0,0,2,0,0,0,1,8,6.0
5,6,6,1999-02-14,26-217,IND,@,LAL,W (+2),0,21:00,2,7,.286,2,2,1.000,0,0,,0,2,2,4,0,0,1,1,6,3.9
6,7,7,1999-02-16,26-219,IND,,MIA,L (-11),0,24:00,1,6,.167,1,1,1.000,0,0,,2,1,3,4,0,0,1,4,3,1.1
7,8,8,1999-02-18,26-221,IND,,PHI,W (+4),0,21:00,2,9,.222,0,1,.000,0,0,,1,3,4,6,0,0,2,6,4,-0.1
8,9,9,1999-02-20,26-223,IND,@,MIL,W (+2),0,20:00,3,6,.500,0,1,.000,0,0,,0,2,2,1,0,0,2,1,6,1.9
9,10,10,1999-02-21,26-224,IND,,NJN,W (+1),0,17:00,0,1,.000,0,0,,0,0,,1,2,3,1,0,0,1,2,0,-0.5
10,11,11,1999-02-24,26-227,IND,,TOR,W (+20),0,22:00,5,7,.714,0,1,.000,0,0,,0,0,0,1,1,0,1,1,10,7.4
11,12,12,1999-02-25,26-228,IND,@,CLE,W (+7),0,12:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,0,0,-2.0
12,13,13,1999-02-26,26-229,IND,@,ORL,L (-3),0,17:00,2,5,.400,0,1,.000,0,1,.000,0,0,0,4,0,0,4,4,4,-1.9
13,14,14,1999-03-02,26-233,IND,,DEN,W (+7),0,11:00,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,1,2,0,-2.2
14,15,15,1999-03-03,26-234,IND,@,WAS,W (+11),0,23:00,4,6,.667,2,3,.667,2,2,1.000,1,2,3,2,0,0,1,4,12,9.5
15,16,16,1999-03-05,26-236,IND,,GSW,L (-19),0,27:00,2,4,.500,0,0,,2,2,1.000,0,0,0,2,2,0,4,1,6,3.0
16,17,17,1999-03-07,26-238,IND,,MIA,W (+13),0,22:00,4,9,.444,1,4,.250,0,0,,0,2,2,2,1,0,0,2,9,6.5
17,18,18,1999-03-10,26-241,IND,,NJN,W (+11),0,18:00,2,6,.333,0,2,.000,0,0,,1,0,1,0,2,0,1,4,4,0.7
18,19,19,1999-03-12,26-243,IND,,MIL,W (+5),0,25:00,4,9,.444,0,2,.000,2,3,.667,0,1,1,7,2,0,1,1,10,10.7
19,20,20,1999-03-14,26-245,IND,,BOS,W (+3),0,20:00,2,4,.500,1,3,.333,1,2,.500,1,1,2,6,1,0,0,2,6,9.0
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,1999-03-16,26-247,IND,,ATL,L (-6),0,16:00,1,6,.167,0,0,,0,0,,1,2,3,4,0,0,1,1,2,0.9
22,22,22,1999-03-19,26-250,IND,,CHI,W (+9),0,24:00,4,10,.400,0,1,.000,1,1,1.000,1,1,2,5,2,0,1,1,9,8.7
23,23,23,1999-03-20,26-251,IND,@,MIA,W (+5),0,24:00,3,7,.429,1,2,.500,2,2,1.000,0,1,1,1,2,0,2,5,9,4.3
24,24,24,1999-03-22,26-253,IND,,WAS,W (+4),0,20:00,2,6,.333,0,1,.000,2,2,1.000,0,2,2,2,2,1,1,2,6,5.5
25,25,25,1999-03-24,26-255,IND,@,ATL,L (-1),0,20:00,2,8,.250,0,2,.000,3,3,1.000,0,2,2,3,0,0,0,1,7,4.5
26,26,26,1999-03-26,26-257,IND,@,NJN,W (+9),0,24:00,5,10,.500,0,0,,0,0,,0,4,4,4,4,0,2,2,10,10.2
27,27,27,1999-03-28,26-259,IND,@,BOS,W (+8),0,19:00,2,5,.400,0,1,.000,8,10,.800,1,1,2,3,0,0,3,3,12,7.4
28,28,28,1999-03-29,26-260,IND,,ATL,L (-1),0,15:00,1,4,.250,0,0,,0,0,,0,0,0,2,0,0,1,3,2,-1.2
