,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-11-02,22-326,VAN,,POR,L (-20),1,38:00,5,13,.385,0,1,.000,9,11,.818,2,8,10,3,0,1,3,3,19,13.5
1,2,2,1999-11-03,22-327,VAN,@,LAL,L (-15),1,38:00,5,19,.263,0,1,.000,9,13,.692,5,6,11,2,1,0,4,2,19,9.0
2,3,3,1999-11-06,22-330,VAN,,DEN,W (+15),1,43:00,9,16,.563,1,1,1.000,8,8,1.000,2,8,10,4,3,0,1,1,27,27.6
3,4,4,1999-11-10,22-334,VAN,,ATL,W (+5),1,47:00,7,15,.467,0,1,.000,8,11,.727,4,8,12,9,0,3,6,4,22,19.1
4,5,5,1999-11-12,22-336,VAN,,GSW,L (-10),1,39:00,9,20,.450,0,1,.000,3,4,.750,5,10,15,7,0,0,3,2,21,17.8
5,6,6,1999-11-14,22-338,VAN,,LAC,W (+20),1,36:00,8,12,.667,0,0,,3,3,1.000,2,5,7,10,3,2,2,1,19,25.7
6,7,7,1999-11-16,22-340,VAN,@,SAC,L (-4),1,40:00,9,15,.600,0,1,.000,6,10,.600,4,14,18,1,4,3,5,2,24,23.5
7,8,8,1999-11-18,22-342,VAN,,SEA,L (-2),1,42:00,12,19,.632,1,4,.250,6,7,.857,4,10,14,5,0,0,7,6,31,22.0
8,9,9,1999-11-21,22-345,VAN,,MIN,L (-24),1,39:00,6,13,.462,0,1,.000,3,5,.600,4,7,11,0,2,2,5,3,15,9.6
9,10,10,1999-11-23,22-347,VAN,@,WAS,L (-2),1,38:00,7,14,.500,0,2,.000,9,11,.818,2,6,8,3,1,2,0,4,23,21.3
10,11,11,1999-11-24,22-348,VAN,@,CHH,L (-16),1,39:00,6,17,.353,0,2,.000,3,5,.600,3,18,21,2,0,2,1,4,15,12.4
11,12,12,1999-11-26,22-350,VAN,@,IND,L (-19),1,36:00,7,14,.500,0,0,,8,8,1.000,2,3,5,3,1,0,5,4,22,13.8
12,13,13,1999-11-27,22-351,VAN,@,MIN,L (-31),1,29:00,2,7,.286,0,0,,2,2,1.000,2,7,9,5,0,0,7,3,6,0.7
13,14,14,1999-11-29,22-353,VAN,,HOU,L (-8),1,40:00,6,15,.400,2,2,1.000,9,12,.750,1,8,9,5,0,0,2,1,23,17.9
14,15,15,1999-12-01,22-355,VAN,,IND,L (-7),1,36:00,10,22,.455,0,0,,4,4,1.000,4,6,10,2,1,2,1,5,24,18.0
15,16,16,1999-12-03,22-357,VAN,,CHH,L (-19),1,37:00,4,10,.400,0,0,,7,10,.700,1,6,7,5,1,1,1,4,15,13.5
16,17,17,1999-12-06,22-360,VAN,@,HOU,L (-3),1,28:00,9,15,.600,0,2,.000,6,8,.750,1,5,6,2,1,0,2,4,24,17.3
17,18,18,1999-12-07,22-361,VAN,@,DAL,W (+9),1,38:00,8,19,.421,1,2,.500,9,11,.818,6,9,15,1,3,0,2,3,26,22.5
18,19,19,1999-12-09,22-363,VAN,@,SAS,L (-8),1,36:00,11,22,.500,1,1,1.000,7,10,.700,3,0,3,5,0,0,3,5,30,18.4
19,20,20,1999-12-11,23-000,VAN,,LAL,L (-12),1,39:00,7,14,.500,0,0,,5,7,.714,7,2,9,5,1,0,5,4,19,14.6
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,1999-12-13,23-002,VAN,@,LAC,L (-12),1,43:00,9,21,.429,0,2,.000,6,9,.667,2,14,16,2,2,1,5,3,24,15.2
22,22,22,1999-12-15,23-004,VAN,,SAC,L (-3),1,42:00,7,15,.467,0,0,,5,7,.714,1,14,15,3,1,1,3,2,19,15.4
23,23,23,1999-12-18,23-007,VAN,@,SEA,L (-23),1,41:00,6,16,.375,0,1,.000,13,16,.813,1,7,8,2,1,2,4,3,25,16.4
24,24,24,1999-12-19,23-008,VAN,,LAC,W (+1),1,42:00,6,14,.429,0,0,,8,10,.800,2,7,9,4,4,1,2,3,20,19.6
25,25,25,1999-12-23,23-012,VAN,,DEN,W (+2),1,44:00,12,31,.387,0,1,.000,5,5,1.000,2,11,13,3,4,2,2,1,29,21.9
26,26,26,1999-12-26,23-015,VAN,@,DEN,L (-23),1,38:00,7,19,.368,1,2,.500,5,8,.625,5,5,10,5,2,1,2,2,20,16.7
27,27,27,1999-12-27,23-016,VAN,,PHI,L (-7),1,40:00,11,22,.500,0,1,.000,2,2,1.000,1,11,12,5,1,2,4,1,24,18.5
28,28,28,1999-12-29,23-018,VAN,@,UTA,L (-11),1,37:00,6,15,.400,1,2,.500,5,6,.833,1,3,4,2,0,0,4,6,18,6.1
