,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,2000-02-17,23-208,MIL,,IND,L (-2),0,5:00,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,4,1.6
1,2,2,2000-02-19,23-210,MIL,,VAN,L (-11),0,5:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8
2,3,3,2000-02-22,23-213,MIL,@,WAS,L (-25),0,15:00,1,6,.167,0,0,,0,0,,0,0,0,4,0,0,3,2,2,-2.8
3,4,4,2000-02-25,23-216,MIL,,PHI,L (-14),0,6:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7
4,5,5,2000-02-27,23-218,MIL,,ORL,W (+7),0,15:00,2,4,.500,1,1,1.000,0,0,,0,0,0,3,0,0,0,2,5,4.3
5,6,6,2000-03-02,23-222,MIL,@,NYK,L (-15),0,16:00,0,5,.000,0,2,.000,0,0,,1,1,2,1,1,0,0,1,0,-1.2
6,7,7,2000-03-06,23-226,MIL,,ATL,W (+33),0,12:00,0,2,.000,0,0,,0,0,,0,0,0,6,0,0,1,1,0,1.4
7,8,8,2000-03-08,23-228,MIL,@,BOS,L (-11),0,1:00,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4
8,9,9,2000-03-10,23-230,MIL,,NJN,L (-28),0,22:00,0,5,.000,0,2,.000,0,0,,0,0,0,7,2,0,3,0,0,0.4
9,10,10,2000-03-12,23-232,MIL,,CLE,W (+31),0,6:00,3,3,1.000,0,0,,0,0,,0,0,0,1,1,0,2,1,6,4.4
10,11,11,2000-03-14,23-234,MIL,@,MIA,L (-4),0,12:00,1,4,.250,0,1,.000,0,0,,1,0,1,2,0,0,1,1,2,0.3
11,12,12,2000-03-16,23-236,MIL,,HOU,W (+10),0,15:00,1,6,.167,0,0,,2,2,1.000,1,1,2,0,0,0,1,3,4,-1.0
12,13,13,2000-03-18,23-238,MIL,@,NJN,L (-2),0,6:00,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,0.7
13,14,14,2000-03-19,23-239,MIL,@,MIN,L (-27),0,27:00,0,4,.000,0,0,,0,0,,0,2,2,3,1,0,1,2,0,-0.9
14,15,15,2000-03-23,23-243,MIL,@,IND,W (+21),0,15:00,1,2,.500,0,0,,1,2,.500,0,0,0,7,1,0,1,2,3,5.7
15,16,16,2000-03-24,23-244,MIL,,MIA,L (-12),0,14:00,0,0,,0,0,,0,0,,0,3,3,2,0,0,2,0,0,0.3
16,17,17,2000-03-26,23-246,MIL,,BOS,W (+15),0,14:00,1,3,.333,0,0,,0,0,,0,2,2,3,1,0,1,3,2,1.8
17,18,18,2000-03-30,23-250,MIL,@,LAC,W (+19),0,21:00,2,5,.400,0,0,,0,0,,0,1,1,2,2,0,2,2,4,2.2
18,19,19,2000-04-01,23-252,MIL,@,POR,L (-34),0,19:00,2,4,.500,1,1,1.000,0,0,,0,1,1,4,0,0,1,0,5,5.1
19,20,20,2000-04-02,23-253,MIL,@,GSW,W (+4),0,10:00,0,3,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,2,0,-1.5
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,2000-04-04,23-255,MIL,,CHI,W (+19),0,9:00,1,3,.333,0,0,,0,0,,1,0,1,2,0,0,0,1,2,2.0
22,22,22,2000-04-08,23-259,MIL,,NJN,W (+8),0,5:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-1.0
23,23,23,2000-04-10,23-261,MIL,,ORL,W (+17),0,28:00,1,5,.200,1,2,.500,0,0,,0,3,3,5,0,0,2,2,3,1.5
24,24,24,2000-04-12,23-263,MIL,@,CLE,W (+1),0,16:00,1,5,.200,0,1,.000,0,0,,0,3,3,3,3,0,1,1,2,3.5
25,25,25,2000-04-14,23-265,MIL,,CHH,L (-3),0,15:00,2,5,.400,0,1,.000,0,0,,0,1,1,3,0,0,2,1,4,1.3
26,26,26,2000-04-17,23-268,MIL,@,ORL,W (+2),0,11:00,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,3,0,2,-1.3
27,27,27,2000-04-19,23-270,MIL,,WAS,W (+5),0,21:00,5,10,.500,0,0,,0,0,,1,0,1,4,0,0,0,0,10,8.5
