,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-11-02,31-352,POR,@,VAN,W (+20),0,22:00,3,4,.750,1,2,.500,0,0,,0,2,2,8,1,0,1,2,7,10.8
1,2,2,1999-11-03,31-353,POR,,LAC,W (+23),0,18:00,5,6,.833,2,3,.667,3,3,1.000,0,0,0,5,0,0,2,0,15,14.3
2,3,3,1999-11-05,31-355,POR,,DEN,W (+12),0,17:00,3,5,.600,1,3,.333,0,0,,0,1,1,5,1,0,0,2,7,8.7
3,4,4,1999-11-06,31-356,POR,,LAL,W (+15),0,17:00,1,4,.250,0,2,.000,5,5,1.000,0,0,0,1,2,0,3,2,7,3.5
4,5,5,1999-11-09,31-359,POR,@,UTA,L (-5),0,11:00,0,4,.000,0,2,.000,0,0,,0,0,0,0,0,0,2,0,0,-4.8
5,6,6,1999-11-12,31-362,POR,@,DEN,W (+15),0,22:00,2,6,.333,2,2,1.000,2,2,1.000,0,2,2,3,1,1,0,0,8,9.0
6,7,7,1999-11-13,31-363,POR,,ATL,W (+36),0,22:00,3,6,.500,1,4,.250,2,2,1.000,0,4,4,5,0,0,3,3,9,6.5
7,8,8,1999-11-16,32-001,POR,@,MIA,W (+5),0,24:00,5,7,.714,1,3,.333,0,1,.000,0,2,2,2,3,0,2,4,11,9.1
8,9,9,1999-11-17,32-002,POR,@,ORL,W (+2),0,15:00,2,5,.400,0,3,.000,1,1,1.000,0,1,1,2,2,0,2,1,5,3.6
9,10,10,1999-11-19,32-004,POR,@,PHI,W (+6),0,14:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,1,1,3,0,-1.9
10,11,11,1999-11-20,32-005,POR,@,CHH,W (+4),0,24:00,4,7,.571,2,4,.500,14,15,.933,1,0,1,6,1,0,2,1,24,23.8
11,12,12,1999-11-23,32-008,POR,@,CLE,L (-3),0,16:00,1,7,.143,0,5,.000,1,2,.500,1,0,1,1,1,0,0,1,3,0.1
12,13,13,1999-11-24,32-009,POR,@,MIN,W (+7),0,12:00,1,3,.333,1,1,1.000,4,4,1.000,0,3,3,1,0,0,1,1,7,5.5
13,14,14,1999-11-26,32-011,POR,,HOU,W (+3),0,21:00,4,7,.571,1,2,.500,2,2,1.000,0,1,1,1,1,0,0,1,11,9.3
14,15,15,1999-11-27,32-012,POR,@,LAC,W (+17),0,19:00,4,7,.571,1,3,.333,0,0,,2,0,2,1,0,0,2,3,9,4.6
15,16,16,1999-11-29,32-014,POR,,IND,L (-2),0,16:00,2,8,.250,1,4,.250,0,0,,0,0,0,2,0,0,0,0,5,1.6
16,17,17,1999-12-01,32-016,POR,,CHH,W (+4),0,25:00,4,8,.500,2,5,.400,3,8,.375,0,0,0,7,2,0,0,1,13,13.5
17,18,18,1999-12-03,32-018,POR,@,LAL,L (-13),0,13:00,0,2,.000,0,0,,2,2,1.000,0,1,1,1,0,0,1,1,2,0.2
18,19,19,1999-12-05,32-020,POR,@,PHO,W (+2),0,14:00,0,2,.000,0,0,,3,4,.750,0,0,0,0,0,0,0,2,3,0.4
19,20,20,1999-12-07,32-022,POR,,MIA,L (-10),1,37:00,5,14,.357,3,7,.429,6,7,.857,1,3,4,7,4,0,3,4,19,16.7
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,1999-12-09,32-024,POR,,MIN,W (+4),0,14:00,0,4,.000,0,4,.000,2,2,1.000,1,0,1,1,0,0,0,1,2,0.2
22,22,22,1999-12-11,32-026,POR,@,SAC,W (+5),0,21:00,5,8,.625,4,4,1.000,1,1,1.000,0,2,2,4,1,0,0,5,15,13.8
23,23,23,1999-12-16,32-031,POR,@,SEA,W (+26),0,22:00,6,9,.667,5,7,.714,0,0,,0,3,3,3,2,0,1,1,17,16.7
24,24,24,1999-12-17,32-032,POR,,PHO,L (-8),0,21:00,4,8,.500,3,6,.500,0,0,,0,1,1,4,0,0,0,4,11,8.5
25,25,25,1999-12-20,32-035,POR,@,DEN,L (-9),0,18:00,2,7,.286,0,3,.000,1,2,.500,0,1,1,2,1,0,0,1,5,2.8
26,26,26,1999-12-21,32-036,POR,@,HOU,W (+10),0,36:00,4,11,.364,1,6,.167,0,0,,1,0,1,6,1,0,1,1,9,7.4
27,27,27,1999-12-23,32-038,POR,,GSW,W (+20),0,19:00,3,11,.273,2,9,.222,2,2,1.000,0,0,0,3,1,0,0,2,10,5.8
28,28,28,1999-12-28,32-043,POR,,SEA,W (+5),0,19:00,0,1,.000,0,1,.000,0,0,,0,4,4,2,2,0,0,2,0,3.1
29,29,29,1999-12-30,32-045,POR,,PHI,W (+18),0,23:00,3,7,.429,1,4,.250,0,0,,0,3,3,7,1,0,2,4,7,6.5
30,30,30,2000-01-03,32-049,POR,@,CHI,W (+25),0,19:00,1,5,.200,0,3,.000,0,0,,0,2,2,6,2,0,2,1,2,3.3
31,31,31,2000-01-04,32-050,POR,@,TOR,W (+24),0,19:00,3,7,.429,1,3,.333,0,0,,1,3,4,2,2,0,1,1,7,6.9
32,32,32,2000-01-06,32-052,POR,@,MIN,L (-2),0,15:00,1,3,.333,0,0,,2,2,1.000,0,1,1,1,0,0,1,2,4,1.5
33,33,33,2000-01-08,32-054,POR,,PHO,W (+5),0,25:00,0,2,.000,0,1,.000,3,3,1.000,0,2,2,4,0,0,1,0,3,4.0
34,34,34,2000-01-10,32-056,POR,,DAL,W (+13),0,15:00,0,6,.000,0,4,.000,0,0,,0,0,0,4,0,1,0,1,0,-1.1
35,35,35,2000-01-12,32-058,POR,,CLE,W (+20),0,12:00,0,5,.000,0,1,.000,0,0,,0,0,0,2,1,0,0,2,0,-1.9
36,36,36,2000-01-14,32-060,POR,@,PHO,W (+22),0,14:00,0,2,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,0,0,0.6
37,37,37,2000-01-15,32-061,POR,@,DAL,L (-8),0,23:00,6,9,.667,3,5,.600,3,6,.500,2,2,4,2,2,0,0,2,18,17.5
38,38,38,2000-01-18,32-064,POR,@,HOU,L (-1),0,22:00,2,6,.333,2,3,.667,0,0,,0,5,5,2,0,0,0,2,6,4.7
39,39,39,2000-01-19,32-065,POR,@,SAS,W (+10),0,15:00,2,4,.500,1,2,.500,2,3,.667,0,1,1,2,0,0,2,2,7,3.5
40,40,40,2000-01-22,32-068,POR,@,LAL,W (+4),0,8:00,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,0,2,0.6
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,41,41,2000-01-24,32-070,POR,,NJN,W (+14),0,19:00,3,3,1.000,3,3,1.000,0,0,,0,3,3,0,0,0,4,2,9,4.2
43,42,42,2000-01-27,32-073,POR,,UTA,W (+10),0,20:00,4,7,.571,3,4,.750,1,3,.333,0,1,1,0,0,0,2,3,12,5.0
44,43,43,2000-01-29,32-075,POR,,SAS,W (+14),0,23:00,0,3,.000,0,2,.000,0,2,.000,0,4,4,4,1,0,1,1,0,0.7
45,44,44,2000-02-01,32-078,POR,,CHI,W (+11),1,37:00,4,11,.364,1,4,.250,1,1,1.000,1,5,6,4,1,0,3,1,10,6.5
46,45,45,2000-02-03,32-080,POR,@,NYK,L (-10),0,14:00,1,5,.200,0,4,.000,0,0,,0,3,3,2,0,0,1,1,2,-0.2
47,46,46,2000-02-04,32-081,POR,@,ATL,W (+7),0,15:00,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,1,2,1.6
48,47,47,2000-02-06,32-083,POR,@,BOS,W (+6),0,12:00,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,1,0,2,2,0.9
49,48,48,2000-02-07,32-084,POR,@,MIL,W (+4),0,26:00,6,10,.600,2,5,.400,0,0,,0,2,2,6,2,0,0,3,14,15.0
50,49,49,2000-02-09,32-086,POR,,LAC,W (+7),0,20:00,3,5,.600,1,2,.500,0,0,,0,3,3,3,1,0,0,2,7,7.9
51,50,50,2000-02-15,32-092,POR,@,GSW,W (+9),0,18:00,1,3,.333,0,2,.000,0,0,,0,1,1,3,1,1,2,2,2,1.6
52,51,51,2000-02-16,32-093,POR,,GSW,W (+4),0,14:00,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,1,1,0,-0.4
53,52,52,2000-02-18,32-095,POR,,WAS,W (+8),0,15:00,2,4,.500,2,4,.500,2,2,1.000,0,2,2,1,0,0,2,1,8,4.9
54,53,53,2000-02-20,32-097,POR,@,SAC,W (+5),0,17:00,1,4,.250,1,1,1.000,0,0,,0,1,1,2,2,0,1,3,3,2.1
55,54,54,2000-02-21,32-098,POR,,BOS,W (+13),0,22:00,2,8,.250,1,2,.500,0,0,,1,3,4,2,0,0,3,2,5,-0.6
56,55,55,2000-02-24,32-101,POR,,ORL,W (+19),0,18:00,2,3,.667,1,2,.500,2,2,1.000,0,1,1,5,1,0,1,1,7,9.1
57,56,56,2000-02-27,32-104,POR,,UTA,W (+9),0,16:00,2,4,.500,0,1,.000,4,6,.667,0,4,4,1,0,0,0,1,8,6.7
58,57,57,2000-02-29,32-106,POR,,LAL,L (-3),0,16:00,2,4,.500,1,2,.500,0,0,,0,1,1,0,1,0,2,1,5,1.9
59,58,58,2000-03-03,32-109,POR,,VAN,W (+10),1,31:00,4,10,.400,3,6,.500,0,0,,1,4,5,6,2,0,2,3,11,10.5
60,59,59,2000-03-06,32-112,POR,,TOR,L (-19),0,25:00,2,7,.286,1,4,.250,1,3,.333,0,2,2,4,0,0,0,1,6,4.1
61,60,60,2000-03-08,32-114,POR,@,NJN,L (-12),0,15:00,1,3,.333,1,3,.333,0,0,,0,1,1,1,0,0,1,2,3,0.5
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
63,61,61,2000-03-09,32-115,POR,@,IND,L (-8),0,22:00,0,4,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-1.8
64,62,62,2000-03-11,32-117,POR,@,DET,W (+5),0,18:00,3,5,.600,3,4,.750,2,2,1.000,0,1,1,1,1,0,0,2,11,9.9
65,63,63,2000-03-12,32-118,POR,@,WAS,W (+16),0,18:00,5,7,.714,5,6,.833,0,0,,0,1,1,1,0,0,2,2,15,10.3
66,64,64,2000-03-14,32-120,POR,,SAC,W (+5),0,18:00,2,5,.400,0,1,.000,1,2,.500,0,2,2,2,0,0,0,3,5,2.7
67,65,65,2000-03-16,32-122,POR,,MIN,L (-4),0,15:00,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-0.7
68,66,66,2000-03-18,32-124,POR,@,SEA,W (+1),0,15:00,2,2,1.000,2,2,1.000,0,0,,0,0,0,2,0,0,0,1,6,6.4
69,67,67,2000-03-22,32-128,POR,,DET,L (-9),0,19:00,1,4,.250,0,2,.000,1,2,.500,0,0,0,4,0,0,2,1,3,0.6
70,68,68,2000-03-24,32-130,POR,@,GSW,W (+13),0,12:00,0,2,.000,0,1,.000,0,0,,0,1,1,1,1,0,1,3,0,-1.6
71,69,69,2000-03-26,32-132,POR,,NYK,L (-4),0,11:00,2,3,.667,1,2,.500,0,0,,0,0,0,0,0,0,0,0,5,3.7
72,70,70,2000-03-28,32-134,POR,,SAS,L (-4),0,15:00,1,2,.500,1,2,.500,1,1,1.000,0,2,2,1,0,1,0,0,4,5.0
73,71,71,2000-03-30,32-136,POR,,DAL,W (+11),0,22:00,2,3,.667,2,2,1.000,0,0,,0,1,1,2,0,1,2,2,6,4.3
74,72,72,2000-04-01,32-138,POR,,MIL,W (+34),0,14:00,1,2,.500,1,2,.500,0,0,,0,2,2,4,0,0,0,2,3,4.6
75,73,73,2000-04-02,32-139,POR,,SEA,W (+13),0,16:00,0,2,.000,0,2,.000,2,2,1.000,0,1,1,2,1,0,1,3,2,1.1
76,74,74,2000-04-05,32-142,POR,,HOU,L (-13),0,22:00,3,7,.429,2,6,.333,0,0,,0,1,1,2,0,1,2,3,8,3.5
77,75,75,2000-04-06,32-143,POR,@,VAN,L (-2),0,17:00,2,6,.333,1,3,.333,0,0,,1,3,4,2,1,1,1,1,5,4.9
78,76,76,2000-04-08,32-145,POR,,VAN,W (+13),0,25:00,2,4,.500,2,4,.500,2,2,1.000,0,1,1,3,0,0,3,3,8,4.2
79,77,77,2000-04-10,32-147,POR,@,UTA,W (+4),0,16:00,2,4,.500,2,4,.500,0,1,.000,0,1,1,1,0,0,1,3,6,2.4
80,78,78,2000-04-11,32-148,POR,@,DAL,L (-11),0,24:00,3,10,.300,1,6,.167,2,2,1.000,1,0,1,2,2,0,2,5,9,3.3
81,79,79,2000-04-13,32-150,POR,@,SAS,W (+16),0,23:00,2,2,1.000,1,1,1.000,2,2,1.000,0,1,1,4,3,0,1,3,7,10.3
82,80,80,2000-04-16,32-153,POR,,SAC,W (+7),0,12:00,0,3,.000,0,1,.000,0,0,,1,0,1,2,0,0,0,4,0,-1.6
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
84,81,81,2000-04-18,32-155,POR,@,LAC,W (+16),0,19:00,1,3,.333,0,1,.000,0,0,,0,1,1,3,0,0,2,0,2,0.7
85,82,82,2000-04-19,32-156,POR,,DEN,L (-1),0,24:00,1,4,.250,1,3,.333,0,0,,1,1,2,5,0,0,2,2,3,2.3
