,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-11-02,31-093,POR,@,VAN,W (+20),0,3:00,3,3,1.000,0,0,,2,2,1.000,0,0,0,0,1,0,0,1,8,7.7
1,2,2,1999-11-03,31-094,POR,,LAC,W (+23),0,2:00,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,1.3
2,3,3,1999-11-05,31-096,POR,,DEN,W (+12),0,12:00,0,1,.000,0,0,,0,0,,3,1,4,1,1,0,1,1,0,2.0
3,4,4,1999-11-06,31-097,POR,,LAL,W (+15),0,20:00,1,1,1.000,0,0,,0,0,,2,5,7,1,1,0,1,1,2,4.9
4,5,5,1999-11-09,31-100,POR,@,UTA,L (-5),0,10:00,1,2,.500,0,0,,1,1,1.000,0,0,0,1,0,0,0,1,3,2.3
5,6,6,1999-11-12,31-103,POR,@,DEN,W (+15),0,10:00,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,0,1,0,0.6
6,7,7,1999-11-13,31-104,POR,,ATL,W (+36),0,24:00,3,5,.600,0,0,,2,4,.500,0,2,2,2,4,1,1,2,8,9.8
7,8,8,1999-11-16,31-107,POR,@,MIA,W (+5),0,7:00,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.2
8,9,9,1999-11-17,31-108,POR,@,ORL,W (+2),0,4:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4
9,10,10,1999-11-19,31-110,POR,@,PHI,W (+6),0,9:00,1,1,1.000,0,0,,0,2,.000,0,1,1,1,0,0,1,0,2,0.9
10,11,11,1999-11-20,31-111,POR,@,CHH,W (+4),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
11,12,12,1999-11-23,31-114,POR,@,CLE,L (-3),0,18:00,1,3,.333,0,0,,2,2,1.000,4,4,8,2,0,0,1,3,4,5.5
12,13,13,1999-11-24,31-115,POR,@,MIN,W (+7),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3
13,14,14,1999-11-26,31-117,POR,,HOU,W (+3),0,10:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,2,1,2,0,-0.8
14,15,15,1999-11-27,31-118,POR,@,LAC,W (+17),0,18:00,1,4,.250,0,0,,0,0,,1,3,4,0,1,0,1,2,2,0.4
15,16,16,1999-11-29,31-120,POR,,IND,L (-2),0,11:00,1,3,.333,0,0,,0,0,,0,1,1,0,0,1,1,1,2,-0.1
16,17,17,1999-12-01,31-122,POR,,CHH,W (+4),0,3:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.8
17,18,18,1999-12-03,31-124,POR,@,LAL,L (-13),0,6:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8
18,19,19,1999-12-05,31-126,POR,@,PHO,W (+2),0,10:00,3,4,.750,0,0,,0,0,,0,0,0,1,0,0,0,0,6,5.1
19,20,20,1999-12-07,31-128,POR,,MIA,L (-10),0,8:00,2,3,.667,0,0,,0,0,,1,2,3,0,0,0,1,0,4,3.0
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,1999-12-09,31-130,POR,,MIN,W (+4),0,8:00,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,2,2,-0.5
22,22,22,1999-12-11,31-132,POR,@,SAC,W (+5),0,16:00,1,3,.333,0,0,,0,0,,0,3,3,1,0,1,2,0,2,0.6
23,23,23,1999-12-16,31-137,POR,@,SEA,W (+26),0,21:00,4,5,.800,0,0,,0,0,,1,3,4,0,2,0,0,0,8,9.7
24,24,24,1999-12-17,31-138,POR,,PHO,L (-8),0,10:00,3,5,.600,0,0,,0,0,,0,1,1,1,0,0,1,1,6,3.3
25,25,25,1999-12-20,31-141,POR,@,DEN,L (-9),0,20:00,1,4,.250,0,0,,4,4,1.000,1,1,2,3,0,0,2,2,6,3.9
26,26,26,1999-12-21,31-142,POR,@,HOU,W (+10),0,20:00,2,4,.500,0,0,,0,0,,2,4,6,0,2,0,2,2,4,3.8
27,27,27,1999-12-23,31-144,POR,,GSW,W (+20),0,3:00,0,1,.000,0,0,,1,2,.500,0,2,2,0,0,0,0,1,1,0.1
28,28,28,1999-12-28,31-149,POR,,SEA,W (+5),0,8:00,1,1,1.000,0,0,,0,0,,2,0,2,1,0,0,0,1,2,3.4
29,29,29,1999-12-30,31-151,POR,,PHI,W (+18),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
30,30,30,2000-01-03,31-155,POR,@,CHI,W (+25),0,13:00,1,3,.333,0,0,,0,0,,1,0,1,4,0,0,4,0,2,-0.2
31,31,31,2000-01-04,31-156,POR,@,TOR,W (+24),0,4:00,1,1,1.000,0,0,,0,0,,0,1,1,1,1,0,1,1,2,2.3
32,32,32,2000-01-10,31-162,POR,,DAL,W (+13),0,20:00,3,5,.600,0,0,,0,0,,2,2,4,1,0,0,1,0,6,5.4
33,33,33,2000-01-12,31-164,POR,,CLE,W (+20),0,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7
34,34,34,2000-01-15,31-167,POR,@,DAL,L (-8),0,6:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1
35,35,35,2000-01-18,31-170,POR,@,HOU,L (-1),0,13:00,1,4,.250,0,0,,0,0,,1,2,3,2,1,0,1,1,2,1.9
36,36,36,2000-01-22,31-174,POR,@,LAL,W (+4),0,6:00,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2.0
37,37,37,2000-02-01,31-184,POR,,CHI,W (+11),0,12:00,2,6,.333,0,0,,2,2,1.000,0,1,1,0,0,1,1,2,6,1.8
38,38,38,2000-02-18,31-201,POR,,WAS,W (+8),0,12:00,1,2,.500,0,0,,1,2,.500,0,0,0,2,2,0,0,1,3,4.6
39,39,39,2000-02-20,31-203,POR,@,SAC,W (+5),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
40,40,40,2000-03-03,31-215,POR,,VAN,W (+10),0,11:00,2,3,.667,0,0,,1,2,.500,2,1,3,0,0,1,3,0,5,2.7
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,41,41,2000-03-06,31-218,POR,,TOR,L (-19),0,14:00,4,6,.667,0,0,,3,4,.750,3,0,3,1,0,0,0,0,11,10.8
43,42,42,2000-03-08,31-220,POR,@,NJN,L (-12),0,24:00,4,6,.667,0,0,,1,2,.500,0,2,2,5,1,0,1,5,9,8.1
44,43,43,2000-03-09,31-221,POR,@,IND,L (-8),0,10:00,2,5,.400,0,0,,2,2,1.000,0,1,1,1,0,0,0,1,6,3.9
45,44,44,2000-03-11,31-223,POR,@,DET,W (+5),0,5:00,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,1,2,2,1.2
46,45,45,2000-03-12,31-224,POR,@,WAS,W (+16),0,5:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1
47,46,46,2000-03-22,31-234,POR,,DET,L (-9),0,10:00,1,4,.250,0,0,,0,0,,0,0,0,0,1,0,0,4,2,-1.0
48,47,47,2000-03-24,31-236,POR,@,GSW,W (+13),0,5:00,1,3,.333,0,0,,1,1,1.000,0,1,1,0,1,0,0,1,3,2.2
49,48,48,2000-03-30,31-242,POR,,DAL,W (+11),0,13:00,1,4,.250,0,0,,1,2,.500,3,1,4,0,1,0,0,1,3,3.2
50,49,49,2000-04-01,31-244,POR,,MIL,W (+34),0,28:00,3,8,.375,0,1,.000,2,7,.286,2,3,5,4,4,1,2,1,8,9.0
51,50,50,2000-04-02,31-245,POR,,SEA,W (+13),0,9:00,2,5,.400,0,0,,0,0,,1,1,2,0,0,0,0,2,4,1.5
52,51,51,2000-04-05,31-248,POR,,HOU,L (-13),0,16:00,2,3,.667,0,0,,0,0,,1,1,2,1,1,0,0,2,4,4.6
53,52,52,2000-04-06,31-249,POR,@,VAN,L (-2),0,7:00,1,3,.333,0,0,,0,0,,0,0,0,1,1,0,0,1,2,1.6
54,53,53,2000-04-08,31-251,POR,,VAN,W (+13),0,17:00,2,4,.500,0,1,.000,0,2,.000,2,2,4,3,0,0,0,3,4,4.1
