,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-11-02,30-076,WAS,,ATL,W (+7),1,22:00,2,5,.400,0,0,,0,0,,0,11,11,2,0,2,2,1,4,5.0
1,2,2,1999-11-03,30-077,WAS,@,BOS,L (-11),1,26:00,4,6,.667,0,0,,0,0,,2,8,10,1,1,0,2,3,8,7.7
2,3,3,1999-11-06,30-080,WAS,,ORL,L (-3),1,24:00,5,8,.625,0,0,,0,0,,2,1,3,1,0,0,2,4,10,5.2
3,4,4,1999-11-07,30-081,WAS,@,NJN,L (-25),1,18:00,2,7,.286,0,1,.000,4,6,.667,1,4,5,3,0,1,1,5,8,4.8
4,5,5,1999-11-10,30-084,WAS,,SEA,L (-14),1,32:00,7,13,.538,0,0,,0,1,.000,1,4,5,1,1,2,5,4,14,5.7
5,6,6,1999-11-12,30-086,WAS,,MIA,L (-9),1,26:00,3,9,.333,0,0,,4,5,.800,0,6,6,2,0,0,2,2,10,4.9
6,7,7,1999-11-13,30-087,WAS,@,IND,L (-22),1,19:00,0,2,.000,0,0,,3,4,.750,0,8,8,3,0,0,4,3,3,0.5
7,8,8,1999-11-16,30-090,WAS,,PHI,L (-22),1,14:00,0,4,.000,0,1,.000,0,0,,0,2,2,0,1,1,2,3,0,-3.7
8,9,9,1999-11-18,30-092,WAS,,TOR,W (+11),1,33:00,7,16,.438,0,0,,6,6,1.000,2,11,13,2,1,0,4,3,20,13.5
9,10,10,1999-11-20,30-094,WAS,,LAC,L (-9),1,37:00,5,12,.417,0,0,,4,6,.667,3,9,12,0,0,1,5,1,14,6.9
10,11,11,1999-11-23,30-097,WAS,,VAN,W (+2),1,33:00,5,9,.556,0,0,,6,8,.750,1,7,8,1,0,0,5,4,16,7.8
11,12,12,1999-11-24,30-098,WAS,@,PHI,W (+8),1,33:00,4,9,.444,0,0,,7,8,.875,1,8,9,3,2,3,5,3,15,13.0
12,13,13,1999-11-26,30-100,WAS,@,CHH,L (-33),1,24:00,4,7,.571,0,0,,0,0,,1,3,4,2,0,0,2,4,8,4.1
13,14,14,1999-11-27,30-101,WAS,@,MIA,L (-3),1,40:00,6,11,.545,0,0,,0,0,,2,3,5,2,0,1,6,4,12,3.5
14,15,15,1999-11-30,30-104,WAS,@,NJN,W (+7),1,32:00,4,12,.333,0,0,,2,2,1.000,1,2,3,1,1,2,4,2,10,2.8
15,16,16,1999-12-01,30-105,WAS,,CLE,L (-3),1,25:00,3,7,.429,0,0,,1,4,.250,1,3,4,0,0,2,2,0,7,3.1
16,17,17,1999-12-03,30-107,WAS,@,TOR,L (-2),1,6:00,1,3,.333,0,0,,1,2,.500,0,0,0,0,0,0,0,1,3,0.5
17,18,18,1999-12-04,30-108,WAS,,SAC,L (-10),1,20:00,3,6,.500,0,0,,3,4,.750,0,6,6,1,0,0,3,1,9,4.7
18,19,19,1999-12-06,30-110,WAS,@,UTA,L (-6),1,34:00,3,10,.300,0,1,.000,4,6,.667,1,7,8,0,0,0,3,2,10,2.4
19,20,20,1999-12-07,30-111,WAS,@,LAL,L (-11),1,31:00,3,10,.300,0,0,,0,0,,0,4,4,3,0,1,0,5,6,2.2
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
