,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-11-13,20-097,MIN,,PHO,W (+11),0,1:00,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,1,0,1,-0.4
1,2,2,1999-11-21,20-105,MIN,@,VAN,W (+24),0,2:00,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,1.3
2,3,3,1999-11-26,20-110,MIN,@,DEN,L (-9),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
3,4,4,1999-11-27,20-111,MIN,,VAN,W (+31),0,6:00,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,1,1,2,-0.8
4,5,5,1999-11-30,20-114,MIN,,DEN,W (+17),0,1:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,0,0,-2.7
5,6,6,1999-12-02,20-116,MIN,,ORL,L (-10),0,2:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3
6,7,7,1999-12-04,20-118,MIN,,DAL,L (-19),0,6:00,0,3,.000,0,2,.000,0,0,,1,1,2,1,0,0,0,0,0,-0.4
7,8,8,1999-12-08,20-122,MIN,@,SEA,L (-16),0,14:00,1,4,.250,1,4,.250,2,4,.500,0,0,0,2,1,0,0,3,5,3.0
8,9,9,1999-12-09,20-123,MIN,@,POR,L (-4),0,1:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7
9,10,10,1999-12-11,20-125,MIN,,GSW,L (-28),0,14:00,0,1,.000,0,1,.000,2,4,.500,0,1,1,3,0,0,0,0,2,2.9
10,11,11,1999-12-14,20-128,MIN,@,ATL,L (-11),0,17:00,3,10,.300,1,3,.333,0,0,,2,3,5,3,1,0,1,2,7,4.8
11,12,12,1999-12-15,20-129,MIN,@,CHH,L (-5),0,9:00,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,2,1,0,-3.1
12,13,13,1999-12-17,20-131,MIN,,LAL,L (-9),0,4:00,1,4,.250,0,0,,0,2,.000,0,0,0,0,0,0,0,0,2,-1.2
13,14,14,1999-12-18,20-132,MIN,@,DAL,W (+4),0,2:00,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,-1.0
14,15,15,1999-12-20,20-134,MIN,@,CLE,W (+6),0,4:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,2,2.0
15,16,16,1999-12-22,20-136,MIN,@,CHI,W (+20),0,19:00,1,7,.143,0,1,.000,0,0,,0,3,3,3,0,0,1,3,2,-1.7
16,17,17,1999-12-27,20-141,MIN,@,ORL,W (+2),0,10:00,1,2,.500,0,0,,0,0,,0,1,1,3,1,0,1,2,2,2.6
17,18,18,1999-12-28,20-142,MIN,@,MIA,L (-11),0,15:00,2,7,.286,1,3,.333,0,0,,0,0,0,1,0,0,1,2,5,-0.2
18,19,19,1999-12-30,20-144,MIN,,CHI,W (+18),0,13:00,1,3,.333,0,0,,0,0,,0,2,2,3,1,0,1,1,2,2.6
19,20,20,2000-01-06,20-151,MIN,,POR,W (+2),0,5:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,1,1,2,1.0
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,2000-01-08,20-153,MIN,@,DET,W (+5),0,4:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,1,1,2,1.0
22,22,22,2000-01-09,20-154,MIN,@,PHI,W (+11),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4
23,23,23,2000-01-11,20-156,MIN,,MIA,L (-10),0,4:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,3.4
24,24,24,2000-01-13,20-158,MIN,,BOS,W (+18),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
25,25,25,2000-01-15,20-160,MIN,,LAL,L (-13),0,1:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7
26,26,26,2000-01-17,20-162,MIN,,IND,W (+1),1,17:00,2,12,.167,0,2,.000,0,0,,0,5,5,3,0,0,2,1,4,-2.4
27,27,27,2000-01-19,20-164,MIN,@,UTA,W (+3),0,10:00,0,3,.000,0,1,.000,1,2,.500,0,0,0,1,1,0,1,1,1,-1.2
28,28,28,2000-01-21,20-166,MIN,@,LAC,W (+6),0,7:00,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,1,2,0,-2.5
29,29,29,2000-01-23,20-168,MIN,@,GSW,W (+18),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4
30,30,30,2000-01-27,20-172,MIN,@,SAS,L (-12),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
31,31,31,2000-01-31,20-176,MIN,,SAC,W (+15),0,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,1,2,0,-1.5
32,32,32,2000-02-02,20-178,MIN,@,WAS,L (-10),0,10:00,1,2,.500,1,2,.500,2,2,1.000,0,0,0,2,1,0,1,3,5,4.2
33,33,33,2000-02-04,20-180,MIN,,HOU,W (+17),0,18:00,4,7,.571,1,1,1.000,0,0,,0,3,3,3,2,0,3,1,9,7.3
34,34,34,2000-02-05,20-181,MIN,@,DEN,W (+8),0,16:00,2,6,.333,1,3,.333,5,5,1.000,0,1,1,1,0,1,1,3,10,6.1
35,35,35,2000-02-09,20-185,MIN,@,LAL,L (-33),0,16:00,1,6,.167,0,4,.000,0,0,,0,1,1,2,0,0,3,4,2,-4.7
36,36,36,2000-02-10,20-186,MIN,@,PHO,L (-16),0,22:00,3,11,.273,2,6,.333,1,2,.500,0,3,3,2,2,0,3,2,9,2.6
37,37,37,2000-02-18,20-194,MIN,,VAN,W (+12),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
38,38,38,2000-02-22,20-198,MIN,,GSW,W (+23),0,16:00,0,2,.000,0,1,.000,3,4,.750,0,0,0,8,0,0,1,1,3,5.4
39,39,39,2000-02-24,20-200,MIN,,LAC,W (+25),0,19:00,3,8,.375,0,1,.000,2,2,1.000,0,1,1,5,2,0,0,3,8,8.2
40,40,40,2000-02-25,20-201,MIN,@,TOR,W (+22),0,12:00,0,2,.000,0,0,,0,0,,0,1,1,3,0,0,0,1,0,0.6
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,41,41,2000-02-27,20-203,MIN,,SAS,W (+4),0,13:00,2,7,.286,0,1,.000,0,0,,0,1,1,3,0,0,0,0,4,2.3
43,42,42,2000-02-29,20-205,MIN,,CHH,L (-5),0,10:00,2,2,1.000,0,0,,0,0,,1,1,2,5,0,0,1,1,4,6.5
44,43,43,2000-03-02,20-207,MIN,@,SAS,W (+6),0,10:00,2,4,.500,2,3,.667,0,0,,0,0,0,1,0,0,1,3,6,2.5
45,44,44,2000-03-04,20-209,MIN,@,MIL,W (+7),0,6:00,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,2,0,-0.1
46,45,45,2000-03-05,20-210,MIN,,SEA,W (+5),0,12:00,4,6,.667,1,1,1.000,0,1,.000,0,0,0,1,0,0,2,1,9,4.3
47,46,46,2000-03-07,20-212,MIN,,WAS,L (-4),0,9:00,0,6,.000,0,2,.000,0,0,,1,0,1,1,0,1,0,1,0,-2.5
