,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-11-05,32-206,BOS,,CHH,W (+3),0,12:00,1,5,.200,1,2,.500,0,0,,0,0,0,3,0,0,1,1,3,0.6
1,2,2,1999-11-06,32-207,BOS,@,IND,L (-7),0,11:00,3,4,.750,1,2,.500,0,0,,0,2,2,0,0,0,1,3,7,3.8
2,3,3,1999-11-10,32-211,BOS,,DET,L (-18),0,28:00,2,4,.500,1,1,1.000,3,3,1.000,0,2,2,6,0,0,1,1,8,9.4
3,4,4,1999-11-12,32-213,BOS,,NYK,W (+6),0,9:00,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,1,0,3,1.7
4,5,5,1999-11-13,32-214,BOS,@,CHI,L (-1),0,15:00,1,4,.250,0,1,.000,0,0,,0,0,0,1,1,0,0,0,2,1.3
5,6,6,1999-11-17,32-218,BOS,,CLE,W (+11),0,9:00,1,1,1.000,1,1,1.000,2,2,1.000,0,0,0,3,0,0,1,0,5,5.8
6,7,7,1999-11-19,32-220,BOS,,NJN,W (+13),0,12:00,2,8,.250,1,5,.200,0,0,,0,1,1,1,0,0,0,3,5,0.0
7,8,8,1999-11-20,32-221,BOS,@,MIA,L (-18),0,15:00,0,4,.000,0,2,.000,2,2,1.000,0,2,2,2,1,0,1,0,2,1.2
8,9,9,1999-11-22,32-223,BOS,,IND,W (+10),0,20:00,5,11,.455,3,5,.600,2,2,1.000,1,3,4,4,0,0,2,1,15,11.3
9,10,10,1999-11-24,32-225,BOS,,SAS,L (-23),0,17:00,4,6,.667,0,0,,0,0,,0,1,1,1,1,0,0,1,8,7.0
10,11,11,1999-11-26,32-227,BOS,,MIL,L (-2),0,10:00,0,3,.000,0,2,.000,0,0,,0,1,1,1,0,0,1,0,0,-2.1
11,12,12,1999-11-27,32-228,BOS,@,ATL,L (-10),0,16:00,3,9,.333,1,4,.250,5,5,1.000,0,2,2,1,0,0,1,2,12,6.4
12,13,13,1999-12-03,32-234,BOS,,MIA,W (+12),0,14:00,1,4,.250,0,0,,0,0,,1,2,3,0,0,0,1,0,2,-0.1
13,14,14,1999-12-04,32-235,BOS,@,PHI,L (-3),0,5:00,0,1,.000,0,0,,0,0,,0,0,0,3,0,0,0,0,0,1.4
14,15,15,1999-12-08,32-239,BOS,,DEN,W (+25),0,20:00,3,7,.429,0,3,.000,0,0,,0,1,1,1,2,0,2,1,6,2.9
15,16,16,1999-12-10,32-241,BOS,,HOU,W (+4),0,12:00,3,4,.750,0,0,,0,0,,0,0,0,2,1,0,0,1,6,6.4
16,17,17,1999-12-12,32-243,BOS,@,NYK,L (-2),0,9:00,3,5,.600,1,3,.333,0,0,,1,0,1,1,0,0,0,1,7,5.7
17,18,18,1999-12-14,32-245,BOS,@,CLE,L (-27),0,24:00,2,6,.333,0,4,.000,2,2,1.000,0,3,3,4,2,0,1,0,6,7.3
18,19,19,1999-12-15,32-246,BOS,,UTA,L (-10),0,13:00,1,6,.167,1,2,.500,0,0,,0,0,0,3,0,1,0,0,3,2.0
19,20,20,1999-12-17,32-248,BOS,@,SAS,L (-9),0,23:00,7,12,.583,1,2,.500,3,4,.750,0,5,5,2,2,0,2,2,18,14.1
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,1999-12-18,32-249,BOS,@,HOU,L (-6),0,9:00,2,5,.400,0,1,.000,0,0,,0,0,0,2,0,0,0,2,4,1.9
22,22,22,1999-12-20,32-251,BOS,,LAL,L (-9),0,13:00,2,6,.333,0,1,.000,2,2,1.000,0,2,2,0,1,0,1,1,6,2.8
23,23,23,1999-12-22,32-253,BOS,,ATL,W (+17),0,17:00,5,8,.625,3,5,.600,2,2,1.000,0,0,0,3,0,0,2,1,15,11.1
24,24,24,1999-12-26,32-257,BOS,@,LAC,L (-3),0,8:00,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,0.3
25,25,25,1999-12-28,32-259,BOS,@,SAC,L (-13),0,14:00,5,7,.714,1,2,.500,0,0,,0,1,1,0,0,0,1,2,11,6.6
26,26,26,1999-12-30,32-261,BOS,@,DEN,W (+8),0,16:00,3,6,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,0,7,5.0
27,27,27,2000-01-07,32-269,BOS,,SAC,W (+8),0,14:00,2,2,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,2,0,5,3.4
28,28,28,2000-01-08,32-270,BOS,@,CHI,L (-17),0,12:00,1,5,.200,0,2,.000,0,0,,0,0,0,1,0,0,1,1,2,-1.8
29,29,29,2000-01-10,32-272,BOS,,VAN,L (-9),0,6:00,1,3,.333,0,0,,0,0,,0,1,1,2,0,0,0,2,2,1.2
30,30,30,2000-01-12,32-274,BOS,,LAC,W (+7),0,12:00,0,3,.000,0,1,.000,0,0,,0,2,2,2,1,1,0,1,0,1.2
31,31,31,2000-01-13,32-275,BOS,@,MIN,L (-18),0,22:00,3,7,.429,2,3,.667,0,0,,1,2,3,2,2,0,1,2,8,7.2
32,32,32,2000-01-15,32-277,BOS,@,NJN,W (+3),0,19:00,4,7,.571,1,2,.500,0,0,,1,1,2,5,1,0,1,0,9,10.2
33,33,33,2000-01-17,32-279,BOS,@,WAS,W (+4),0,11:00,1,3,.333,0,0,,0,0,,0,1,1,2,0,0,0,0,2,2.0
34,34,34,2000-01-19,32-281,BOS,,TOR,W (+4),0,16:00,1,2,.500,0,0,,2,2,1.000,0,1,1,1,1,0,1,0,4,4.0
35,35,35,2000-01-21,32-283,BOS,,SEA,W (+25),0,27:00,2,7,.286,1,4,.250,1,2,.500,0,2,2,3,0,0,2,0,6,2.2
36,36,36,2000-01-22,32-284,BOS,@,CHH,L (-14),0,26:00,5,12,.417,1,5,.200,3,4,.750,0,3,3,1,1,0,1,4,14,7.2
37,37,37,2000-01-25,32-287,BOS,@,MIA,L (-26),0,37:00,6,10,.600,2,3,.667,4,5,.800,0,3,3,2,1,0,2,1,18,13.9
38,38,38,2000-01-26,32-288,BOS,@,ORL,L (-22),0,12:00,1,4,.250,1,3,.333,4,4,1.000,0,0,0,0,1,0,2,2,7,2.8
39,39,39,2000-01-28,32-290,BOS,,PHO,W (+3),0,5:00,1,1,1.000,1,1,1.000,1,1,1.000,0,1,1,0,0,0,0,1,4,3.6
40,40,40,2000-02-01,32-294,BOS,@,IND,L (-3),0,13:00,2,5,.400,1,3,.333,0,0,,0,0,0,1,0,0,2,2,5,0.2
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,41,41,2000-02-02,32-295,BOS,,MIA,L (-2),0,13:00,2,4,.500,1,1,1.000,0,0,,1,0,1,0,2,0,0,2,5,4.9
43,42,42,2000-02-04,32-297,BOS,,NJN,W (+5),0,15:00,3,8,.375,2,5,.400,0,0,,1,3,4,2,0,0,2,1,8,4.2
44,43,43,2000-02-06,32-299,BOS,,POR,L (-6),0,16:00,3,7,.429,0,0,,2,3,.667,0,0,0,2,0,0,1,1,8,3.9
45,44,44,2000-02-08,32-301,BOS,@,NJN,L (-18),0,11:00,2,3,.667,1,2,.500,0,0,,0,2,2,1,0,1,3,0,5,2.7
46,45,45,2000-02-09,32-302,BOS,,IND,L (-9),0,17:00,5,6,.833,1,1,1.000,0,0,,0,1,1,2,0,0,0,3,11,9.3
47,46,46,2000-02-15,32-308,BOS,@,UTA,W (+2),0,23:00,2,6,.333,0,2,.000,3,3,1.000,0,1,1,2,1,0,0,1,7,5.9
48,47,47,2000-02-18,32-311,BOS,@,GSW,L (-22),0,28:00,5,11,.455,2,3,.667,4,4,1.000,1,1,2,2,0,0,2,2,16,9.9
