,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-11-05,30-103,SAC,,MIN,W (+5),0,12:00,0,3,.000,0,0,,0,0,,0,2,2,1,0,0,1,1,0,-2.2
1,2,2,1999-11-06,30-104,SAC,@,MIN,L (-13),0,15:00,2,4,.500,1,2,.500,2,2,1.000,0,1,1,2,3,1,2,2,7,7.6
2,3,3,1999-11-12,30-110,SAC,,UTA,W (+13),0,17:00,4,6,.667,2,4,.500,2,2,1.000,0,1,1,3,3,1,1,4,12,12.9
3,4,4,1999-11-14,30-112,SAC,,DEN,W (+10),0,22:00,6,6,1.000,2,2,1.000,2,2,1.000,0,7,7,2,1,0,2,1,16,16.3
4,5,5,1999-11-16,30-114,SAC,,VAN,W (+4),0,23:00,3,7,.429,1,4,.250,3,3,1.000,1,1,2,3,2,0,1,2,10,9.6
5,6,6,1999-11-18,30-116,SAC,@,HOU,W (+18),0,22:00,5,6,.833,2,2,1.000,2,2,1.000,1,5,6,2,4,0,2,0,14,17.4
6,7,7,1999-11-19,30-117,SAC,@,DAL,W (+9),0,24:00,5,11,.455,0,2,.000,5,6,.833,1,4,5,1,2,0,0,1,15,13.1
7,8,8,1999-11-21,30-119,SAC,,HOU,W (+5),0,15:00,2,5,.400,0,1,.000,0,0,,0,4,4,1,1,0,2,0,4,2.2
8,9,9,1999-11-23,30-121,SAC,,NJN,W (+13),0,24:00,2,4,.500,0,1,.000,2,2,1.000,0,1,1,2,1,0,2,4,6,3.1
9,10,10,1999-11-26,30-124,SAC,,GSW,W (+29),0,17:00,3,4,.750,2,3,.667,0,0,,0,2,2,4,1,0,1,1,8,9.4
10,11,11,1999-11-29,30-127,SAC,@,MIA,L (-10),0,23:00,3,10,.300,2,4,.500,5,7,.714,1,2,3,5,1,0,2,1,13,9.8
11,12,12,1999-11-30,30-128,SAC,@,ORL,W (+9),0,20:00,2,5,.400,1,2,.500,3,3,1.000,0,0,0,0,0,0,1,0,8,4.3
12,13,13,1999-12-02,30-130,SAC,@,ATL,L (-10),0,17:00,0,3,.000,0,0,,0,0,,2,2,4,0,2,0,1,1,0,0.5
13,14,14,1999-12-21,30-149,SAC,,MIL,W (+13),0,25:00,2,5,.400,1,4,.250,2,2,1.000,1,1,2,5,1,0,2,0,7,7.8
14,15,15,1999-12-23,30-151,SAC,@,LAC,L (-6),0,23:00,3,6,.500,0,1,.000,1,1,1.000,0,2,2,2,0,0,2,0,7,4.0
15,16,16,1999-12-26,30-154,SAC,,DAL,W (+7),0,22:00,5,10,.500,0,3,.000,1,2,.500,1,5,6,5,2,0,1,1,11,11.9
