,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-11-02,23-264,BOS,@,TOR,W (+13),0,10:00,1,3,.333,0,0,,0,0,,1,1,2,1,0,0,0,4,2,0.4
1,2,2,1999-11-03,23-265,BOS,,WAS,W (+11),0,15:00,1,1,1.000,0,0,,0,0,,1,1,2,1,1,4,0,1,2,6.8
2,3,3,1999-11-05,23-267,BOS,,CHH,W (+3),0,29:00,8,13,.615,0,0,,2,3,.667,5,4,9,0,2,2,2,5,18,15.8
3,4,4,1999-11-06,23-268,BOS,@,IND,L (-7),0,17:00,2,6,.333,0,0,,1,1,1.000,0,2,2,1,1,1,0,1,5,4.2
4,5,5,1999-11-10,23-272,BOS,,DET,L (-18),0,16:00,2,6,.333,0,0,,2,2,1.000,1,1,2,1,0,0,0,5,6,2.3
5,6,6,1999-11-12,23-274,BOS,,NYK,W (+6),0,26:00,2,7,.286,0,0,,2,2,1.000,1,4,5,2,0,2,2,6,6,2.2
6,7,7,1999-11-13,23-275,BOS,@,CHI,L (-1),0,21:00,1,7,.143,0,0,,4,4,1.000,1,2,3,1,0,0,0,1,6,3.1
7,8,8,1999-11-17,23-279,BOS,,CLE,W (+11),0,8:00,0,1,.000,0,0,,0,0,,3,1,4,2,0,1,2,4,0,0.2
8,9,9,1999-11-19,23-281,BOS,,NJN,W (+13),0,27:00,4,6,.667,0,0,,2,2,1.000,2,7,9,2,1,4,0,2,10,15.3
9,10,10,1999-11-20,23-282,BOS,@,MIA,L (-18),0,16:00,2,3,.667,0,0,,1,2,.500,3,2,5,1,1,0,1,5,5,4.7
10,11,11,1999-11-22,23-284,BOS,,IND,W (+10),0,24:00,4,6,.667,0,0,,3,3,1.000,1,2,3,2,0,1,0,5,11,9.8
11,12,12,1999-11-24,23-286,BOS,,SAS,L (-23),0,20:00,6,10,.600,0,0,,1,2,.500,2,4,6,1,0,0,0,0,13,11.3
12,13,13,1999-11-26,23-288,BOS,,MIL,L (-2),0,11:00,2,2,1.000,0,0,,2,2,1.000,1,2,3,1,1,0,0,3,6,7.2
13,14,14,1999-11-27,23-289,BOS,@,ATL,L (-10),0,9:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,4,2,-0.3
14,15,15,1999-12-03,23-295,BOS,,MIA,W (+12),0,23:00,3,5,.600,0,0,,3,4,.750,3,9,12,0,1,5,2,5,9,11.6
15,16,16,1999-12-04,23-296,BOS,@,PHI,L (-3),0,33:00,8,14,.571,0,0,,0,2,.000,9,6,15,0,1,3,0,4,16,18.2
16,17,17,1999-12-08,23-300,BOS,,DEN,W (+25),0,25:00,5,9,.556,0,0,,5,6,.833,4,8,12,3,0,0,2,5,15,13.6
