,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-11-17,21-266,CHI,@,PHO,L (-24),0,18:00,2,7,.286,1,2,.500,1,5,.200,1,0,1,1,3,1,4,3,6,0.2
1,2,2,1999-11-19,21-268,CHI,@,LAL,L (-8),0,10:00,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,4,0,-3.7
2,3,3,1999-11-20,21-269,CHI,@,DEN,L (-9),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3
3,4,4,1999-11-24,21-273,CHI,@,MIL,L (-7),0,4:00,1,3,.333,1,1,1.000,0,0,,0,0,0,0,0,0,3,1,3,-2.1
4,5,5,1999-11-26,21-275,CHI,@,SAS,L (-23),0,3:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7
5,6,6,1999-11-27,21-276,CHI,@,DAL,L (-12),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4
6,7,7,1999-12-02,21-281,CHI,,DAL,L (-6),0,17:00,4,9,.444,0,2,.000,2,4,.500,1,0,1,2,0,0,0,3,10,5.4
7,8,8,1999-12-04,21-283,CHI,,MIL,L (-1),0,9:00,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-0.4
8,9,9,1999-12-08,21-287,CHI,@,CLE,L (-14),0,18:00,6,10,.600,0,0,,3,4,.750,1,0,1,1,1,0,1,0,15,11.4
9,10,10,1999-12-10,21-289,CHI,,NJN,W (+2),0,23:00,5,10,.500,1,1,1.000,0,0,,2,0,2,1,1,0,2,3,11,5.9
10,11,11,1999-12-11,21-290,CHI,@,ORL,L (-21),1,37:00,5,10,.500,3,5,.600,2,4,.500,1,5,6,2,1,0,1,5,15,10.8
11,12,12,1999-12-15,21-294,CHI,@,IND,L (-11),0,34:00,8,14,.571,0,1,.000,0,0,,0,3,3,3,1,0,3,3,16,9.2
12,13,13,1999-12-17,21-296,CHI,@,PHI,L (-3),0,28:00,7,13,.538,2,2,1.000,0,0,,2,1,3,2,2,1,3,6,16,10.1
13,14,14,1999-12-18,21-297,CHI,,ORL,L (-9),1,40:00,4,12,.333,3,4,.750,2,2,1.000,1,4,5,5,4,3,2,5,13,13.7
14,15,15,1999-12-20,21-299,CHI,,SEA,L (-9),1,33:00,8,25,.320,1,7,.143,2,2,1.000,1,6,7,4,0,1,1,4,19,8.1
15,16,16,1999-12-22,21-301,CHI,,MIN,L (-20),1,30:00,5,14,.357,0,2,.000,3,4,.750,0,3,3,0,2,0,2,4,13,4.1
16,17,17,1999-12-26,21-305,CHI,@,NJN,L (-27),1,43:00,5,15,.333,0,0,,5,6,.833,0,6,6,2,2,2,3,3,15,8.5
17,18,18,1999-12-27,21-306,CHI,,IND,L (-12),1,36:00,2,8,.250,0,2,.000,0,2,.000,0,7,7,2,0,1,2,6,4,-1.8
18,19,19,1999-12-29,21-308,CHI,,DET,L (-14),1,29:00,5,16,.313,3,6,.500,1,2,.500,0,2,2,0,0,1,2,5,14,1.7
19,20,20,1999-12-30,21-309,CHI,@,MIN,L (-18),1,32:00,8,14,.571,1,3,.333,4,5,.800,2,4,6,2,1,1,1,2,21,17.9
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,2000-01-03,21-313,CHI,,POR,L (-25),1,36:00,8,20,.400,1,2,.500,2,7,.286,1,6,7,0,1,1,5,4,19,3.8
22,22,22,2000-01-05,21-315,CHI,,WAS,W (+11),0,19:00,2,7,.286,1,3,.333,1,2,.500,0,1,1,3,1,2,2,4,6,2.7
23,23,23,2000-01-07,21-317,CHI,@,WAS,W (+7),0,25:00,5,8,.625,1,3,.333,0,0,,1,3,4,2,0,1,3,2,11,7.3
24,24,24,2000-01-08,21-318,CHI,,BOS,W (+17),0,17:00,0,4,.000,0,4,.000,0,0,,0,0,0,1,0,0,3,2,0,-5.9
25,25,25,2000-01-19,21-329,CHI,,CHH,L (-10),0,5:00,2,5,.400,1,2,.500,0,0,,1,0,1,1,0,1,0,1,5,4.0
26,26,26,2000-01-29,21-339,CHI,,TOR,L (-17),0,11:00,5,7,.714,1,1,1.000,0,0,,0,0,0,1,0,1,1,2,11,7.7
27,27,27,2000-02-04,21-345,CHI,@,VAN,L (-25),0,11:00,1,3,.333,0,0,,0,0,,0,1,1,1,1,0,1,0,2,1.3
28,28,28,2000-02-08,21-349,CHI,@,SAC,L (-39),0,8:00,2,2,1.000,0,0,,1,2,.500,0,0,0,0,1,0,3,0,5,2.0
29,29,29,2000-02-09,21-350,CHI,@,UTA,L (-27),0,12:00,2,6,.333,1,3,.333,0,0,,0,0,0,2,0,1,1,1,5,2.3
30,30,30,2000-03-05,22-010,CHI,@,CHH,L (-6),0,2:00,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,1.7
31,31,31,2000-03-07,22-012,CHI,,ATL,W (+7),0,3:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0
32,32,32,2000-03-08,22-013,CHI,@,ORL,L (-36),0,19:00,2,7,.286,0,1,.000,2,2,1.000,2,2,4,2,0,1,2,4,6,2.4
33,33,33,2000-03-10,22-015,CHI,@,BOS,L (-30),0,16:00,5,8,.625,0,1,.000,0,0,,1,2,3,0,1,0,2,4,10,5.1
34,34,34,2000-03-18,22-023,CHI,@,WAS,L (-13),0,6:00,1,3,.333,0,0,,0,2,.000,0,0,0,0,1,0,0,2,2,-0.3
35,35,35,2000-03-20,22-025,CHI,,ORL,L (-2),0,18:00,3,7,.429,1,3,.333,0,0,,1,2,3,2,1,0,0,3,7,5.8
36,36,36,2000-03-22,22-027,CHI,@,NYK,L (-11),0,6:00,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,2,0,0,-4.1
37,37,37,2000-03-26,22-031,CHI,@,HOU,L (-45),0,21:00,3,9,.333,0,1,.000,0,1,.000,0,1,1,0,1,1,0,3,6,1.3
38,38,38,2000-03-30,22-035,CHI,@,MIA,L (-25),0,17:00,3,9,.333,0,1,.000,6,7,.857,1,0,1,1,2,0,1,3,12,7.7
39,39,39,2000-04-01,22-037,CHI,,CHH,L (-3),0,16:00,5,7,.714,0,0,,1,2,.500,0,1,1,0,0,0,2,4,11,4.4
40,40,40,2000-04-02,22-038,CHI,@,CLE,W (+9),0,14:00,2,5,.400,0,1,.000,0,0,,1,1,2,0,0,1,2,2,4,0.2
