,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-11-02,21-173,VAN,,POR,L (-20),1,33:00,5,10,.500,0,1,.000,1,2,.500,1,1,2,8,1,0,1,1,11,11.8
1,2,2,1999-11-03,21-174,VAN,@,LAL,L (-15),1,36:00,3,11,.273,0,1,.000,2,2,1.000,1,1,2,4,2,0,3,2,8,3.5
2,3,3,1999-11-06,21-177,VAN,,DEN,W (+15),1,36:00,7,12,.583,0,1,.000,3,5,.600,1,5,6,16,1,0,1,5,17,22.0
3,4,4,1999-11-10,21-181,VAN,,ATL,W (+5),1,40:00,8,11,.727,0,0,,2,2,1.000,1,1,2,6,2,0,5,4,18,14.1
4,5,5,1999-11-12,21-183,VAN,,GSW,L (-10),1,33:00,2,5,.400,0,0,,2,2,1.000,2,2,4,7,1,0,4,1,6,6.8
5,6,6,1999-11-14,21-185,VAN,,LAC,W (+20),1,33:00,5,10,.500,0,0,,0,0,,2,3,5,6,1,0,3,3,10,8.3
6,7,7,1999-11-16,21-187,VAN,@,SAC,L (-4),1,37:00,3,10,.300,0,0,,0,2,.000,0,3,3,5,1,0,3,3,6,0.6
7,8,8,1999-11-18,21-189,VAN,,SEA,L (-2),1,31:00,5,9,.556,1,2,.500,2,4,.500,0,5,5,5,0,0,3,4,13,8.3
8,9,9,1999-11-21,21-192,VAN,,MIN,L (-24),1,36:00,2,9,.222,1,2,.500,8,8,1.000,0,1,1,2,3,0,1,3,13,10.0
9,10,10,1999-11-23,21-194,VAN,@,WAS,L (-2),1,33:00,2,8,.250,1,1,1.000,0,0,,1,2,3,3,3,1,4,4,5,1.7
10,11,11,1999-11-24,21-195,VAN,@,CHH,L (-16),1,31:00,3,7,.429,0,1,.000,3,3,1.000,0,0,0,6,0,0,4,4,9,3.9
11,12,12,1999-11-26,21-197,VAN,@,IND,L (-19),1,32:00,4,13,.308,0,1,.000,1,2,.500,2,4,6,7,1,0,3,0,9,6.6
12,13,13,1999-11-27,21-198,VAN,@,MIN,L (-31),1,26:00,2,7,.286,0,0,,2,4,.500,2,1,3,5,0,0,1,0,6,5.3
13,14,14,1999-11-29,21-200,VAN,,HOU,L (-8),1,39:00,9,18,.500,2,4,.500,5,7,.714,2,1,3,5,5,0,6,5,25,17.4
14,15,15,1999-12-01,21-202,VAN,,IND,L (-7),1,32:00,3,7,.429,1,2,.500,1,2,.500,0,4,4,7,1,0,2,4,8,7.4
15,16,16,1999-12-03,21-204,VAN,,CHH,L (-19),1,32:00,3,6,.500,0,0,,0,1,.000,0,1,1,9,2,1,4,0,6,7.9
16,17,17,1999-12-06,21-207,VAN,@,HOU,L (-3),1,34:00,5,11,.455,1,1,1.000,0,0,,1,3,4,2,0,0,4,2,11,3.5
17,18,18,1999-12-07,21-208,VAN,@,DAL,W (+9),1,30:00,5,10,.500,0,2,.000,3,4,.750,1,4,5,7,0,0,1,0,13,13.4
18,19,19,1999-12-09,21-210,VAN,@,SAS,L (-8),1,36:00,6,11,.545,0,0,,2,2,1.000,0,4,4,7,1,0,2,1,14,13.4
19,20,20,1999-12-11,21-212,VAN,,LAL,L (-12),1,38:00,9,17,.529,2,4,.500,3,3,1.000,0,4,4,8,0,0,2,3,23,18.3
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,1999-12-13,21-214,VAN,@,LAC,L (-12),1,33:00,2,6,.333,1,2,.500,5,6,.833,0,1,1,3,0,0,2,1,10,6.2
22,22,22,1999-12-15,21-216,VAN,,SAC,L (-3),1,38:00,7,17,.412,4,8,.500,8,10,.800,2,3,5,11,2,0,1,2,26,26.3
23,23,23,1999-12-18,21-219,VAN,@,SEA,L (-23),1,38:00,6,13,.462,0,1,.000,1,1,1.000,0,2,2,8,1,0,3,4,13,8.9
24,24,24,1999-12-19,21-220,VAN,,LAC,W (+1),1,41:00,6,14,.429,1,2,.500,0,0,,1,3,4,6,3,1,5,1,13,9.7
25,25,25,1999-12-23,21-224,VAN,,DEN,W (+2),1,43:00,6,12,.500,0,1,.000,2,2,1.000,0,9,9,11,2,0,2,3,14,17.2
26,26,26,1999-12-26,21-227,VAN,@,DEN,L (-23),1,34:00,7,15,.467,0,1,.000,0,0,,1,1,2,10,1,0,3,3,14,11.1
27,27,27,1999-12-27,21-228,VAN,,PHI,L (-7),1,45:00,8,19,.421,0,0,,2,3,.667,1,2,3,13,3,0,2,2,18,18.1
28,28,28,1999-12-29,21-230,VAN,@,UTA,L (-11),1,44:00,6,15,.400,0,3,.000,2,2,1.000,0,2,2,8,1,1,3,2,14,10.0
29,29,29,1999-12-30,21-231,VAN,,SAS,L (-10),1,43:00,8,15,.533,1,1,1.000,4,4,1.000,1,3,4,11,0,0,1,4,21,20.4
30,30,30,2000-01-04,21-236,VAN,@,MIA,W (+4),1,41:00,8,15,.533,3,5,.600,3,6,.500,1,4,5,4,3,0,4,3,22,16.0
31,31,31,2000-01-05,21-237,VAN,@,ORL,L (-20),1,34:00,5,11,.455,2,5,.400,2,2,1.000,0,2,2,9,0,0,5,2,14,9.4
32,32,32,2000-01-07,21-239,VAN,@,NJN,W (+10),1,39:00,6,14,.429,4,6,.667,4,4,1.000,2,7,9,9,2,0,4,3,20,19.2
33,33,33,2000-01-09,21-241,VAN,@,TOR,W (+10),1,41:00,3,8,.375,0,0,,5,6,.833,1,5,6,6,2,0,4,0,11,10.6
34,34,34,2000-01-10,21-242,VAN,@,BOS,W (+9),1,43:00,12,20,.600,6,6,1.000,3,4,.750,1,2,3,4,3,0,3,3,33,26.3
35,35,35,2000-01-12,21-244,VAN,,PHO,L (-3),1,38:00,3,11,.273,0,3,.000,4,4,1.000,2,6,8,6,0,0,2,2,10,8.1
36,36,36,2000-01-14,21-246,VAN,,CLE,L (-2),1,30:00,2,11,.182,0,2,.000,3,3,1.000,0,2,2,4,0,1,4,2,7,-0.6
37,37,37,2000-01-16,21-248,VAN,,MIA,L (-11),1,43:00,5,12,.417,0,0,,5,6,.833,2,2,4,9,7,0,0,1,15,23.1
38,38,38,2000-01-20,21-252,VAN,,UTA,L (-5),1,44:00,10,18,.556,0,3,.000,2,2,1.000,2,1,3,9,4,0,4,1,22,21.0
39,39,39,2000-01-22,21-254,VAN,,ORL,L (-3),1,35:00,1,10,.100,0,4,.000,0,0,,2,2,4,8,3,0,4,2,2,1.2
40,40,40,2000-01-24,21-256,VAN,@,DEN,L (-12),1,39:00,7,16,.438,0,1,.000,4,6,.667,4,2,6,9,1,1,2,1,18,17.8
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,41,41,2000-01-26,21-258,VAN,@,UTA,W (+17),1,38:00,11,15,.733,0,0,,6,7,.857,2,4,6,11,4,0,2,3,28,32.6
43,42,42,2000-01-27,21-259,VAN,,NJN,W (+2),1,39:00,4,13,.308,1,3,.333,2,4,.500,0,1,1,11,3,0,0,1,11,13.3
44,43,43,2000-01-31,21-263,VAN,,MIL,L (-5),1,43:00,5,15,.333,2,5,.400,4,4,1.000,2,0,2,12,1,1,4,1,16,14.6
45,44,44,2000-02-02,21-265,VAN,@,GSW,L (-6),1,39:00,5,13,.385,1,3,.333,2,3,.667,1,3,4,5,1,0,4,1,13,7.2
46,45,45,2000-02-04,21-267,VAN,,CHI,W (+25),1,27:00,6,11,.545,2,4,.500,2,2,1.000,1,2,3,7,2,0,0,1,16,18.5
47,46,46,2000-02-06,21-269,VAN,,DAL,L (-4),1,34:00,6,15,.400,0,2,.000,0,0,,1,3,4,8,1,1,4,6,12,6.4
48,47,47,2000-02-08,21-271,VAN,@,PHO,L (-18),1,36:00,5,14,.357,0,2,.000,2,2,1.000,0,2,2,4,1,0,1,0,12,7.6
