,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-11-24,23-060,DEN,,TOR,W (+25),0,24:00,4,11,0.364,1,5,0.2,0,1,0.0,0,1,1,4,2,1,1,2,9,6.5
1,2,2,1999-11-26,23-062,DEN,,MIN,W (+9),0,8:00,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2.4
2,3,3,1999-11-27,23-063,DEN,@,SAS,L (-19),0,15:00,1,3,0.33299999999999996,1,2,0.5,1,1,1.0,1,2,3,1,0,0,0,2,4,3.5
3,4,4,1999-11-30,23-066,DEN,@,MIN,L (-17),0,18:00,2,8,0.25,0,2,0.0,6,7,0.857,0,1,1,4,1,0,0,2,10,8.1
4,5,5,1999-12-01,23-067,DEN,,DET,W (+4),0,32:00,3,9,0.33299999999999996,0,3,0.0,3,3,1.0,2,3,5,6,1,0,3,4,9,6.8
5,6,6,1999-12-03,23-069,DEN,,ORL,L (-12),1,40:00,5,12,0.41700000000000004,2,7,0.28600000000000003,8,9,0.889,4,2,6,7,3,0,3,5,20,19.5
6,7,7,1999-12-05,23-071,DEN,@,NYK,W (+2),1,26:00,1,5,0.2,1,3,0.33299999999999996,3,4,0.75,0,3,3,1,0,0,3,3,6,-0.1
7,8,8,1999-12-06,23-072,DEN,@,PHI,W (+17),1,34:00,4,13,0.308,0,4,0.0,9,11,0.818,1,6,7,5,3,1,5,1,17,13.0
8,9,9,1999-12-08,23-074,DEN,@,BOS,L (-25),0,24:00,6,11,0.545,1,3,0.33299999999999996,6,7,0.857,0,3,3,4,0,0,4,1,19,12.6
9,10,10,1999-12-10,23-076,DEN,@,CHH,L (-7),1,35:00,5,13,0.385,0,5,0.0,0,0,,0,3,3,4,0,0,1,4,10,4.0
10,11,11,1999-12-11,23-077,DEN,@,MIL,W (+2),1,20:00,1,4,0.25,0,2,0.0,0,0,,0,2,2,1,0,0,2,2,2,-1.9
11,12,12,1999-12-14,23-080,DEN,@,SEA,L (-25),0,21:00,1,7,0.14300000000000002,1,4,0.25,0,0,,0,0,0,1,0,0,0,1,3,-1.2
12,13,13,1999-12-16,23-082,DEN,,SAC,W (+10),0,8:00,1,3,0.33299999999999996,0,1,0.0,1,1,1.0,0,0,0,1,0,0,1,0,3,1.0
