,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2000-11-04,23-191,DAL,,UTA,L (-6),0,4:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.2,+2
1,2,2,2000-11-06,23-193,DAL,@,DEN,W (+12),0,23:00,7,12,.583,0,1,.000,0,0,,0,2,2,3,2,0,0,2,14,12.3,+24
2,3,3,2000-11-08,23-195,DAL,,VAN,L (-27),0,25:00,4,9,.444,0,0,,2,4,.500,0,1,1,1,2,1,2,2,10,5.4,-17
3,4,4,2000-11-10,23-197,DAL,,SAS,W (+2),1,7:00,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-3.3,-12
4,5,5,2000-11-12,23-199,DAL,@,SAC,L (-25),1,12:00,0,5,.000,0,0,,2,2,1.000,1,1,2,1,1,0,0,3,2,0.0,-12
5,6,6,2000-11-13,23-200,DAL,@,LAC,W (+14),0,14:00,2,6,.333,0,0,,1,2,.500,1,5,6,0,0,0,2,3,5,0.2,-5
6,7,7,2000-11-15,23-202,DAL,@,PHO,L (-21),0,9:00,0,2,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,2,-0.2,-9
7,8,8,2000-11-18,23-205,DAL,@,VAN,W (+3),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
8,9,9,2000-11-21,23-208,DAL,,SEA,L (-6),0,25:00,3,8,.375,1,2,.500,1,4,.250,2,2,4,0,0,0,1,4,8,1.8,-6
9,10,10,2000-11-25,23-212,DAL,,DEN,W (+24),0,4:00,1,3,.333,0,1,.000,0,1,.000,1,1,2,0,0,0,0,0,2,0.9,0
10,11,11,2000-11-30,23-217,DAL,@,POR,L (-11),0,29:00,7,15,.467,2,4,.500,4,4,1.000,2,4,6,2,2,0,3,5,20,13.3,-5
11,12,12,2000-12-02,23-219,DAL,@,GSW,W (+19),0,25:00,5,11,.455,0,1,.000,1,2,.500,0,5,5,1,0,0,1,2,11,5.3,+5
12,13,13,2000-12-03,23-220,DAL,@,LAL,L (-2),1,35:00,6,15,.400,0,1,.000,0,0,,1,2,3,2,1,0,0,5,12,5.6,+6
13,14,14,2000-12-05,23-222,DAL,@,HOU,L (-7),0,15:00,2,4,.500,0,0,,0,0,,0,1,1,0,0,0,2,3,4,-0.9,-1
14,15,15,2000-12-06,23-223,DAL,,NYK,W (+9),0,4:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,3,0,-2.9,-9
15,16,16,2000-12-08,23-225,DAL,,CHI,W (+19),0,17:00,1,7,.143,0,0,,0,0,,0,3,3,2,1,0,1,2,2,-1.0,+3
16,17,17,2000-12-10,23-227,DAL,@,NJN,W (+26),0,9:00,1,3,.333,0,0,,1,2,.500,0,1,1,1,0,0,0,1,3,1.5,-3
17,18,18,2000-12-15,23-232,DAL,@,PHI,W (+18),0,3:00,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,0,1,2,1.9,-1
18,19,19,2000-12-17,23-234,DAL,@,DET,W (+9),0,12:00,3,7,.429,0,0,,0,0,,0,2,2,2,0,0,0,4,6,2.7,+1
19,20,20,2000-12-18,23-235,DAL,@,BOS,W (+8),0,4:00,2,5,.400,0,0,,1,1,1.000,2,2,4,0,0,0,0,0,5,4.3,+2
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2000-12-20,23-237,DAL,,POR,W (+5),0,10:00,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-3.2,+7
22,22,22,2000-12-22,23-239,DAL,,LAL,L (-5),0,14:00,0,5,.000,0,0,,0,0,,1,1,2,1,1,0,0,1,0,-1.2,-3
23,23,23,2000-12-26,23-243,DAL,,SEA,W (+21),0,5:00,0,2,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,0.6,+4
24,24,24,2000-12-28,23-245,DAL,,LAC,W (+9),0,7:00,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,3,4,2.2,-10
25,25,25,2000-12-30,23-247,DAL,,HOU,L (-15),0,21:00,1,3,.333,0,0,,0,0,,0,3,3,0,1,1,2,2,2,0.1,-6
26,26,26,2001-01-08,23-256,DAL,@,CHI,W (+13),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3
27,27,27,2001-01-10,23-258,DAL,@,MIN,W (+20),0,6:00,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,1,0,0,-0.3,-7
28,28,28,2001-01-11,23-259,DAL,@,MIL,L (-8),0,9:00,2,4,.500,0,0,,3,3,1.000,0,0,0,0,0,0,0,2,7,4.2,+1
29,29,29,2001-01-13,23-261,DAL,,PHO,L (-17),0,21:00,1,5,.200,0,0,,2,2,1.000,2,3,5,0,0,0,1,3,4,1.0,-1
30,30,30,2001-01-15,23-263,DAL,,SAC,L (-11),0,6:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-1.8,-3
31,31,31,2001-01-17,23-265,DAL,@,CHH,W (+1),1,24:00,3,9,.333,0,0,,1,1,1.000,1,1,2,1,1,1,0,1,7,4.9,-13
32,32,32,2001-01-18,23-266,DAL,,ORL,W (+9),1,26:00,2,7,.286,0,0,,7,8,.875,1,0,1,1,1,0,0,6,11,6.5,-9
33,33,33,2001-01-20,23-268,DAL,,DEN,W (+18),1,12:00,1,4,.250,0,0,,0,0,,2,1,3,0,2,0,1,2,2,1.5,-1
34,34,34,2001-01-25,23-273,DAL,,VAN,W (+37),0,12:00,3,6,.500,0,0,,3,3,1.000,2,0,2,1,0,0,1,2,9,6.3,+2
35,35,35,2001-02-05,23-284,DAL,@,ATL,W (+10),0,5:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,-14
36,36,36,2001-02-07,23-286,DAL,@,NYK,L (-3),0,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5
37,37,37,2001-02-13,23-292,DAL,@,SAS,L (-12),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
38,38,38,2001-02-15,23-294,DAL,,CLE,W (+21),0,6:00,0,3,.000,0,0,,0,2,.000,0,0,0,0,0,0,0,3,0,-4.1,-6
39,39,39,2001-02-24,23-303,WAS,,TOR,L (-7),0,23:00,6,13,.462,0,1,.000,1,1,1.000,2,2,4,0,1,0,2,0,13,7.3,0
40,40,40,2001-02-25,23-304,WAS,@,NJN,L (-10),0,22:00,0,11,.000,0,0,,2,2,1.000,1,3,4,1,0,0,1,1,2,-4.8,+12
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,41,2001-02-27,23-306,WAS,@,MIA,L (-8),0,19:00,5,9,.556,0,0,,0,0,,0,0,0,0,1,0,1,2,10,4.9,-4
43,42,42,2001-03-02,23-309,WAS,@,PHI,L (-5),0,29:00,6,10,.600,1,1,1.000,4,4,1.000,2,2,4,1,0,0,0,3,17,13.9,-1
44,43,43,2001-03-04,23-311,WAS,,UTA,L (-20),0,38:00,3,13,.231,0,1,.000,11,11,1.000,4,0,4,2,0,0,2,2,17,10.5,-15
45,44,44,2001-03-07,23-314,WAS,@,CLE,W (+5),0,26:00,5,8,.625,0,1,.000,2,2,1.000,0,1,1,0,0,0,3,2,12,4.9,-17
46,45,45,2001-03-09,23-316,WAS,@,BOS,L (-32),0,31:00,2,11,.182,0,0,,1,2,.500,2,0,2,2,1,0,4,1,5,-2.9,-23
47,46,46,2001-03-10,23-317,WAS,,NJN,W (+6),0,14:00,1,3,.333,0,0,,1,2,.500,0,0,0,0,0,0,1,3,3,-1.3,+1
48,47,47,2001-03-14,23-321,WAS,,DET,W (+7),1,37:00,6,13,.462,0,0,,3,6,.500,2,5,7,0,0,0,2,2,15,7.2,+1
49,48,48,2001-03-16,23-323,WAS,,LAL,L (-12),1,39:00,6,15,.400,0,0,,8,8,1.000,0,2,2,4,0,0,1,3,20,13.1,-12
50,49,49,2001-03-17,23-324,WAS,@,CHH,L (-2),1,34:00,10,18,.556,0,0,,1,1,1.000,2,3,5,2,3,0,2,4,21,15.5,-10
51,50,50,2001-03-20,23-327,WAS,@,PHO,L (-14),1,32:00,5,12,.417,0,0,,1,1,1.000,0,2,2,0,0,0,5,1,11,-0.2,-16
52,51,51,2001-03-21,23-328,WAS,@,GSW,W (+5),0,39:00,10,20,.500,1,1,1.000,5,6,.833,1,2,3,2,6,0,2,2,26,21.5,+12
53,52,52,2001-03-23,23-330,WAS,@,LAL,L (-13),1,29:00,3,9,.333,0,1,.000,1,2,.500,0,0,0,3,1,0,3,1,7,1.2,-15
54,53,53,2001-03-24,23-331,WAS,@,UTA,L (-26),1,26:00,6,11,.545,0,0,,2,4,.500,0,0,0,1,1,1,2,5,14,6.3,-12
55,54,54,2001-03-27,23-334,WAS,,IND,L (-8),1,42:00,9,20,.450,1,1,1.000,4,4,1.000,1,4,5,1,3,0,1,0,23,17.2,-13
56,55,55,2001-03-29,23-336,WAS,,GSW,W (+16),1,38:00,11,16,.688,2,2,1.000,0,0,,0,6,6,3,1,0,6,4,24,14.5,+7
57,56,56,2001-03-31,23-338,WAS,,HOU,L (-10),1,43:00,5,20,.250,0,2,.000,6,7,.857,2,7,9,2,1,0,0,1,16,9.1,-5
58,57,57,2001-04-04,23-342,WAS,,MIA,L (-2),1,45:00,10,21,.476,0,1,.000,5,5,1.000,1,2,3,0,0,0,2,2,25,12.8,-2
59,58,58,2001-04-05,23-343,WAS,@,NYK,L (-13),1,47:00,8,17,.471,2,2,1.000,4,4,1.000,0,3,3,4,2,0,1,1,22,17.6,-11
