,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2000-10-31,25-103,MIL,@,DAL,L (-4),1,40:00,8,17,.471,2,6,.333,8,8,1.000,2,2,4,2,0,0,1,1,26,19.3,-9
1,2,2,2000-11-02,25-105,MIL,@,HOU,L (-22),1,33:00,6,17,.353,2,4,.500,5,7,.714,2,4,6,1,1,1,1,6,19,10.3,-10
2,3,3,2000-11-04,25-107,MIL,,DET,W (+9),1,30:00,3,14,.214,0,6,.000,6,7,.857,1,4,5,6,3,1,1,4,12,10.2,-4
3,4,4,2000-11-07,25-110,MIL,,NYK,L (-14),1,37:00,7,18,.389,2,7,.286,4,4,1.000,1,6,7,5,0,0,1,4,20,13.6,-15
4,5,5,2000-11-08,25-111,MIL,@,IND,L (-11),1,39:00,6,16,.375,3,9,.333,2,2,1.000,2,3,5,1,0,0,2,3,17,8.0,-12
5,6,6,2000-11-11,25-114,MIL,,MIN,L (-11),1,41:00,15,21,.714,4,7,.571,6,6,1.000,0,3,3,0,3,0,6,1,40,28.8,-2
6,7,7,2000-11-15,25-118,MIL,,ATL,W (+10),1,36:00,7,17,.412,3,7,.429,0,0,,2,2,4,3,3,0,3,2,17,11.2,+8
7,8,8,2000-11-17,25-120,MIL,,CLE,W (+13),1,38:00,7,20,.350,2,9,.222,7,7,1.000,2,3,5,2,1,0,3,0,23,13.5,-1
8,9,9,2000-11-18,25-121,MIL,@,TOR,L (-9),1,40:00,11,20,.550,4,6,.667,3,4,.750,1,3,4,2,1,0,2,3,29,19.8,-11
9,10,10,2000-11-22,25-125,MIL,,POR,L (-9),1,41:00,7,16,.438,2,5,.400,3,5,.600,1,2,3,4,1,0,1,4,19,12.3,-7
10,11,11,2000-11-24,25-127,MIL,,CHH,L (-16),1,31:00,7,15,.467,3,5,.600,4,4,1.000,1,3,4,2,1,0,2,1,21,14.9,-9
11,12,12,2000-11-25,25-128,MIL,@,WAS,L (-7),1,40:00,8,18,.444,2,7,.286,19,20,.950,2,5,7,5,4,2,5,4,37,32.4,-1
12,13,13,2000-11-27,25-130,MIL,@,ORL,W (+9),1,39:00,8,12,.667,3,6,.500,4,5,.800,1,5,6,3,2,0,4,5,23,17.7,+10
13,14,14,2000-11-28,25-131,MIL,@,MIA,W (+1),1,37:00,7,14,.500,2,4,.500,5,5,1.000,2,6,8,3,2,2,4,2,21,17.9,-2
14,15,15,2000-11-30,25-133,MIL,,BOS,W (+11),1,33:00,5,11,.455,1,1,1.000,0,0,,2,4,6,4,1,0,3,3,11,7.5,+11
