,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2000-10-31,31-074,VAN,,SEA,W (+6),0,11:00,4,5,.800,1,1,1.000,0,0,,0,3,3,3,1,1,0,2,9,11.0,+5
1,2,2,2000-11-02,31-076,VAN,@,LAC,W (+8),0,13:00,2,8,.250,0,0,,0,0,,0,1,1,0,0,0,2,3,4,-3.7,+1
2,3,3,2000-11-04,31-078,VAN,,LAL,L (-9),0,18:00,0,5,.000,0,0,,0,0,,0,1,1,2,0,1,0,2,0,-1.9,+2
3,4,4,2000-11-06,31-080,VAN,,ATL,W (+10),0,25:00,4,8,.500,0,0,,1,2,.500,1,8,9,4,1,0,2,4,9,7.9,+13
4,5,5,2000-11-08,31-082,VAN,@,DAL,W (+27),0,18:00,3,6,.500,0,1,.000,3,3,1.000,2,3,5,1,1,1,1,3,9,8.5,+13
5,6,6,2000-11-09,31-083,VAN,@,HOU,L (-7),0,18:00,1,5,.200,0,0,,0,0,,0,2,2,0,0,0,1,1,2,-1.9,-4
6,7,7,2000-11-11,31-085,VAN,@,SAS,L (-13),0,16:00,1,7,.143,1,1,1.000,0,0,,2,2,4,3,1,0,0,1,3,3.2,+9
7,8,8,2000-11-16,31-090,VAN,,LAC,L (-4),0,30:00,3,7,.429,0,1,.000,3,4,.750,2,7,9,1,2,1,1,5,9,8.8,+5
8,9,9,2000-11-18,31-092,VAN,,DAL,L (-3),0,26:00,2,8,.250,0,0,,0,0,,0,10,10,3,0,1,1,0,4,4.0,+4
9,10,10,2000-11-20,31-094,VAN,,DEN,L (-3),0,16:00,0,1,.000,0,0,,1,2,.500,2,1,3,1,0,1,0,1,1,2.6,-9
10,11,11,2000-11-22,31-096,VAN,@,MIN,L (-1),0,11:00,1,3,.333,0,1,.000,0,0,,0,1,1,3,0,0,0,1,2,2.3,+2
11,12,12,2000-11-24,31-098,VAN,@,DET,L (-22),0,12:00,3,10,.300,0,1,.000,0,0,,1,1,2,0,0,0,2,3,6,-2.0,-2
12,13,13,2000-11-26,31-100,VAN,@,BOS,W (+11),0,19:00,5,9,.556,0,0,,2,4,.500,2,4,6,0,0,2,2,4,12,7.3,-2
13,14,14,2000-11-27,31-101,VAN,@,NYK,L (-25),0,4:00,0,2,.000,0,0,,0,0,,0,2,2,1,0,0,1,1,0,-1.5,-3
14,15,15,2000-11-29,31-103,VAN,,PHO,W (+3),1,15:00,2,5,.400,1,1,1.000,0,0,,1,4,5,0,0,1,0,0,5,4.9,+2
15,16,16,2000-12-01,31-105,VAN,,IND,L (-10),1,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-2
16,17,17,2000-12-03,31-107,VAN,,SAS,L (-18),1,28:00,4,9,.444,1,3,.333,0,0,,2,5,7,1,0,1,4,5,9,2.6,-3
17,18,18,2000-12-05,31-109,VAN,,DET,W (+8),1,26:00,6,12,.500,1,2,.500,2,3,.667,3,7,10,2,1,0,1,2,15,13.4,+7
18,19,19,2000-12-07,31-111,VAN,@,UTA,L (-11),1,21:00,0,7,.000,0,3,.000,0,0,,0,5,5,0,1,0,3,0,0,-5.4,-19
19,20,20,2000-12-09,31-113,VAN,,PHI,L (-4),1,17:00,1,7,.143,0,0,,0,0,,0,6,6,0,0,1,0,2,2,-0.8,+9
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2000-12-15,31-119,VAN,@,LAL,L (-22),0,9:00,2,4,.500,0,0,,1,1,1.000,1,1,2,0,0,0,1,0,5,3.0,-5
22,22,22,2000-12-17,31-121,VAN,,ORL,L (-10),1,26:00,2,5,.400,0,0,,8,10,.800,3,3,6,5,1,0,0,2,12,15.2,-1
23,23,23,2000-12-20,31-124,VAN,,WAS,W (+14),1,17:00,2,6,.333,0,0,,0,0,,0,3,3,1,0,0,2,3,4,-1.0,+4
24,24,24,2000-12-22,31-126,VAN,,SAC,L (-2),1,33:00,5,17,.294,0,1,.000,0,0,,6,7,13,1,0,2,1,4,10,5.9,+8
25,25,25,2000-12-23,31-127,VAN,@,LAC,L (-2),1,25:00,1,2,.500,0,0,,0,0,,1,6,7,4,2,1,1,1,2,7.6,-2
26,26,26,2000-12-26,31-130,VAN,,PHO,L (-2),1,24:00,5,7,.714,0,1,.000,2,2,1.000,1,7,8,0,0,2,2,2,12,10.5,+2
27,27,27,2000-12-29,31-133,VAN,@,POR,L (-23),1,18:00,3,7,.429,0,1,.000,0,0,,0,4,4,2,1,0,2,2,6,3.1,-10
28,28,28,2000-12-30,31-134,VAN,,GSW,L (-1),1,4:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-12
29,29,29,2001-01-05,31-140,VAN,@,PHO,L (-32),0,11:00,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,0,0,2,0.9,-3
