,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2000-10-31,28-343,SEA,@,VAN,L (-6),1,37:00,7,16,.438,0,0,,5,6,.833,2,5,7,1,1,4,3,3,19,13.4,0
1,2,2,2000-11-01,28-344,SEA,,DEN,W (+13),1,31:00,4,8,.500,0,1,.000,2,4,.500,0,8,8,2,1,1,2,4,10,7.1,+5
2,3,3,2000-11-04,28-347,SEA,,POR,L (-7),1,39:00,7,16,.438,0,1,.000,5,6,.833,6,3,9,2,3,1,6,4,19,12.8,+12
3,4,4,2000-11-06,28-349,SEA,@,ORL,L (-11),1,29:00,6,15,.400,0,1,.000,1,4,.250,6,4,10,1,1,1,4,4,13,5.9,-14
4,5,5,2000-11-08,28-351,SEA,@,MIA,L (-6),1,43:00,4,11,.364,0,1,.000,0,0,,3,6,9,3,2,1,4,3,8,5.4,-8
5,6,6,2000-11-09,28-352,SEA,@,CHH,W (+8),1,42:00,8,14,.571,0,1,.000,6,6,1.000,2,6,8,5,0,1,1,4,22,20.2,+7
6,7,7,2000-11-11,28-354,SEA,@,NJN,L (-35),1,31:00,1,5,.200,0,1,.000,5,6,.833,0,2,2,1,1,1,3,5,7,1.5,-27
7,8,8,2000-11-12,28-355,SEA,@,DET,L (-9),1,41:00,6,17,.353,0,0,,4,4,1.000,4,3,7,1,0,0,3,3,16,6.7,-8
8,9,9,2000-11-14,28-357,SEA,,NYK,W (+21),1,40:00,5,9,.556,0,0,,1,4,.250,4,5,9,1,2,3,3,3,11,10.4,+15
9,10,10,2000-11-17,28-360,SEA,,DAL,L (-4),1,36:00,5,13,.385,0,1,.000,8,9,.889,7,1,8,2,1,0,5,3,18,11.9,-10
10,11,11,2000-11-18,28-361,SEA,@,LAC,W (+3),1,24:00,2,9,.222,0,0,,1,2,.500,3,4,7,0,2,0,1,0,5,3.4,+7
11,12,12,2000-11-21,28-364,SEA,@,DAL,W (+6),1,25:00,4,11,.364,0,0,,4,4,1.000,2,3,5,0,0,0,1,2,12,6.4,+4
12,13,13,2000-11-22,28-365,SEA,@,SAS,L (-27),1,27:00,4,11,.364,0,0,,2,2,1.000,2,2,4,2,0,0,1,5,10,4.3,-20
13,14,14,2000-11-24,29-001,SEA,,LAC,W (+17),1,34:00,6,12,.500,0,0,,2,2,1.000,0,3,3,1,0,2,2,4,14,7.4,+13
14,15,15,2000-11-25,29-002,SEA,@,SAC,L (-24),1,28:00,5,14,.357,0,0,,2,2,1.000,4,1,5,2,0,0,2,4,12,5.1,-26
15,16,16,2000-11-28,29-005,SEA,@,POR,W (+12),0,28:00,5,10,.500,0,0,,0,0,,2,2,4,1,0,2,5,4,10,2.5,+7
16,17,17,2000-11-30,29-007,SEA,,LAL,W (+33),0,34:00,8,13,.615,0,0,,4,6,.667,2,7,9,1,1,2,2,5,20,15.9,+25
17,18,18,2000-12-06,29-013,SEA,,DET,L (-13),0,19:00,4,8,.500,0,0,,4,4,1.000,0,5,5,0,1,0,1,3,12,8.3,-1
18,19,19,2000-12-08,29-015,SEA,@,LAL,W (+8),0,29:00,6,10,.600,0,0,,3,5,.600,2,4,6,1,0,1,0,3,15,12.4,+2
19,20,20,2000-12-09,29-016,SEA,,HOU,L (-7),0,21:00,8,16,.500,0,0,,1,1,1.000,6,3,9,0,0,1,2,6,17,10.4,-11
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2000-12-12,29-019,SEA,,ORL,W (+5),0,29:00,2,7,.286,0,0,,4,4,1.000,2,8,10,0,0,2,1,4,8,6.5,-1
22,22,22,2000-12-13,29-020,SEA,@,VAN,W (+1),0,15:00,3,10,.300,0,0,,3,4,.750,1,1,2,0,1,0,3,4,9,0.2,-3
23,23,23,2000-12-15,29-022,SEA,,MIA,W (+18),0,20:00,1,4,.250,0,0,,0,0,,1,3,4,0,0,2,2,5,2,-1.4,+4
24,24,24,2000-12-20,29-027,SEA,,SAC,W (+4),0,20:00,4,7,.571,0,0,,1,2,.500,0,1,1,0,0,0,1,4,9,3.0,-1
25,25,25,2000-12-22,29-029,SEA,,WAS,W (+20),1,31:00,5,13,.385,0,0,,4,5,.800,5,1,6,1,0,2,4,5,14,6.4,+10
26,26,26,2000-12-23,29-030,SEA,@,SAC,L (-5),1,40:00,9,24,.375,0,1,.000,2,2,1.000,5,3,8,0,0,2,3,4,20,8.0,-3
27,27,27,2000-12-26,29-033,SEA,@,DAL,L (-21),0,30:00,4,13,.308,0,0,,4,4,1.000,2,6,8,1,0,0,1,3,12,6.2,-16
28,28,28,2000-12-27,29-034,SEA,@,HOU,W (+15),0,21:00,4,8,.500,0,0,,3,6,.500,3,4,7,1,1,2,2,3,11,9.0,+8
29,29,29,2000-12-30,29-037,SEA,,CHH,W (+2),0,28:00,7,14,.500,0,0,,1,4,.250,4,2,6,4,0,2,2,5,15,10.4,+15
30,30,30,2001-01-02,29-040,SEA,,IND,L (-8),0,27:00,6,14,.429,0,0,,2,4,.500,2,3,5,0,0,1,3,6,14,3.4,-4
31,31,31,2001-01-04,29-042,SEA,@,MIN,L (-13),0,33:00,7,12,.583,0,0,,3,4,.750,3,2,5,2,1,1,4,5,17,10.8,-7
32,32,32,2001-01-05,29-043,SEA,@,PHI,L (-32),0,20:00,4,9,.444,0,1,.000,3,6,.500,2,2,4,1,0,0,2,2,11,5.0,-20
33,33,33,2001-01-07,29-045,SEA,@,TOR,L (-2),0,34:00,10,18,.556,0,0,,0,0,,3,3,6,3,1,3,0,2,20,18.8,+11
34,34,34,2001-01-09,29-047,SEA,@,ATL,W (+9),0,21:00,1,10,.100,0,0,,3,4,.750,7,6,13,2,1,0,1,5,5,4.1,+13
35,35,35,2001-01-10,29-048,SEA,@,WAS,W (+3),0,28:00,6,9,.667,0,0,,4,5,.800,0,2,2,2,1,0,1,3,16,12.5,-1
36,36,36,2001-01-12,29-050,SEA,,VAN,W (+13),0,26:00,4,8,.500,0,0,,2,4,.500,1,6,7,2,0,2,0,4,10,8.9,+27
37,37,37,2001-01-14,29-052,SEA,@,PHO,W (+19),0,23:00,2,4,.500,0,0,,7,11,.636,1,4,5,2,0,1,3,5,11,6.4,+6
38,38,38,2001-01-15,29-053,SEA,@,DEN,L (-11),0,29:00,5,10,.500,0,0,,6,6,1.000,2,3,5,1,1,1,0,2,16,14.9,-11
39,39,39,2001-01-17,29-055,SEA,,PHO,L (-9),0,22:00,4,11,.364,0,0,,4,6,.667,0,3,3,0,1,0,3,5,12,2.0,-10
40,40,40,2001-01-19,29-057,SEA,,MIN,L (-5),1,37:00,4,10,.400,0,1,.000,8,12,.667,6,1,7,2,1,1,2,2,16,13.8,-7
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,41,2001-01-21,29-059,SEA,,SAC,W (+2),1,29:00,3,10,.300,0,0,,7,8,.875,4,4,8,1,1,0,3,4,13,7.9,-12
43,42,42,2001-01-23,29-061,SEA,,LAL,W (+11),0,22:00,3,5,.600,0,0,,2,3,.667,1,5,6,4,0,0,1,5,8,7.3,+15
44,43,43,2001-01-24,29-062,SEA,@,LAC,W (+4),0,27:00,8,12,.667,0,0,,2,4,.500,0,4,4,2,0,0,1,2,18,12.8,0
45,44,44,2001-01-26,29-064,SEA,@,GSW,W (+2),0,25:00,3,8,.375,0,0,,2,3,.667,1,5,6,0,1,0,4,1,8,2.0,-14
46,45,45,2001-01-27,29-065,SEA,,NJN,W (+9),0,25:00,1,2,.500,0,0,,7,10,.700,0,3,3,2,1,0,2,3,9,6.9,-8
47,46,46,2001-01-30,29-068,SEA,,UTA,L (-14),1,31:00,4,11,.364,0,0,,0,1,.000,5,3,8,2,0,0,4,4,8,1.7,-8
48,47,47,2001-02-01,29-070,SEA,,CHI,W (+6),0,34:00,6,16,.375,0,0,,10,10,1.000,2,3,5,1,0,2,2,2,22,14.8,+10
49,48,48,2001-02-03,29-072,SEA,@,UTA,L (-20),0,30:00,8,14,.571,0,0,,1,6,.167,1,4,5,1,0,0,3,3,17,6.8,-10
50,49,49,2001-02-05,29-074,SEA,,VAN,W (+13),0,28:00,8,13,.615,0,0,,1,4,.250,2,3,5,1,0,0,0,3,17,11.7,+17
51,50,50,2001-02-07,29-076,SEA,@,POR,L (-17),0,29:00,5,20,.250,0,1,.000,3,4,.750,3,2,5,0,0,0,2,3,13,0.1,-3
52,51,51,2001-02-15,29-084,SEA,,BOS,L (-20),0,18:00,0,3,.000,0,0,,0,0,,0,2,2,0,0,0,2,1,0,-3.9,-8
53,52,52,2001-02-17,29-086,SEA,,ATL,L (-7),0,28:00,6,12,.500,0,0,,3,4,.750,1,5,6,0,0,1,1,4,15,8.9,-15
