,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2000-11-29,33-230,DET,,NJN,W (+21),0,25:00,7,14,.500,3,4,.750,1,2,.500,0,1,1,1,0,0,0,2,18,10.8,+19
1,2,2,2000-12-01,33-232,DET,,CLE,W (+10),0,30:00,7,10,.700,0,1,.000,2,4,.500,0,4,4,2,0,0,0,4,16,12.0,+9
2,3,3,2000-12-03,33-234,DET,,WAS,W (+6),0,20:00,3,9,.333,0,1,.000,2,2,1.000,1,0,1,2,1,0,0,0,8,6.0,-3
3,4,4,2000-12-05,33-236,DET,@,VAN,L (-8),0,16:00,5,8,.625,1,1,1.000,0,0,,0,2,2,2,0,0,2,4,11,5.8,0
4,5,5,2000-12-06,33-237,DET,@,SEA,W (+13),0,20:00,6,11,.545,1,3,.333,4,4,1.000,0,0,0,2,0,0,0,1,17,12.7,+5
5,6,6,2000-12-09,33-240,DET,@,POR,L (-31),0,17:00,1,5,.200,0,0,,2,2,1.000,0,1,1,1,0,0,2,2,4,-0.9,-4
6,7,7,2000-12-10,33-241,DET,@,LAL,L (-24),0,24:00,2,9,.222,1,2,.500,0,0,,0,1,1,0,2,0,0,0,5,1.8,-15
7,8,8,2000-12-13,33-244,DET,,ATL,W (+23),0,23:00,8,11,.727,3,5,.600,0,0,,0,3,3,2,0,0,1,1,19,15.4,+15
8,9,9,2000-12-15,33-246,DET,,MIN,L (-9),0,26:00,4,11,.364,2,2,1.000,1,1,1.000,1,3,4,1,0,0,3,1,11,3.8,-5
9,10,10,2000-12-17,33-248,DET,,DAL,L (-9),0,23:00,2,7,.286,1,2,.500,2,2,1.000,0,0,0,2,1,0,4,1,7,0.9,-20
10,11,11,2000-12-19,33-250,DET,@,PHO,W (+5),0,8:00,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-0.4,-6
11,12,12,2000-12-20,33-251,DET,@,DEN,L (-2),0,19:00,4,10,.400,1,3,.333,0,0,,0,3,3,1,0,1,1,1,9,4.5,-8
12,13,13,2000-12-23,33-254,DET,,CHI,W (+13),0,14:00,3,7,.429,1,2,.500,1,2,.500,0,1,1,1,1,0,1,0,8,4.9,-5
13,14,14,2000-12-26,33-257,DET,,BOS,W (+5),0,5:00,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4,-2
14,15,15,2000-12-28,33-259,DET,@,ORL,L (-6),0,21:00,4,8,.500,1,2,.500,2,2,1.000,0,0,0,1,0,0,0,0,11,7.7,-10
15,16,16,2000-12-30,33-261,DET,,MIA,L (-8),0,23:00,3,8,.375,0,2,.000,1,1,1.000,0,2,2,3,1,0,1,3,7,4.1,-7
16,17,17,2000-12-31,33-262,DET,@,WAS,L (-14),0,25:00,6,12,.500,0,1,.000,2,2,1.000,0,2,2,3,1,0,1,1,14,10.3,+8
17,18,18,2001-01-03,33-265,DET,@,DAL,W (+3),0,18:00,3,6,.500,0,1,.000,2,2,1.000,0,2,2,3,0,0,0,1,8,7.3,+2
