,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2000-11-11,22-261,CHI,,TOR,L (-23),0,4:00,1,2,.500,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,2.0,-3
1,2,2,2000-11-14,22-264,CHI,@,HOU,L (-27),0,15:00,6,13,.462,1,1,1.000,0,0,,2,0,2,0,1,0,0,3,13,7.5,-2
2,3,3,2000-11-16,22-266,CHI,@,DEN,L (-4),0,12:00,2,6,.333,1,3,.333,3,6,.500,1,2,3,1,1,0,0,0,8,6.4,+1
3,4,4,2000-11-18,22-268,CHI,@,UTA,L (-45),0,11:00,0,5,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,2,-2.3,-12
4,5,5,2000-11-19,22-269,CHI,@,LAL,L (-8),0,16:00,3,7,.429,1,4,.250,0,1,.000,0,0,0,1,0,0,1,4,7,1.0,-11
5,6,6,2000-11-22,22-272,CHI,@,SAC,L (-29),0,22:00,4,13,.308,0,1,.000,2,4,.500,0,1,1,2,3,3,3,4,10,3.9,-18
6,7,7,2000-11-26,22-276,CHI,@,TOR,L (-12),0,29:00,6,12,.500,2,6,.333,0,0,,1,0,1,1,1,1,2,6,14,6.7,-14
7,8,8,2000-11-28,22-278,CHI,,MIN,L (-20),0,21:00,2,5,.400,1,2,.500,2,2,1.000,1,3,4,3,0,0,1,1,7,6.6,-4
8,9,9,2000-11-30,22-280,CHI,@,ATL,W (+9),0,17:00,3,6,.500,0,1,.000,1,2,.500,0,3,3,0,1,0,1,3,7,3.3,+1
9,10,10,2000-12-01,22-281,CHI,,NYK,L (-5),1,10:00,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,1,3,2,-0.5,-9
10,11,11,2000-12-05,22-285,CHI,@,MIN,L (-10),1,42:00,3,15,.200,0,2,.000,1,3,.333,5,1,6,2,2,1,4,5,7,-1.2,-15
11,12,12,2000-12-06,22-286,CHI,,CLE,L (-4),0,19:00,2,5,.400,1,2,.500,0,0,,1,0,1,1,1,0,1,0,5,3.7,-7
12,13,13,2000-12-08,22-288,CHI,@,DAL,L (-19),0,19:00,6,10,.600,2,4,.500,2,3,.667,1,2,3,1,1,0,1,4,16,11.4,-5
13,14,14,2000-12-09,22-289,CHI,@,SAS,L (-24),0,28:00,5,12,.417,1,3,.333,1,1,1.000,0,1,1,1,0,0,1,2,12,4.8,-15
14,15,15,2000-12-11,22-291,CHI,,PHO,L (-6),1,18:00,2,5,.400,1,3,.333,0,0,,0,2,2,3,0,1,1,2,5,3.9,+5
15,16,16,2000-12-13,22-293,CHI,@,BOS,W (+18),1,24:00,3,6,.500,2,3,.667,0,0,,0,2,2,3,0,1,1,4,8,5.8,+8
16,17,17,2000-12-15,22-295,CHI,,ATL,L (-11),0,6:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,2,2,2,-0.4,+1
17,18,18,2000-12-16,22-296,CHI,,PHI,L (-8),0,8:00,1,3,.333,1,2,.500,0,0,,0,0,0,1,0,0,0,1,3,1.6,-16
18,19,19,2000-12-19,22-299,CHI,,IND,L (-5),0,10:00,0,3,.000,0,2,.000,0,0,,0,0,0,2,0,0,0,1,0,-1.1,+12
19,20,20,2000-12-21,22-301,CHI,@,ORL,L (-11),0,7:00,0,1,.000,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1,0.9,0
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
