,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2000-10-31,32-175,UTA,,LAC,W (+13),0,1:00,0,0,,0,0,,0,1,.000,0,1,1,0,0,0,0,0,0,-0.1,-2
1,2,2,2000-11-01,32-176,UTA,@,LAL,W (+5),0,10:00,1,3,.333,0,0,,1,2,.500,0,0,0,0,0,0,1,3,3,-1.3,-6
2,3,3,2000-11-06,32-181,UTA,,MIN,W (+6),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
3,4,4,2000-11-14,32-189,UTA,@,SAS,L (-7),0,1:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+4
4,5,5,2000-11-16,32-191,UTA,,ORL,W (+15),0,8:00,1,4,.250,1,1,1.000,0,0,,1,1,2,0,2,0,1,2,3,1.8,+5
5,6,6,2000-11-18,32-193,UTA,,CHI,W (+45),0,16:00,5,6,.833,0,0,,0,0,,3,3,6,2,0,1,1,4,10,10.3,+14
6,7,7,2000-11-20,32-195,UTA,,DAL,L (-9),0,11:00,3,3,1.000,0,0,,2,2,1.000,1,2,3,0,0,0,0,2,8,7.6,-3
7,8,8,2000-11-22,32-197,UTA,,DEN,W (+38),1,12:00,3,5,.600,0,0,,0,0,,0,3,3,3,0,0,0,4,6,5.1,+5
8,9,9,2000-11-24,32-199,UTA,,NJN,W (+12),0,5:00,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,3,4,1.5,-8
9,10,10,2000-11-29,32-204,UTA,@,ORL,W (+2),0,11:00,2,6,.333,0,0,,0,0,,1,1,2,0,0,1,1,2,4,0.5,+4
10,11,11,2000-12-01,32-206,UTA,@,MIA,W (+2),0,12:00,2,4,.500,0,0,,0,0,,0,0,0,1,0,0,0,2,4,1.9,-8
11,12,12,2000-12-02,32-207,UTA,@,CHH,L (-5),0,12:00,2,4,.500,0,0,,0,0,,1,1,2,0,0,0,0,1,4,2.6,-2
12,13,13,2000-12-05,32-210,UTA,,TOR,W (+14),0,7:00,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-1.6,+3
13,14,14,2000-12-07,32-212,UTA,,VAN,W (+11),0,8:00,1,5,.200,0,0,,2,2,1.000,0,1,1,1,0,0,0,2,4,1.1,-11
14,15,15,2000-12-11,32-216,UTA,,SAS,L (-8),0,4:00,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-1.1,-4
15,16,16,2000-12-15,32-220,UTA,@,NYK,W (+31),0,6:00,1,3,.333,0,0,,0,0,,0,1,1,0,1,0,0,2,2,0.8,+1
16,17,17,2000-12-16,32-221,UTA,@,CLE,L (-7),1,23:00,3,5,.600,1,1,1.000,1,2,.500,1,6,7,1,0,1,1,3,8,7.0,-1
17,18,18,2000-12-19,32-224,UTA,@,TOR,L (-8),0,20:00,1,3,.333,0,0,,10,12,.833,0,2,2,2,1,0,1,3,12,10.3,+9
18,19,19,2000-12-20,32-225,UTA,@,PHI,W (+2),0,3:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-2
19,20,20,2000-12-22,32-227,UTA,@,IND,W (+8),0,4:00,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,2,4,1.9,-6
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2000-12-23,32-228,UTA,@,MIN,W (+6),0,5:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,1,1,2,1.0,+2
22,22,22,2000-12-26,32-231,UTA,,PHI,L (-6),0,4:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,-0.7,-7
23,23,23,2000-12-29,32-234,UTA,@,GSW,L (-11),0,3:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.8,0
24,24,24,2001-01-03,32-239,UTA,@,LAL,L (-11),0,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2
25,25,25,2001-01-05,32-241,UTA,@,DEN,L (-13),0,16:00,1,2,.500,0,0,,0,0,,2,1,3,0,0,0,3,3,2,-1.5,-4
26,26,26,2001-01-06,32-242,UTA,@,HOU,W (+2),0,8:00,2,3,.667,0,1,.000,0,0,,0,2,2,1,0,1,1,1,4,3.3,+1
27,27,27,2001-01-09,32-245,UTA,,IND,W (+4),0,14:00,2,6,.333,0,1,.000,0,0,,1,3,4,0,0,1,0,2,4,2.1,-3
28,28,28,2001-01-13,32-249,UTA,,LAL,W (+8),0,11:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,-3
29,29,29,2001-01-15,32-251,UTA,,HOU,W (+12),0,20:00,1,5,.200,0,0,,0,0,,1,4,5,2,0,0,2,5,2,-1.8,+11
30,30,30,2001-01-17,32-253,UTA,,MIN,L (-8),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1
31,31,31,2001-01-21,32-257,UTA,,PHO,W (+11),0,4:00,1,2,.500,0,1,.000,0,0,,1,1,2,0,0,0,0,0,2,2.0,0
32,32,32,2001-01-23,32-259,UTA,,GSW,W (+22),0,13:00,2,3,.667,1,1,1.000,1,1,1.000,0,0,0,0,0,0,2,1,6,2.3,0
33,33,33,2001-03-02,32-297,UTA,@,BOS,L (-4),0,15:00,0,5,.000,0,0,,2,2,1.000,1,1,2,3,1,0,1,2,2,0.8,+11
34,34,34,2001-03-04,32-299,UTA,@,WAS,W (+20),0,12:00,2,3,.667,0,0,,0,0,,0,2,2,1,0,0,1,0,4,3.0,0
35,35,35,2001-03-05,32-300,UTA,@,ATL,W (+7),0,3:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+4
36,36,36,2001-03-09,32-304,UTA,,PHO,W (+12),0,24:00,7,11,.636,1,1,1.000,3,4,.750,0,3,3,0,0,0,4,2,18,8.8,+4
37,37,37,2001-03-11,32-306,UTA,@,SAC,L (-15),0,12:00,2,4,.500,0,1,.000,0,0,,1,3,4,0,0,0,2,2,4,0.8,+3
38,38,38,2001-03-14,32-309,UTA,@,GSW,W (+19),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,3,0,-2.2,0
39,39,39,2001-03-16,32-311,UTA,@,POR,L (-3),0,5:00,0,2,.000,0,0,,0,0,,0,4,4,0,0,0,0,4,0,-1.8,-1
40,40,40,2001-03-18,32-313,UTA,@,LAC,W (+15),0,2:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-3
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,41,2001-03-20,32-315,UTA,,DET,W (+5),0,6:00,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,1.6,-5
43,42,42,2001-03-24,32-319,UTA,,WAS,W (+26),0,22:00,5,6,.833,0,1,.000,2,3,.667,0,2,2,2,0,0,0,1,12,11.0,-1
44,43,43,2001-03-26,32-321,UTA,,DAL,L (-8),0,5:00,0,2,.000,0,1,.000,2,2,1.000,0,1,1,0,1,0,0,0,2,1.9,+2
45,44,44,2001-04-09,32-335,UTA,,HOU,W (+15),0,6:00,1,2,.500,0,0,,2,2,1.000,1,1,2,0,0,0,0,1,4,3.6,+3
46,45,45,2001-04-12,32-338,UTA,@,MIL,L (-22),0,16:00,4,7,.571,0,1,.000,0,0,,1,3,4,1,0,0,1,0,8,6.0,-5
47,46,46,2001-04-13,32-339,UTA,@,CHI,W (+11),0,8:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,2,0.5,+2
48,47,47,2001-04-15,32-341,UTA,@,MIN,L (-7),0,6:00,1,2,.500,0,0,,1,2,.500,0,0,0,0,0,0,0,1,3,1.2,-5
49,48,48,2001-04-17,32-343,UTA,,LAC,W (+5),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
50,49,49,2001-04-18,32-344,UTA,@,PHO,L (-5),0,21:00,3,7,.429,0,0,,2,2,1.000,2,2,4,1,0,0,1,1,8,5.6,-11
