,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2001-11-04,32-065,DET,,WAS,W (+22),0,6:00,1,4,0.25,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-0.1,-3.0
1,2,2,2001-11-07,32-068,DET,@,CHI,W (+24),0,4:00,0,1,0.0,0,0,,0,0,,0,2,2,2,0,0,1,1,0,-0.1,3.0
2,3,3,2002-01-11,32-133,DET,@,BOS,L (-14),0,12:00,6,12,0.5,0,2,0.0,0,0,,2,1,3,2,0,0,0,0,12,9.1,13.0
3,4,4,2002-01-12,32-134,DET,,CHH,W (+28),0,11:00,3,7,0.429,0,0,,0,2,0.0,1,3,4,0,0,0,0,1,6,2.7,0.0
4,5,5,2002-01-15,32-137,DET,,TOR,L (-2),0,8:00,2,3,0.667,0,0,,0,0,,0,2,2,0,0,0,1,2,4,1.5,-2.0
5,6,6,2002-01-21,32-143,DET,,MIL,L (-18),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,3.0
6,7,7,2002-03-08,32-189,DET,@,BOS,L (-25),0,5:00,2,4,0.5,0,0,,0,0,,0,0,0,1,0,0,0,1,4,2.3,2.0
7,8,8,2002-03-13,32-194,DET,,CLE,W (+1),0,8:00,0,3,0.0,0,0,,0,0,,1,3,4,0,0,0,0,1,0,-0.9,-4.0
8,9,9,2002-03-15,32-196,DET,,UTA,L (-3),0,4:00,0,1,0.0,0,0,,0,0,,0,1,1,0,0,1,0,0,0,0.3,-1.0
9,10,10,2002-03-16,32-197,DET,@,MIL,W (+8),0,8:00,1,3,0.33299999999999996,0,0,,1,2,0.5,1,2,3,0,0,0,0,0,3,2.2,3.0
10,11,11,2002-03-26,32-207,DET,@,IND,W (+19),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
11,12,12,2002-04-03,32-215,DET,,SAC,L (-21),0,7:00,0,2,0.0,0,0,,3,4,0.75,1,1,2,1,0,0,0,0,3,2.9,1.0
12,13,13,2002-04-10,32-222,DET,,CHI,L (-1),0,5:00,1,4,0.25,0,0,,0,0,,1,1,2,0,0,0,1,0,2,-0.4,-5.0
13,14,14,2002-04-13,32-225,DET,@,CHI,W (+18),0,3:00,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-4.0
14,15,15,2002-04-17,32-229,DET,,MIL,W (+34),0,11:00,2,5,0.4,0,0,,0,0,,0,4,4,0,0,0,2,0,4,0.5,1.0
