,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2001-10-31,33-091,CHH,,CLE,W (+6),0,8:00,0,3,.000,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-3.2,-9
1,2,2,2001-11-02,33-093,CHH,,NYK,W (+4),0,7:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.0,-9
2,3,3,2001-11-03,33-094,CHH,@,NJN,L (-10),0,10:00,1,1,1.000,0,0,,0,0,,1,2,3,0,1,0,1,1,2,2.6,0
3,4,4,2001-11-06,33-097,CHH,@,DAL,L (-18),0,10:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-4
4,5,5,2001-11-14,33-105,CHH,@,PHI,L (-14),0,15:00,2,4,.500,0,0,,3,4,.750,0,0,0,0,2,0,0,1,7,6.2,-3
5,6,6,2001-11-17,33-108,CHH,,POR,L (-10),0,10:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,2,0,2,-0.3,-7
6,7,7,2001-11-20,33-111,CHH,@,WAS,W (+7),1,35:00,3,10,.300,0,0,,6,6,1.000,4,0,4,0,1,0,0,4,12,8.4,+11
7,8,8,2001-11-21,33-112,CHH,,DAL,L (-11),1,42:00,5,10,.500,0,0,,0,0,,2,5,7,4,1,0,3,1,10,8.3,+2
8,9,9,2001-11-23,33-114,CHH,,ORL,L (-10),0,22:00,2,4,.500,0,0,,2,2,1.000,3,2,5,1,1,0,1,0,6,7.4,-8
9,10,10,2001-11-24,33-115,CHH,@,ORL,W (+2),0,24:00,2,5,.400,0,0,,1,1,1.000,2,5,7,1,2,0,2,4,5,4.3,+7
10,11,11,2001-11-28,33-119,CHH,@,DET,W (+8),0,28:00,0,3,.000,0,0,,3,4,.750,2,4,6,0,1,0,2,4,3,0.5,+4
