,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2001-12-14,22-128,MIN,,SAC,W (+20),0,2:00,0,2,.000,0,2,.000,0,0,,1,0,1,1,0,0,1,0,0,-1.0,+1
1,2,2,2001-12-18,22-132,MIN,,DAL,L (-4),0,7:00,2,3,.667,1,2,.500,1,2,.500,0,1,1,0,0,0,2,4,6,1.0,-3
2,3,3,2001-12-19,22-133,MIN,@,NJN,L (-5),0,9:00,0,4,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,1,0,-2.2,-14
3,4,4,2001-12-21,22-135,MIN,,CHH,W (+5),0,9:00,1,1,1.000,0,0,,0,0,,0,1,1,2,1,0,0,0,2,4.4,+4
4,5,5,2001-12-22,22-136,MIN,@,CHI,W (+21),0,16:00,0,4,.000,0,1,.000,0,0,,0,0,0,3,1,0,2,0,0,-1.7,-5
5,6,6,2001-12-26,22-140,MIN,@,DEN,W (+3),0,12:00,1,4,.250,1,2,.500,0,0,,0,1,1,1,0,0,0,0,3,1.6,0
6,7,7,2001-12-28,22-142,MIN,@,SAC,L (-14),0,10:00,0,3,.000,0,0,,0,1,.000,1,1,2,2,1,0,1,0,0,-0.1,+2
7,8,8,2001-12-30,22-144,MIN,@,POR,W (+2),0,11:00,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-10
8,9,9,2002-01-02,22-147,MIN,,MIL,W (+18),0,12:00,1,2,.500,0,0,,2,2,1.000,0,2,2,2,0,0,0,0,4,5.0,-1
9,10,10,2002-01-04,22-149,MIN,,UTA,W (+7),0,5:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-1
10,11,11,2002-01-05,22-150,MIN,@,ATL,W (+16),0,6:00,0,0,,0,0,,2,2,1.000,0,0,0,2,0,0,2,0,2,1.4,-2
11,12,12,2002-01-07,22-152,MIN,,DET,W (+16),0,3:00,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-4
12,13,13,2002-01-11,22-156,MIN,,LAL,W (+18),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
13,14,14,2002-01-15,22-160,MIN,,LAC,W (+14),0,1:00,0,0,,0,0,,0,2,.000,0,1,1,1,0,0,0,0,0,0.2,0
14,15,15,2002-02-13,22-189,MIN,,PHO,W (+15),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
15,16,16,2002-02-17,22-193,MIN,,MIA,W (+13),0,2:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-8
16,17,17,2002-02-23,22-199,MIN,@,SAS,W (+24),0,18:00,2,5,.400,0,3,.000,3,3,1.000,0,1,1,4,1,0,0,1,7,8.0,+18
17,18,18,2002-02-25,22-201,MIN,@,CHH,W (+5),0,15:00,2,8,.250,2,3,.667,0,0,,0,1,1,3,1,0,1,0,6,3.6,+4
18,19,19,2002-02-27,22-203,MIN,,LAL,W (+11),0,9:00,0,4,.000,0,4,.000,0,0,,0,0,0,0,0,0,0,1,0,-3.2,-4
19,20,20,2002-03-01,22-205,MIN,,SAS,L (-8),0,17:00,3,4,.750,1,2,.500,0,0,,0,2,2,1,1,0,1,1,7,6.3,-2
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2002-03-02,22-206,MIN,@,UTA,W (+11),0,19:00,5,9,.556,0,1,.000,4,5,.800,0,1,1,1,0,0,1,4,14,7.7,+16
22,22,22,2002-03-05,22-209,MIN,@,SEA,L (-14),0,22:00,3,11,.273,0,4,.000,0,0,,2,2,4,3,0,0,1,0,6,2.6,+7
23,23,23,2002-03-06,22-210,MIN,@,POR,L (-7),0,13:00,3,6,.500,1,2,.500,0,0,,0,0,0,1,1,0,2,1,7,3.3,0
24,24,24,2002-03-08,22-212,MIN,@,PHO,L (-5),0,7:00,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,1,1,2,-0.1,-5
25,25,25,2002-03-11,22-215,MIN,,LAC,L (-9),0,3:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,0,0,-2.0,-2
26,26,26,2002-03-13,22-217,MIN,,HOU,L (-1),0,9:00,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,0,0,2,2.4,-3
27,27,27,2002-03-15,22-219,MIN,,IND,L (-13),0,8:00,0,2,.000,0,1,.000,1,2,.500,0,1,1,1,0,0,1,0,1,-0.8,-5
28,28,28,2002-03-17,22-221,MIN,,UTA,L (-7),0,11:00,1,6,.167,0,2,.000,0,0,,0,1,1,2,0,0,1,2,2,-1.9,0
