,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2001-10-30,23-251,POR,@,LAL,L (-11),0,9:00,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,2,3,0,1,1,1,3.2,-3
1,2,2,2001-10-31,23-252,POR,,GSW,W (+5),0,5:00,0,1,0.0,0,0,,0,0,,0,3,3,0,0,0,2,1,0,-2.2,0
2,3,3,2001-11-03,23-255,POR,,SAS,L (-16),0,7:00,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-1.1,-3
3,4,4,2001-11-04,23-256,POR,@,GSW,L (-10),0,18:00,2,4,0.5,0,2,0.0,2,2,1.0,0,3,3,3,2,1,2,2,6,6.9,4
4,5,5,2001-11-06,23-258,POR,,UTA,W (+18),0,21:00,1,3,0.33299999999999996,0,0,,0,0,,1,2,3,5,0,0,0,3,2,3.9,-1
5,6,6,2001-11-08,23-260,POR,,LAC,W (+18),0,10:00,1,4,0.25,0,0,,1,1,1.0,0,0,0,2,0,0,0,1,3,1.6,-4
6,7,7,2001-11-13,23-265,POR,@,NYK,L (-7),0,6:00,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1.2,-10
7,8,8,2001-11-15,23-267,POR,@,MEM,W (+16),1,26:00,0,3,0.0,0,0,,0,0,,2,0,2,2,1,0,1,0,0,0.7,7
8,9,9,2001-11-17,23-269,POR,@,CHH,W (+10),1,20:00,3,5,0.6,0,1,0.0,1,1,1.0,0,0,0,2,3,0,0,5,7,7.1,7
9,10,10,2001-11-20,23-272,POR,,HOU,L (-7),1,23:00,1,7,0.14300000000000002,0,0,,2,2,1.0,1,0,1,7,0,0,2,2,4,2.3,-3
10,11,11,2001-11-21,23-273,POR,@,SAC,L (-12),1,14:00,0,2,0.0,0,0,,0,0,,0,0,0,2,1,0,1,2,0,-0.8,-5
11,12,12,2001-11-30,23-282,POR,,MIL,W (+6),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
12,13,13,2002-02-23,24-002,POR,,DEN,W (+11),0,2:00,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-4
13,14,14,2002-04-06,24-044,POR,,GSW,W (+27),0,19:00,6,12,0.5,0,0,,0,0,,0,1,1,3,2,0,0,1,12,10.0,24
14,15,15,2002-04-08,24-046,POR,@,SAS,L (-12),0,14:00,4,8,0.5,0,1,0.0,2,2,1.0,1,1,2,2,2,0,1,1,10,9.0,-1
15,16,16,2002-04-09,24-047,POR,@,DAL,L (-12),0,4:00,2,4,0.5,0,1,0.0,0,0,,0,0,0,0,1,0,0,1,4,2.6,1
16,17,17,2002-04-11,24-049,POR,@,MEM,L (-3),0,7:00,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,1,2,2,-0.1,-12
17,18,18,2002-04-12,24-050,POR,@,HOU,W (+1),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2
18,19,19,2002-04-17,24-055,POR,,HOU,W (+13),0,18:00,3,8,0.375,1,1,1.0,0,0,,0,1,1,3,2,0,1,2,7,5.2,3
