,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2002-11-03,32-025,SEA,,UTA,W (+14),0,19:00,5,7,.714,0,0,,0,0,,3,4,7,4,0,0,2,2,10,10.4,+1
1,2,2,2002-11-05,32-027,SEA,@,HOU,W (+7),0,11:00,1,4,.250,0,0,,0,0,,1,2,3,2,0,0,1,2,2,0.5,-3
2,3,3,2002-11-06,32-028,SEA,@,NOH,L (-2),0,6:00,0,1,.000,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1,0.9,-9
3,4,4,2002-11-08,32-030,SEA,@,ORL,L (-7),0,11:00,1,4,.250,0,0,,0,0,,0,0,0,1,0,0,1,1,2,-1.1,-10
4,5,5,2002-11-09,32-031,SEA,@,MIA,W (+2),0,6:00,0,5,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-3.2,-10
5,6,6,2002-11-23,32-045,SEA,@,DAL,L (-10),0,12:00,2,5,.400,0,0,,0,0,,0,1,1,5,0,1,2,0,4,3.8,-10
6,7,7,2002-11-24,32-046,SEA,@,SAS,W (+1),0,7:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-5
7,8,8,2002-11-26,32-048,SEA,@,ATL,L (-3),0,12:00,3,4,.750,0,0,,2,2,1.000,0,0,0,0,1,0,0,1,8,7.0,0
8,9,9,2002-11-27,32-049,SEA,@,MEM,L (-18),0,16:00,3,5,.600,0,1,.000,0,0,,0,1,1,4,3,0,2,1,6,7.4,+6
9,10,10,2002-11-29,32-051,SEA,,HOU,L (-11),0,17:00,3,7,.429,0,0,,0,0,,1,3,4,3,1,0,1,2,6,5.2,-10
10,11,11,2002-12-01,32-053,SEA,,NJN,W (+1),0,15:00,0,2,.000,0,0,,0,0,,0,2,2,6,2,0,0,0,0,5.4,+9
11,12,12,2002-12-04,32-056,SEA,,IND,L (-3),0,13:00,1,3,.333,0,0,,2,2,1.000,0,0,0,3,0,0,0,2,4,3.6,+2
12,13,13,2002-12-07,32-059,SEA,,MIA,W (+29),0,12:00,3,4,.750,0,0,,0,0,,0,2,2,2,1,0,1,4,6,4.8,+7
13,14,14,2002-12-10,32-062,SEA,@,NYK,L (-17),0,8:00,1,5,.200,0,0,,0,0,,1,0,1,0,0,0,1,0,2,-1.4,-1
14,15,15,2002-12-11,32-063,SEA,@,PHI,W (+4),0,7:00,1,5,.200,0,0,,0,0,,0,3,3,2,0,0,1,1,2,-0.2,+2
15,16,16,2002-12-13,32-065,SEA,@,TOR,W (+12),0,9:00,1,2,.500,0,0,,0,0,,0,2,2,1,1,0,0,2,2,2.5,+6
16,17,17,2002-12-14,32-066,SEA,@,DET,L (-13),0,7:00,0,1,.000,0,0,,0,0,,1,0,1,1,1,0,1,3,0,-0.5,-2
17,18,18,2002-12-16,32-068,SEA,@,CLE,W (+13),0,13:00,1,4,.250,0,0,,2,2,1.000,0,1,1,4,1,0,2,2,4,2.9,+7
18,19,19,2002-12-23,32-075,SEA,@,PHO,L (-1),0,24:00,2,3,.667,0,0,,0,0,,1,3,4,6,1,0,0,1,4,9.1,+11
19,20,20,2002-12-26,32-078,SEA,,TOR,W (+9),0,13:00,1,1,1.000,0,0,,0,0,,1,1,2,8,0,0,1,1,2,6.9,-2
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2002-12-30,32-082,SEA,@,DEN,W (+2),0,28:00,5,9,.556,0,0,,2,2,1.000,0,4,4,7,1,0,1,4,12,12.2,+14
22,22,22,2003-01-07,32-090,SEA,@,LAL,L (-21),0,21:00,7,11,.636,0,0,,3,3,1.000,1,1,2,3,1,0,1,4,17,13.6,-9
23,23,23,2003-01-08,32-091,SEA,,SAS,L (-11),0,35:00,7,13,.538,0,0,,0,0,,1,2,3,5,3,0,2,4,14,11.9,-2
24,24,24,2003-01-10,32-093,SEA,,LAC,L (-2),1,25:00,5,11,.455,0,0,,0,0,,0,0,0,3,2,0,0,2,10,7.6,-13
25,25,25,2003-01-12,32-095,SEA,,CLE,L (-8),0,19:00,3,4,.750,0,0,,0,1,.000,0,1,1,0,1,0,0,0,6,5.3,+3
26,26,26,2003-01-16,32-099,SEA,@,UTA,L (-7),0,13:00,2,6,.333,0,0,,1,2,.500,0,1,1,0,0,0,1,2,5,-0.3,-6
27,27,27,2003-01-17,32-100,SEA,,MEM,W (+6),0,26:00,2,7,.286,0,1,.000,2,2,1.000,0,2,2,3,4,0,1,2,6,6.8,+4
28,28,28,2003-01-19,32-102,SEA,,DAL,W (+4),0,30:00,6,11,.545,0,0,,1,1,1.000,1,2,3,7,0,0,2,3,13,10.7,-2
29,29,29,2003-01-22,32-105,SEA,@,MIN,L (-5),0,26:00,5,9,.556,0,1,.000,1,2,.500,0,7,7,5,0,0,0,3,11,10.7,0
30,30,30,2003-01-24,32-107,SEA,@,IND,L (-13),0,31:00,7,11,.636,0,0,,1,2,.500,0,5,5,6,2,0,2,1,15,15.0,-6
31,31,31,2003-01-25,32-108,SEA,@,MEM,W (+12),0,19:00,4,9,.444,0,1,.000,0,0,,0,3,3,5,1,0,0,2,8,7.9,0
32,32,32,2003-01-28,32-111,SEA,,GSW,W (+3),0,39:00,4,13,.308,0,0,,2,2,1.000,1,1,2,7,5,0,3,3,10,9.2,+1
33,33,33,2003-01-30,32-113,SEA,,SAC,L (-18),0,32:00,4,16,.250,0,0,,4,5,.800,2,1,3,1,1,0,2,0,12,3.4,-11
34,34,34,2003-02-01,32-115,SEA,,CHI,W (+13),0,27:00,2,7,.286,0,0,,2,2,1.000,0,3,3,3,3,0,1,1,6,6.5,+5
35,35,35,2003-02-03,32-117,SEA,@,NJN,L (-1),0,33:00,7,12,.583,0,0,,1,1,1.000,0,5,5,8,2,0,1,1,15,17.1,+12
36,36,36,2003-02-05,32-119,SEA,@,BOS,L (-40),0,23:00,2,7,.286,0,1,.000,0,0,,1,3,4,3,0,0,0,1,4,3.2,-23
37,37,37,2003-02-06,32-120,SEA,@,MIL,L (-6),0,12:00,0,2,.000,0,0,,0,0,,1,2,3,2,0,0,0,2,0,0.5,-5
38,38,38,2003-02-11,32-125,SEA,,BOS,L (-6),0,12:00,1,2,.500,0,0,,2,2,1.000,0,1,1,0,1,0,0,1,4,3.9,-13
39,39,39,2003-02-22,32-136,NOH,@,DET,W (+2),0,14:00,0,3,.000,0,0,,0,0,,0,0,0,3,0,0,0,3,0,-1.2,-9
40,40,40,2003-02-26,32-140,NOH,,MIA,W (+9),0,22:00,4,7,.571,0,0,,0,0,,0,0,0,3,3,1,2,2,8,7.7,+3
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,41,2003-02-28,32-142,NOH,@,DEN,W (+6),0,16:00,1,4,.250,0,0,,0,0,,0,2,2,7,0,0,2,1,2,2.7,-2
43,42,42,2003-03-01,32-143,NOH,@,PHO,W (+5),0,16:00,3,8,.375,1,2,.500,0,0,,1,1,2,4,0,0,1,0,7,5.4,+7
44,43,43,2003-03-03,32-145,NOH,@,LAC,W (+3),0,20:00,4,6,.667,0,0,,3,4,.750,2,2,4,5,0,0,3,4,11,8.9,+3
45,44,44,2003-03-07,32-149,NOH,,CLE,W (+26),0,22:00,5,10,.500,0,0,,2,2,1.000,0,3,3,7,3,0,1,2,12,14.0,+3
46,45,45,2003-03-09,32-151,NOH,,NJN,L (-10),0,30:00,5,13,.385,0,0,,0,1,.000,1,0,1,7,2,0,3,2,10,6.3,+5
47,46,46,2003-03-11,32-153,NOH,@,IND,W (+10),0,13:00,4,5,.800,0,0,,0,0,,0,3,3,0,1,0,4,1,8,3.6,-1
48,47,47,2003-03-12,32-154,NOH,@,BOS,L (-28),0,13:00,2,6,.333,0,0,,0,0,,0,1,1,1,0,0,1,2,4,-0.2,-7
49,48,48,2003-03-14,32-156,NOH,@,MIA,W (+4),0,21:00,3,8,.375,0,0,,0,0,,3,0,3,3,0,0,2,0,6,3.8,+6
50,49,49,2003-03-15,32-157,NOH,@,ORL,L (-10),0,18:00,2,4,.500,0,0,,1,2,.500,0,0,0,4,1,1,3,1,5,3.7,-7
51,50,50,2003-03-19,32-161,NOH,,NYK,W (+5),0,23:00,4,9,.444,0,0,,1,2,.500,1,4,5,4,0,0,1,2,9,6.8,+1
52,51,51,2003-03-21,32-163,NOH,,MIL,W (+15),0,20:00,2,7,.286,0,0,,0,0,,0,0,0,0,0,0,1,3,4,-2.3,+14
53,52,52,2003-03-22,32-164,NOH,@,MIL,L (-8),0,25:00,4,8,.500,0,0,,1,2,.500,1,5,6,2,0,0,2,4,9,4.6,-11
54,53,53,2003-03-26,32-168,NOH,,ORL,L (-2),0,22:00,1,6,.167,0,0,,3,3,1.000,2,1,3,4,2,0,0,2,5,6.9,-2
