,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2002-11-08,22-274,CHI,,DAL,L (-27),0,9:00,2,2,1.0,0,0,,0,0,,0,1,1,1,1,0,1,1,4,4.0,8
1,2,2,2002-11-15,22-281,CHI,@,NOH,L (-18),0,8:00,0,4,0.0,0,0,,0,0,,1,1,2,1,0,0,0,0,0,-1.1,1
2,3,3,2002-12-23,22-319,CHI,@,NJN,L (-16),0,7:00,1,3,0.33299999999999996,0,0,,0,0,,1,4,5,0,0,3,2,2,2,1.5,6
3,4,4,2003-02-11,23-004,CHI,,DET,L (-10),0,3:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,6
4,5,5,2003-03-12,23-033,CHI,@,MEM,L (-29),0,11:00,0,4,0.0,0,0,,1,2,0.5,2,1,3,1,0,0,2,1,1,-2.2,-12
5,6,6,2003-03-14,23-035,CHI,@,HOU,L (-30),0,6:00,2,2,1.0,0,0,,0,0,,1,1,2,1,0,0,0,1,4,4.7,2
6,7,7,2003-03-18,23-039,CHI,,ATL,W (+25),0,4:00,1,3,0.33299999999999996,0,0,,2,2,1.0,1,0,1,0,1,0,0,0,4,4.0,4
7,8,8,2003-04-11,23-063,CHI,,NJN,W (+9),0,14:00,1,4,0.25,0,0,,0,0,,1,2,3,0,1,0,0,3,2,0.7,2
8,9,9,2003-04-13,23-065,CHI,@,MIN,L (-24),0,11:00,0,3,0.0,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-2.2,-6
9,10,10,2003-04-15,23-067,CHI,,PHI,W (+9),0,3:00,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.9,-8
