,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2002-10-30,24-051,MEM,,DAL,L (-11),0,29:00,4,10,.400,0,3,.000,1,2,.500,0,3,3,3,3,0,1,0,9,8.2,+4
1,2,2,2002-11-01,24-053,MEM,@,DET,L (-23),1,22:00,1,3,.333,0,0,,0,0,,0,3,3,1,1,0,1,3,2,0.7,-16
2,3,3,2002-11-02,24-054,MEM,,SAC,L (-17),1,26:00,1,4,.250,0,0,,2,2,1.000,1,0,1,1,1,1,1,1,4,3.3,-8
3,4,4,2002-11-04,24-056,MEM,,SAS,L (-2),1,45:00,6,11,.545,0,1,.000,2,3,.667,2,8,10,0,3,1,1,4,14,13.2,+8
4,5,5,2002-11-06,24-058,MEM,@,POR,L (-6),1,39:00,2,7,.286,0,1,.000,2,2,1.000,2,4,6,3,4,1,1,2,6,9.5,-1
5,6,6,2002-11-08,24-060,MEM,@,SAC,L (-8),1,33:00,3,8,.375,1,3,.333,0,0,,1,4,5,0,3,1,1,4,7,5.6,-17
6,7,7,2002-11-09,24-061,MEM,@,DEN,L (-11),1,21:00,1,5,.200,0,2,.000,0,0,,0,3,3,1,2,0,3,4,2,-2.1,-10
7,8,8,2002-11-11,24-063,MEM,,GSW,L (-7),1,19:00,1,4,.250,0,1,.000,0,0,,1,1,2,1,1,0,0,2,2,1.5,-12
8,9,9,2002-11-15,24-067,MEM,,MIN,L (-4),0,16:00,2,7,.286,0,1,.000,4,4,1.000,4,1,5,0,0,0,3,2,8,3.2,+6
9,10,10,2002-11-16,24-068,MEM,@,CHI,L (-18),0,25:00,5,11,.455,0,2,.000,2,2,1.000,1,2,3,1,0,2,1,4,12,7.1,-14
10,11,11,2002-11-19,24-071,MEM,@,MIN,L (-4),0,32:00,5,6,.833,0,1,.000,2,2,1.000,2,4,6,2,3,3,0,5,12,16.9,+13
11,12,12,2002-11-20,24-072,MEM,,PHI,L (-7),0,16:00,1,3,.333,0,0,,0,0,,0,2,2,0,1,0,0,0,2,1.9,-8
12,13,13,2002-11-22,24-074,MEM,@,SAS,L (-9),0,21:00,4,6,.667,0,1,.000,2,2,1.000,0,1,1,2,0,0,1,4,10,6.5,+6
13,14,14,2002-11-23,24-075,MEM,,WAS,W (+11),0,25:00,1,4,.250,0,0,,2,2,1.000,0,0,0,2,2,0,1,1,4,3.6,+11
14,15,15,2002-11-27,24-079,MEM,,SEA,W (+18),1,31:00,5,6,.833,2,2,1.000,0,0,,1,5,6,2,0,1,1,4,12,11.5,+25
15,16,16,2002-11-29,24-081,MEM,,LAL,L (-6),1,39:00,2,6,.333,0,1,.000,1,1,1.000,3,4,7,2,0,1,1,3,5,4.8,-11
16,17,17,2002-12-01,24-083,MEM,,TOR,L (-5),1,31:00,6,8,.750,2,3,.667,0,0,,5,3,8,0,0,0,1,1,14,13.8,-14
17,18,18,2002-12-03,24-085,MEM,@,LAL,L (-10),1,28:00,4,6,.667,1,2,.500,2,2,1.000,1,1,2,3,1,2,0,2,11,13.1,-12
18,19,19,2002-12-04,24-086,MEM,@,PHO,L (-13),1,22:00,3,6,.500,0,1,.000,2,2,1.000,3,2,5,1,0,2,0,3,8,8.6,+8
19,20,20,2002-12-13,24-095,MEM,,HOU,W (+5),0,24:00,2,4,.500,0,2,.000,0,1,.000,3,4,7,2,1,0,0,2,4,6.5,-2
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2002-12-14,24-096,MEM,@,DAL,L (-17),0,34:00,4,6,.667,3,4,.750,2,2,1.000,1,5,6,1,1,0,0,5,13,12.3,-5
22,22,22,2002-12-16,24-098,MEM,,GSW,W (+13),0,26:00,1,2,.500,1,1,1.000,0,2,.000,3,5,8,2,1,4,0,5,3,8.0,+19
23,23,23,2002-12-18,24-100,MEM,@,WAS,L (-18),0,20:00,3,5,.600,2,3,.667,1,2,.500,1,1,2,1,1,1,1,1,9,8.3,-19
24,24,24,2002-12-20,24-102,MEM,,MIL,W (+11),0,19:00,1,3,.333,1,3,.333,0,0,,0,6,6,0,0,3,0,2,3,4.4,+4
25,25,25,2002-12-22,24-104,MEM,,UTA,L (-29),0,25:00,4,11,.364,2,3,.667,1,2,.500,1,2,3,1,0,1,0,2,11,6.4,-9
26,26,26,2002-12-27,24-109,MEM,,ORL,W (+13),1,27:00,2,5,.400,0,3,.000,0,0,,2,3,5,1,1,2,0,2,4,5.9,+4
27,27,27,2002-12-31,24-113,MEM,@,BOS,L (-7),1,37:00,5,9,.556,1,3,.333,0,0,,3,6,9,2,1,0,2,3,11,9.8,+13
28,28,28,2003-01-03,24-116,MEM,,LAC,W (+5),1,37:00,3,6,.500,1,1,1.000,2,2,1.000,2,1,3,0,0,1,0,1,9,8.0,+13
29,29,29,2003-01-06,24-119,MEM,,NOH,W (+4),1,40:00,5,7,.714,3,4,.750,0,0,,2,6,8,2,3,4,1,2,13,18.7,+12
30,30,30,2003-01-08,24-121,MEM,@,LAC,L (-8),1,33:00,2,9,.222,2,5,.400,5,5,1.000,2,1,3,0,0,1,3,2,11,4.1,-3
31,31,31,2003-01-10,24-123,MEM,@,PHO,L (-6),1,39:00,4,6,.667,2,4,.500,0,0,,3,1,4,2,2,3,0,4,10,13.7,-2
32,32,32,2003-01-12,24-125,MEM,@,SAC,L (-8),1,42:00,4,7,.571,0,2,.000,1,1,1.000,1,4,5,0,0,2,2,2,9,6.2,-8
33,33,33,2003-01-13,24-126,MEM,@,GSW,W (+2),1,27:00,1,3,.333,0,0,,4,4,1.000,0,0,0,1,1,1,1,5,6,3.7,+5
34,34,34,2003-01-15,24-128,MEM,@,POR,L (-8),1,36:00,6,9,.667,2,2,1.000,3,5,.600,2,4,6,1,1,1,0,1,17,16.9,-10
35,35,35,2003-01-17,24-130,MEM,@,SEA,L (-6),1,35:00,4,9,.444,0,4,.000,0,0,,2,2,4,1,0,0,0,3,8,4.8,-6
36,36,36,2003-01-20,24-133,MEM,,POR,L (-12),1,39:00,1,5,.200,1,2,.500,0,1,.000,2,3,5,3,1,0,1,3,3,2.7,-4
37,37,37,2003-01-22,24-135,MEM,@,SAS,W (+5),0,27:00,3,3,1.000,1,1,1.000,0,0,,2,1,3,1,0,4,0,1,7,10.9,-3
38,38,38,2003-01-23,24-136,MEM,,SAC,L (-6),0,21:00,2,6,.333,0,2,.000,3,5,.600,1,1,2,2,0,1,0,1,7,5.5,-5
39,39,39,2003-01-25,24-138,MEM,,SEA,L (-12),0,30:00,3,8,.375,0,3,.000,2,2,1.000,1,6,7,2,1,1,0,1,8,8.8,+2
40,40,40,2003-01-27,24-140,MEM,,HOU,L (-5),0,19:00,3,4,.750,2,2,1.000,1,2,.500,2,2,4,0,1,0,0,1,9,9.6,-12
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,41,2003-01-31,24-144,MEM,,NYK,L (-6),0,26:00,4,6,.667,4,5,.800,2,2,1.000,2,0,2,0,4,3,1,4,14,16.3,+3
43,42,42,2003-02-02,24-146,MEM,@,DEN,L (-15),1,25:00,1,5,.200,0,3,.000,0,0,,0,3,3,1,3,4,1,4,2,3.7,-16
44,43,43,2003-02-03,24-147,MEM,@,GSW,L (-10),1,45:00,4,10,.400,2,5,.400,6,6,1.000,6,5,11,1,2,1,4,4,16,14.1,-4
