,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2002-11-02,26-044,DAL,,PHO,W (+14),0,11:00,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,2,0,-1.6,-6
1,2,2,2002-11-04,26-046,DAL,,GSW,W (+7),0,10:00,2,3,.667,0,0,,0,0,,1,1,2,0,0,0,0,3,4,2.5,-2
2,3,3,2002-11-06,26-048,DAL,@,TOR,W (+14),0,9:00,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,1,0,-1.2,-9
3,4,4,2002-11-08,26-050,DAL,@,CHI,W (+27),0,19:00,1,5,.200,1,3,.333,0,0,,0,2,2,0,1,0,3,3,3,-2.7,+4
4,5,5,2002-11-09,26-051,DAL,,DET,W (+39),0,27:00,3,3,1.000,1,1,1.000,0,0,,0,5,5,1,2,0,0,6,7,7.9,+14
5,6,6,2002-11-11,26-053,DAL,,POR,W (+9),0,4:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-9
6,7,7,2002-11-13,26-055,DAL,@,CLE,W (+4),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
7,8,8,2002-11-15,26-057,DAL,@,BOS,W (+11),0,11:00,2,2,1.000,0,0,,0,0,,0,1,1,0,0,1,0,1,4,4.0,+4
8,9,9,2002-11-16,26-058,DAL,@,NJN,W (+8),0,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
9,10,10,2002-11-19,26-061,DAL,,LAL,W (+26),0,15:00,0,3,.000,0,2,.000,0,0,,1,2,3,2,0,0,2,3,0,-2.6,+14
10,11,11,2002-11-21,26-063,DAL,,HOU,W (+13),0,8:00,0,2,.000,0,0,,0,0,,0,0,0,2,0,1,0,0,0,0.7,-6
11,12,12,2002-11-23,26-065,DAL,,SEA,W (+10),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1
12,13,13,2002-11-27,26-069,DAL,@,DET,W (+20),0,21:00,1,4,.250,0,0,,0,0,,4,0,4,0,0,0,1,2,2,0.6,-5
13,14,14,2002-11-28,26-070,DAL,@,IND,L (-12),0,23:00,3,5,.600,1,3,.333,2,2,1.000,0,1,1,1,3,0,0,2,9,9.9,+3
14,15,15,2002-11-30,26-072,DAL,,CHI,W (+13),0,24:00,4,7,.571,1,1,1.000,1,2,.500,0,1,1,1,3,1,1,2,10,9.2,+15
15,16,16,2002-12-02,26-074,DAL,,TOR,W (+11),0,12:00,1,1,1.000,0,0,,1,2,.500,1,2,3,0,1,0,0,3,3,3.4,+4
16,17,17,2002-12-04,26-076,DAL,@,POR,W (+15),0,6:00,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,0.2,-1
17,18,18,2002-12-06,26-078,DAL,@,LAL,L (-2),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+6
18,19,19,2002-12-07,26-079,DAL,@,GSW,W (+5),0,2:00,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,0,1,1,0.5,-2
19,20,20,2002-12-10,26-082,DAL,,LAC,W (+27),0,20:00,3,5,.600,3,3,1.000,0,0,,0,3,3,3,1,0,3,3,9,6.5,+6
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2002-12-11,26-083,DAL,@,SAS,L (-7),0,4:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+1
22,22,22,2002-12-14,26-086,DAL,,MEM,W (+17),0,18:00,1,5,.200,0,1,.000,0,0,,1,0,1,1,1,0,2,2,2,-1.5,-8
23,23,23,2002-12-17,26-089,DAL,,IND,W (+21),0,6:00,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,2,0,0.6,+11
24,24,24,2002-12-18,26-090,DAL,@,DEN,W (+5),0,13:00,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,1,1,2,0.9,0
