,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2004-11-03,26-119,NOH,,DAL,L (-15),0,15:00,1,5,.200,0,0,,2,3,.667,2,1,3,2,0,0,1,1,4,2.2,-10
1,2,2,2004-11-05,26-121,NOH,,ORL,L (-1),0,18:00,1,3,.333,0,0,,0,0,,3,4,7,1,0,2,0,4,2,4.1,-21
2,3,3,2004-11-06,26-122,NOH,@,MIN,L (-7),0,13:00,1,2,.500,0,0,,2,4,.500,1,1,2,0,0,1,0,4,4,2.3,-11
3,4,4,2004-11-09,26-125,NOH,,LAL,L (-8),0,14:00,2,4,.500,0,0,,2,2,1.000,0,2,2,0,0,0,1,0,6,3.6,0
4,5,5,2004-11-12,26-128,NOH,,ATL,L (-1),0,15:00,1,1,1.000,0,0,,1,2,.500,0,0,0,1,1,0,1,0,3,3.0,-15
5,6,6,2004-11-13,26-129,NOH,@,MIL,L (-3),0,19:00,3,3,1.000,0,0,,0,0,,1,1,2,2,0,0,0,1,6,7.1,+3
6,7,7,2004-11-17,26-133,NOH,,PHO,L (-11),0,18:00,3,4,.750,0,0,,0,0,,2,1,3,1,0,1,0,3,6,6.3,+3
7,8,8,2004-11-20,26-136,NOH,,MIN,L (-5),0,15:00,2,3,.667,0,0,,0,0,,1,2,3,0,0,2,0,1,4,5.0,+8
8,9,9,2004-11-22,26-138,NOH,@,UTA,W (+1),0,12:00,2,2,1.000,0,0,,3,4,.750,2,3,5,1,0,2,1,2,7,8.6,-6
9,10,10,2004-11-23,26-139,NOH,@,GSW,L (-6),0,12:00,1,4,.250,0,0,,1,2,.500,2,5,7,3,0,1,1,1,3,4.5,0
10,11,11,2004-11-26,26-142,NOH,@,PHO,L (-9),0,19:00,4,6,.667,0,0,,1,2,.500,3,4,7,1,0,1,1,1,9,9.3,-12
11,12,12,2004-11-28,26-144,NOH,@,LAL,L (-13),0,21:00,1,2,.500,0,0,,0,0,,0,0,0,2,0,4,1,3,2,3.0,+2
12,13,13,2004-11-29,26-145,NOH,@,DEN,L (-9),0,16:00,2,3,.667,0,0,,0,0,,1,2,3,1,0,1,0,1,4,5.0,-1
13,14,14,2004-12-01,26-147,NOH,,SAC,L (-13),0,22:00,3,5,.600,0,0,,2,2,1.000,1,4,5,0,0,0,1,3,8,5.4,-4
14,15,15,2004-12-04,26-150,NOH,,DET,L (-23),0,10:00,2,2,1.000,0,0,,0,0,,0,1,1,0,0,1,1,5,4,1.4,-10
15,16,16,2004-12-07,26-153,NOH,@,HOU,L (-8),0,15:00,2,5,.400,0,0,,3,4,.750,0,1,1,0,0,1,0,2,7,4.1,-10
16,17,17,2004-12-08,26-154,NOH,,NYK,L (-7),0,26:00,4,9,.444,0,0,,2,2,1.000,4,8,12,2,0,3,0,1,10,13.6,+4
17,18,18,2004-12-10,26-156,NOH,@,NJN,L (-3),0,26:00,3,4,.750,0,0,,4,4,1.000,1,5,6,1,0,0,1,3,10,9.1,+8
18,19,19,2004-12-12,26-158,NOH,@,WAS,L (-19),0,29:00,2,5,.400,0,0,,4,6,.667,2,8,10,0,0,0,1,0,8,7.3,+2
19,20,20,2004-12-14,26-160,NOH,@,CHA,L (-1),0,24:00,2,6,.333,0,0,,0,0,,4,9,13,2,0,1,2,3,4,5.0,-4
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
