,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2004-11-02,24-238,SAC,@,DAL,L (-9),0,30:00,7,11,.636,2,3,.667,1,2,.500,4,5,9,4,1,1,2,2,17,17.7,-6
1,2,2,2004-11-03,24-239,SAC,@,SAS,L (-16),0,22:00,1,5,.200,0,0,,2,2,1.000,1,3,4,2,1,1,0,3,4,4.4,-21
2,3,3,2004-11-06,24-242,SAC,@,HOU,L (-3),0,18:00,0,1,.000,0,0,,1,2,.500,3,1,4,2,1,0,1,1,1,3.3,+2
3,4,4,2004-11-09,24-245,SAC,,TOR,W (+16),0,25:00,4,7,.571,0,2,.000,1,2,.500,1,4,5,1,2,1,5,4,9,4.0,+2
4,5,5,2004-11-10,24-246,SAC,@,SEA,L (-30),0,16:00,2,7,.286,0,0,,1,6,.167,0,3,3,0,0,0,3,4,5,-4.8,+2
5,6,6,2004-11-13,24-249,SAC,@,PHO,W (+2),0,8:00,0,0,,0,0,,2,2,1.000,1,0,1,0,0,0,1,1,2,1.3,+8
6,7,7,2004-11-14,24-250,SAC,,DEN,W (+12),0,9:00,0,1,.000,0,0,,0,0,,0,5,5,0,0,0,1,0,0,-0.2,-9
7,8,8,2004-11-16,24-252,SAC,,CHI,W (+7),0,5:00,0,1,.000,0,1,.000,1,2,.500,1,0,1,1,0,0,0,0,1,1.3,+1
8,9,9,2004-11-19,24-255,SAC,,MEM,W (+2),0,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-4
9,10,10,2004-11-21,24-257,SAC,,MIL,W (+9),0,8:00,0,3,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,1,0,-2.5,+4
10,11,11,2004-11-23,24-259,SAC,,HOU,W (+6),0,6:00,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,0,0,2,2.6,-2
11,12,12,2004-11-26,24-262,SAC,@,LAL,W (+3),0,14:00,3,3,1.000,0,0,,0,0,,2,2,4,1,0,2,1,4,6,6.6,-1
12,13,13,2004-11-28,24-264,SAC,,MIN,L (-11),0,14:00,2,4,.500,0,1,.000,0,0,,1,0,1,1,0,0,1,0,4,2.4,+5
13,14,14,2004-11-30,24-266,SAC,@,MEM,W (+5),0,16:00,2,4,.500,0,0,,0,0,,0,2,2,3,0,0,0,0,4,4.7,+10
14,15,15,2004-12-01,24-267,SAC,@,NOH,W (+13),0,9:00,2,5,.400,0,0,,0,0,,1,1,2,2,2,0,0,1,4,5.3,+9
15,16,16,2004-12-03,24-269,SAC,,IND,W (+26),0,16:00,0,2,.000,0,2,.000,0,0,,2,1,3,0,0,0,3,0,0,-2.7,-4
16,17,17,2004-12-05,24-271,SAC,,BOS,W (+14),0,12:00,0,2,.000,0,0,,0,0,,2,1,3,1,0,0,2,3,0,-2.2,-9
17,18,18,2004-12-07,24-273,SAC,,CHA,W (+17),0,9:00,1,4,.250,0,0,,1,2,.500,1,0,1,0,0,0,0,0,3,0.9,+7
18,19,19,2004-12-10,24-276,SAC,@,MIN,L (-8),0,7:00,1,2,.500,0,0,,0,0,,1,0,1,1,0,0,1,0,2,1.4,-5
19,20,20,2004-12-11,24-277,SAC,@,IND,W (+5),0,7:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.2,+1
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2004-12-14,24-280,SAC,@,MIL,W (+3),0,5:00,0,0,,0,0,,0,0,,0,1,1,2,2,0,0,0,0,3.7,-1
22,22,22,2004-12-16,24-282,SAC,,LAL,L (-16),0,12:00,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.2,+3
23,23,23,2004-12-19,24-285,SAC,,NOH,W (+36),0,15:00,2,6,.333,0,2,.000,2,4,.500,0,1,1,1,0,0,2,1,6,0.4,+8
24,24,24,2004-12-31,24-297,SAC,@,UTA,W (+7),0,5:00,0,1,.000,0,0,,0,2,.000,0,0,0,0,1,0,0,0,0,-0.5,+8
25,25,25,2005-01-11,24-308,SAC,,DEN,W (+9),0,6:00,2,2,1.000,1,1,1.000,0,0,,1,2,3,0,0,0,0,2,5,4.9,+4
26,26,26,2005-01-13,24-310,SAC,,UTA,W (+14),0,19:00,2,3,.667,0,0,,2,2,1.000,0,1,1,4,0,0,2,1,6,5.4,+12
27,27,27,2005-01-20,24-317,SAC,,CLE,W (+27),0,4:00,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,3.7,+1
28,28,28,2005-01-23,24-320,SAC,,SAS,L (-30),0,6:00,1,2,.500,0,0,,0,0,,0,2,2,2,0,0,1,1,2,1.6,-2
29,29,29,2005-01-25,24-322,SAC,,NJN,W (+20),0,5:00,0,1,.000,0,1,.000,2,2,1.000,0,3,3,1,0,0,2,1,2,0.5,-4
30,30,30,2005-01-27,24-324,SAC,@,SAS,L (-10),1,30:00,3,5,.600,0,0,,2,3,.667,1,4,5,1,1,1,3,3,8,5.4,-11
31,31,31,2005-01-28,24-325,SAC,@,HOU,W (+6),1,38:00,2,5,.400,0,0,,0,0,,3,2,5,0,0,0,2,5,4,0.0,+1
32,32,32,2005-01-30,24-327,SAC,@,MIN,W (+10),1,39:00,3,7,.429,0,3,.000,0,0,,2,8,10,2,2,0,0,3,6,8.3,+14
33,33,33,2005-02-01,24-329,SAC,,SEA,L (-5),1,31:00,4,10,.400,1,3,.333,0,0,,2,6,8,2,2,0,0,4,9,8.6,-4
34,34,34,2005-02-02,24-330,SAC,@,GSW,W (+4),1,46:00,3,12,.250,0,0,,4,4,1.000,4,4,8,7,1,0,2,2,10,9.9,+7
35,35,35,2005-02-04,24-332,SAC,,NYK,W (+1),1,40:00,5,10,.500,0,0,,6,7,.857,3,5,8,3,4,0,1,5,16,17.3,+11
36,36,36,2005-02-05,24-333,SAC,@,POR,L (-6),0,20:00,1,4,.250,0,0,,2,5,.400,3,0,3,1,0,0,2,3,4,0.0,-4
37,37,37,2005-02-08,24-336,SAC,,PHO,L (-2),0,6:00,0,0,,0,0,,0,0,,0,0,0,0,2,0,0,0,0,2.0,+3
38,38,38,2005-02-10,24-338,SAC,@,SEA,L (-8),0,14:00,0,0,,0,0,,1,2,.500,0,1,1,1,0,0,0,5,1,-0.4,-4
39,39,39,2005-02-11,24-339,SAC,,DAL,L (-2),0,14:00,1,1,1.000,0,0,,0,0,,0,1,1,4,3,0,1,2,2,6.0,+11
40,40,40,2005-02-13,24-341,SAC,@,BOS,W (+4),0,21:00,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,1,3,0,-1.6,-3
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,41,2005-02-15,24-343,SAC,@,CHI,L (-5),1,24:00,0,1,.000,0,0,,0,2,.000,3,2,5,0,0,0,0,4,0,-0.4,+10
43,42,42,2005-02-16,24-344,SAC,@,NJN,L (-11),1,24:00,1,3,.333,0,1,.000,2,2,1.000,1,1,2,2,2,0,2,3,4,3.5,+1
44,43,43,2005-02-22,24-350,SAC,,ATL,W (+10),1,35:00,4,10,.400,0,0,,2,3,.667,5,5,10,3,2,1,2,2,10,11.2,+15
