,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2004-11-23,22-276,HOU,@,SAC,L (-6),0,18:00,2,3,.667,2,2,1.000,0,0,,0,3,3,2,0,0,0,1,6,6.6,0
1,2,2,2004-11-26,22-279,HOU,@,UTA,L (-10),0,15:00,2,4,.500,0,2,.000,0,0,,1,1,2,2,2,0,0,1,4,6.0,+6
2,3,3,2004-11-27,22-280,HOU,,DEN,L (-6),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-5
3,4,4,2004-11-30,22-283,HOU,,DET,L (-21),0,2:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.8,-2
4,5,5,2004-12-02,22-285,HOU,@,DAL,L (-7),0,21:00,2,7,.286,2,6,.333,0,0,,1,0,1,3,1,0,0,2,6,4.9,+7
5,6,6,2004-12-04,22-287,HOU,,PHI,W (+1),0,24:00,2,5,.400,1,4,.250,3,4,.750,1,0,1,1,3,0,1,4,8,6.7,+5
6,7,7,2004-12-07,22-290,HOU,,NOH,W (+8),0,28:00,5,7,.714,1,3,.333,3,4,.750,0,0,0,4,0,0,1,5,14,10.5,+2
7,8,8,2004-12-09,22-292,HOU,,SAS,W (+1),0,30:00,1,6,.167,0,1,.000,0,0,,0,2,2,4,2,0,3,0,2,0.6,+4
8,9,9,2004-12-11,22-294,HOU,,DAL,L (-24),0,25:00,1,5,.200,1,2,.500,0,0,,0,1,1,6,0,0,0,1,3,4.0,-7
9,10,10,2004-12-15,22-298,HOU,,ATL,W (+23),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
10,11,11,2005-01-02,22-316,HOU,,UTA,W (+19),0,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
11,12,12,2005-01-05,22-319,HOU,,PHO,L (-10),0,21:00,1,4,.250,1,2,.500,0,0,,0,1,1,4,1,0,2,3,3,1.5,-1
12,13,13,2005-01-07,22-321,HOU,@,LAL,L (-7),0,7:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,2,2.0,-6
13,14,14,2005-01-09,22-323,HOU,@,DEN,W (+18),0,20:00,2,4,.500,1,2,.500,0,0,,0,1,1,2,0,0,2,1,5,2.3,+6
