,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2004-11-03,32-114,NJN,,MIA,L (-23),0,14:00,3,6,.500,0,0,,0,0,,1,1,2,1,0,0,0,1,6,4.3,+3
1,2,2,2004-11-05,32-116,NJN,@,CHI,W (+5),0,21:00,2,5,.400,1,2,.500,0,0,,0,2,2,0,0,0,2,3,5,-0.3,-1
2,3,3,2004-11-06,32-117,NJN,,PHO,L (-32),0,14:00,1,4,.250,0,0,,1,1,1.000,0,2,2,2,1,0,1,1,3,2.2,-5
3,4,4,2004-11-13,32-124,NJN,,DAL,L (-16),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
4,5,5,2004-11-15,32-126,NJN,,HOU,L (-11),0,11:00,2,5,.400,0,0,,0,0,,0,1,1,2,0,0,1,0,4,2.0,+6
5,6,6,2004-11-17,32-128,NJN,,SEA,L (-11),0,17:00,5,10,.500,0,1,.000,3,3,1.000,0,1,1,0,0,0,1,2,13,6.5,-17
6,7,7,2004-11-20,32-131,NJN,,WAS,L (-11),0,23:00,3,8,.375,0,1,.000,5,6,.833,0,1,1,1,1,0,2,6,11,3.8,-14
7,8,8,2004-11-23,32-134,NJN,@,DEN,L (-2),0,24:00,5,13,.385,1,1,1.000,0,0,,1,3,4,7,2,1,0,1,11,12.7,+14
8,9,9,2004-11-25,32-136,NJN,@,LAC,L (-13),0,25:00,6,9,.667,0,1,.000,4,4,1.000,0,0,0,2,0,0,2,3,16,10.3,-9
9,10,10,2004-11-26,32-137,NJN,@,SEA,L (-13),1,40:00,3,11,.273,0,1,.000,0,0,,0,3,3,2,2,0,2,2,6,1.0,-9
10,11,11,2004-11-28,32-139,NJN,@,POR,L (-12),1,37:00,7,12,.583,1,2,.500,0,0,,0,1,1,4,1,0,1,2,15,11.7,-12
11,12,12,2004-11-30,32-141,NJN,,CHA,W (+13),1,34:00,3,6,.500,0,0,,3,4,.750,0,5,5,6,2,0,1,4,9,10.7,+4
12,13,13,2004-12-01,32-142,NJN,@,WAS,L (-27),1,29:00,7,11,.636,0,0,,2,2,1.000,0,0,0,1,0,1,3,6,16,7.1,-16
13,14,14,2004-12-04,32-145,NJN,,ATL,W (+21),1,26:00,5,9,.556,0,0,,4,4,1.000,0,2,2,3,1,0,1,3,14,11.2,+15
14,15,15,2004-12-06,32-147,NJN,,TOR,W (+2),0,25:00,3,13,.231,0,1,.000,0,0,,0,2,2,3,1,0,0,2,6,1.0,-10
15,16,16,2004-12-07,32-148,NJN,@,CLE,L (-6),0,30:00,4,9,.444,0,1,.000,3,3,1.000,0,2,2,3,1,0,1,3,11,7.8,-1
16,17,17,2004-12-10,32-151,NJN,,NOH,W (+3),0,30:00,3,8,.375,1,4,.250,3,3,1.000,0,5,5,9,1,0,3,4,10,9.8,-2
17,18,18,2004-12-11,32-152,NJN,@,ATL,W (+5),1,38:00,7,19,.368,1,2,.500,6,6,1.000,0,1,1,3,2,0,0,3,21,13.7,+4
18,19,19,2004-12-14,32-155,NJN,,NYK,L (-8),0,14:00,0,3,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,1,0,-1.2,-11
19,20,20,2004-12-22,32-163,NJN,,CLE,W (+2),0,7:00,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,0,2,3.1,0
