,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2004-11-02,26-173,SAC,@,DAL,L (-9),1,28:00,2,8,.250,1,2,.500,3,4,.750,1,4,5,6,1,1,3,2,8,6.8,-12
1,2,2,2004-11-03,26-174,SAC,@,SAS,L (-16),1,43:00,9,13,.692,1,1,1.000,4,4,1.000,0,3,3,3,1,0,3,3,23,17.3,-12
2,3,3,2004-11-06,26-177,SAC,@,HOU,L (-3),1,46:00,10,20,.500,3,4,.750,8,9,.889,1,6,7,7,0,0,5,0,31,23.0,+1
3,4,4,2004-11-09,26-180,SAC,,TOR,W (+16),1,34:00,3,9,.333,0,3,.000,2,2,1.000,0,7,7,11,1,0,1,3,8,11.5,+26
4,5,5,2004-11-10,26-181,SAC,@,SEA,L (-30),1,28:00,2,7,.286,0,2,.000,5,10,.500,2,1,3,5,0,0,1,1,9,6.7,-17
5,6,6,2004-11-13,26-184,SAC,@,PHO,W (+2),1,39:00,7,13,.538,2,4,.500,4,4,1.000,1,1,2,7,2,0,0,3,20,20.4,+4
6,7,7,2004-11-14,26-185,SAC,,DEN,W (+12),1,41:00,5,14,.357,3,7,.429,7,9,.778,0,2,2,5,2,1,6,2,20,11.4,+20
7,8,8,2004-11-16,26-187,SAC,,CHI,W (+7),1,41:00,8,13,.615,6,10,.600,5,8,.625,2,2,4,4,1,0,2,3,27,22.5,+2
8,9,9,2004-11-19,26-190,SAC,,MEM,W (+2),1,37:00,7,13,.538,1,3,.333,3,4,.750,0,4,4,5,1,0,0,2,18,16.2,0
9,10,10,2004-11-21,26-192,SAC,,MIL,W (+9),1,38:00,3,12,.250,0,1,.000,6,7,.857,0,6,6,5,1,0,2,1,12,8.3,+7
10,11,11,2004-11-23,26-194,SAC,,HOU,W (+6),1,39:00,4,11,.364,0,5,.000,2,2,1.000,2,7,9,8,1,1,2,1,10,12.3,0
11,12,12,2004-11-26,26-197,SAC,@,LAL,W (+3),1,39:00,5,12,.417,3,5,.600,1,1,1.000,0,2,2,5,4,1,2,1,14,14.0,+19
12,13,13,2004-11-28,26-199,SAC,,MIN,L (-11),1,40:00,8,16,.500,2,4,.500,4,5,.800,0,2,2,7,1,1,0,3,22,19.6,-5
13,14,14,2004-11-30,26-201,SAC,@,MEM,W (+5),1,30:00,3,10,.300,1,1,1.000,0,0,,1,0,1,3,1,0,1,2,7,3.2,-6
14,15,15,2004-12-01,26-202,SAC,@,NOH,W (+13),1,32:00,1,9,.111,0,4,.000,1,2,.500,2,5,7,5,0,0,4,1,3,-1.3,+19
15,16,16,2004-12-03,26-204,SAC,,IND,W (+26),1,26:00,5,10,.500,0,3,.000,2,2,1.000,1,4,5,6,2,0,0,3,12,13.9,+25
16,17,17,2004-12-05,26-206,SAC,,BOS,W (+14),1,39:00,5,9,.556,0,0,,5,6,.833,0,0,0,10,0,0,1,1,15,15.9,+27
17,18,18,2004-12-07,26-208,SAC,,CHA,W (+17),1,31:00,3,12,.250,1,5,.200,0,0,,2,5,7,6,2,1,2,2,7,6.8,+3
18,19,19,2004-12-10,26-211,SAC,@,MIN,L (-8),1,40:00,6,14,.429,2,4,.500,7,8,.875,1,3,4,7,2,0,2,2,21,18.9,+1
19,20,20,2004-12-11,26-212,SAC,@,IND,W (+5),1,43:00,9,16,.563,1,3,.333,2,3,.667,1,5,6,5,2,0,4,2,21,15.9,+2
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2004-12-14,26-215,SAC,@,MIL,W (+3),1,41:00,9,19,.474,1,5,.200,8,8,1.000,4,6,10,9,4,0,2,1,27,29.8,+15
22,22,22,2004-12-16,26-217,SAC,,LAL,L (-16),1,36:00,7,15,.467,1,4,.250,2,3,.667,2,0,2,2,1,0,2,3,17,9.5,-19
23,23,23,2004-12-19,26-220,SAC,,NOH,W (+36),1,25:00,5,9,.556,1,3,.333,5,6,.833,1,2,3,5,1,0,3,3,16,12.9,+16
