,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2004-11-02,28-038,DET,,HOU,W (+8),1,38:00,6,12,.500,3,6,.500,2,2,1.000,0,7,7,5,3,0,3,1,17,16.2,+12
1,2,2,2004-11-05,28-041,DET,@,TOR,L (-12),1,38:00,8,17,.471,4,4,1.000,4,6,.667,2,2,4,6,1,0,3,3,24,17.5,-6
2,3,3,2004-11-06,28-042,DET,,PHI,W (+8),1,36:00,6,12,.500,4,6,.667,4,5,.800,1,6,7,10,0,0,1,4,20,20.5,+6
3,4,4,2004-11-08,28-044,DET,@,LAC,W (+3),1,50:00,4,10,.400,2,6,.333,10,10,1.000,0,5,5,9,3,0,4,2,20,20.6,+2
4,5,5,2004-11-11,28-047,DET,@,DEN,L (-8),1,30:00,5,6,.833,3,4,.750,3,3,1.000,1,2,3,5,1,0,3,1,16,16.2,-6
5,6,6,2004-11-17,28-053,DET,,MIN,W (+8),1,35:00,7,16,.438,2,5,.400,5,5,1.000,1,4,5,8,1,0,2,2,21,18.3,+11
6,7,7,2004-11-19,28-055,DET,,IND,L (-15),1,40:00,3,10,.300,0,5,.000,7,7,1.000,0,7,7,5,1,0,1,2,13,12.0,-7
7,8,8,2004-11-23,28-059,DET,@,CHA,L (-2),1,38:00,7,12,.583,2,4,.500,8,9,.889,0,0,0,7,1,0,4,5,24,17.9,+7
8,9,9,2004-11-24,28-060,DET,@,CLE,L (-16),1,37:00,2,6,.333,1,1,1.000,2,2,1.000,2,3,5,6,3,0,3,4,7,8.5,-13
9,10,10,2004-11-26,28-062,DET,,MIA,W (+1),1,42:00,4,11,.364,2,5,.400,5,6,.833,0,3,3,7,0,0,2,2,15,11.5,+1
10,11,11,2004-11-27,28-063,DET,@,MIL,L (-6),1,39:00,3,8,.375,0,4,.000,5,6,.833,0,3,3,3,2,0,2,3,11,8.0,-1
11,12,12,2004-11-30,28-066,DET,@,HOU,W (+21),1,41:00,5,14,.357,2,6,.333,6,6,1.000,2,3,5,8,3,0,0,1,18,20.7,+17
12,13,13,2004-12-03,28-069,DET,@,SAS,L (-3),1,30:00,5,9,.556,4,4,1.000,4,4,1.000,0,0,0,4,1,0,4,3,18,12.3,-7
13,14,14,2004-12-04,28-070,DET,@,NOH,W (+23),1,41:00,2,9,.222,0,5,.000,5,5,1.000,0,3,3,8,3,0,4,4,9,7.4,+21
14,15,15,2004-12-06,28-072,DET,@,DAL,W (+16),1,36:00,7,14,.500,2,7,.286,8,10,.800,1,3,4,8,2,1,1,2,24,24.3,+13
15,16,16,2004-12-08,28-074,DET,,TOR,W (+4),1,37:00,2,13,.154,0,6,.000,8,9,.889,0,7,7,6,0,0,2,3,12,6.4,+3
16,17,17,2004-12-10,28-076,DET,,ATL,L (-16),1,24:00,2,9,.222,2,5,.400,2,2,1.000,0,2,2,4,0,0,1,4,8,3.3,-9
17,18,18,2004-12-11,28-077,DET,@,MEM,L (-4),1,40:00,2,10,.200,1,4,.250,4,4,1.000,0,3,3,2,1,0,3,3,9,1.9,-13
18,19,19,2004-12-15,28-081,DET,@,NYK,W (+1),1,37:00,6,18,.333,1,4,.250,2,2,1.000,3,4,7,4,0,0,1,4,15,8.3,0
19,20,20,2004-12-16,28-082,DET,,CLE,W (+12),1,42:00,6,15,.400,2,3,.667,2,2,1.000,0,5,5,6,2,1,0,2,16,15.5,+12
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2004-12-18,28-084,DET,,POR,L (-1),1,39:00,5,15,.333,3,6,.500,3,5,.600,1,3,4,8,4,0,3,3,16,13.7,+4
22,22,22,2004-12-22,28-088,DET,,CHI,L (-7),1,38:00,9,16,.563,4,7,.571,10,10,1.000,1,2,3,7,1,0,2,4,32,28.0,+4
23,23,23,2004-12-25,28-091,DET,@,IND,W (+5),1,39:00,6,16,.375,4,6,.667,4,5,.800,1,3,4,5,1,0,4,1,20,12.5,+3
24,24,24,2004-12-27,28-093,DET,,NJN,W (+10),1,45:00,3,9,.333,1,6,.167,6,6,1.000,0,3,3,9,2,0,6,4,13,9.5,+17
25,25,25,2004-12-29,28-095,DET,@,WAS,W (+2),1,40:00,11,16,.688,6,8,.750,4,4,1.000,0,2,2,6,2,1,4,3,32,27.5,+9
26,26,26,2004-12-30,28-096,DET,,MIA,L (-11),1,38:00,2,11,.182,0,3,.000,4,4,1.000,0,4,4,6,1,0,1,4,8,4.9,-19
27,27,27,2005-01-02,28-099,DET,,BOS,W (+12),1,41:00,4,12,.333,2,9,.222,2,2,1.000,0,4,4,8,2,0,2,2,12,11.2,+16
28,28,28,2005-01-03,28-100,DET,@,CHI,W (+7),1,32:00,3,7,.429,0,2,.000,2,2,1.000,0,1,1,4,1,1,4,5,8,3.1,-2
29,29,29,2005-01-06,28-103,DET,,MEM,L (-22),1,31:00,3,9,.333,2,5,.400,0,1,.000,0,1,1,5,1,0,6,2,8,0.5,-26
30,30,30,2005-01-07,28-104,DET,@,BOS,W (+6),1,39:00,6,8,.750,4,4,1.000,6,8,.750,0,2,2,5,1,1,1,2,22,22.0,-9
31,31,31,2005-01-11,28-108,DET,@,NJN,W (+9),1,39:00,2,7,.286,1,3,.333,6,6,1.000,1,5,6,4,0,0,3,3,11,7.7,-6
32,32,32,2005-01-12,28-109,DET,,NOH,W (+14),1,35:00,7,13,.538,3,7,.429,8,8,1.000,1,3,4,4,1,0,1,2,25,22.3,+14
33,33,33,2005-01-14,28-111,DET,,ORL,W (+7),1,37:00,5,12,.417,2,5,.400,7,8,.875,0,2,2,9,2,0,2,2,19,18.3,+2
