,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2005-11-23,31-327,MIA,,POR,W (+21),0,3:16,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-2
1,2,2,2005-11-25,31-329,MIA,,DAL,L (-13),0,4:18,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.0,-1
2,3,3,2005-11-30,31-334,MIA,@,ATL,W (+22),0,16:53,4,5,.800,0,1,.000,2,3,.667,1,3,4,0,0,1,0,1,10,9.6,+10
3,4,4,2005-12-02,31-336,MIA,@,SAC,W (+11),0,13:31,1,3,.333,0,1,.000,0,0,,0,4,4,0,1,1,1,0,2,2.2,0
4,5,5,2005-12-03,31-337,MIA,@,DEN,L (-2),0,4:32,0,3,.000,0,0,,0,0,,2,1,3,0,0,0,1,0,0,-1.4,-7
5,6,6,2005-12-05,31-339,MIA,@,LAC,L (-10),0,12:00,2,4,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,2,5,3.2,+1
6,7,7,2005-12-07,31-341,MIA,@,SAS,L (-14),0,8:34,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-4
7,8,8,2005-12-11,31-345,MIA,,WAS,W (+3),0,1:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5
8,9,9,2005-12-13,31-347,MIA,@,CHI,W (+3),0,20:14,1,4,.250,0,0,,1,1,1.000,0,0,0,0,0,0,0,3,3,-0.6,0
9,10,10,2005-12-14,31-348,MIA,@,MIL,W (+17),0,10:27,0,2,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0,-0.1,-9
10,11,11,2005-12-16,31-350,MIA,@,PHI,W (+7),0,5:15,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,2,2,2.3,+4
11,12,12,2005-12-17,31-351,MIA,@,CLE,L (-8),0,10:50,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-9
12,13,13,2006-01-01,32-001,MIA,,MIN,W (+27),0,3:35,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,1,0,0,-0.7,-5
13,14,14,2006-01-06,32-006,MIA,@,PHO,L (-18),0,30:00,2,12,.167,0,0,,0,0,,0,1,1,3,1,0,2,1,4,-2.6,+4
14,15,15,2006-01-08,32-008,MIA,@,POR,W (+29),0,7:30,0,2,.000,0,0,,0,0,,0,2,2,0,1,0,0,0,0,0.2,-1
15,16,16,2006-02-02,32-033,MIA,,CLE,W (+28),0,2:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,0
16,17,17,2006-02-04,32-035,MIA,@,NJN,L (-13),0,0:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
17,18,18,2006-02-06,32-037,MIA,,BOS,W (+16),0,14:58,1,2,.500,0,0,,0,0,,1,3,4,1,1,2,1,3,2,3.5,+12
18,19,19,2006-02-09,32-040,MIA,@,DAL,L (-36),0,21:44,2,4,.500,0,0,,0,0,,1,0,1,0,0,2,2,1,4,1.7,-15
19,20,20,2006-02-12,32-043,MIA,,DET,W (+2),0,15:59,1,4,.250,0,0,,0,0,,0,2,2,0,2,0,0,1,2,1.8,+9
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2006-02-14,32-045,MIA,,ORL,W (+14),0,12:51,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,6,2,0.3,+2
22,22,22,2006-02-15,32-046,MIA,@,ORL,W (+10),0,11:41,1,1,1.000,0,0,,0,0,,0,0,0,1,1,0,1,5,2,0.4,+2
23,23,23,2006-02-22,32-053,MIA,@,NYK,W (+20),0,12:55,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,2,2,0,-3.6,0
24,24,24,2006-02-25,32-056,MIA,,SEA,W (+9),0,11:48,1,1,1.000,0,0,,0,0,,0,2,2,0,1,0,0,0,2,3.3,0
25,25,25,2006-02-27,32-058,MIA,,TOR,W (+7),0,13:47,3,5,.600,0,0,,0,0,,0,1,1,0,0,0,1,1,6,2.6,+10
26,26,26,2006-03-01,32-060,MIA,@,BOS,W (+7),0,23:07,5,7,.714,0,0,,5,7,.714,1,5,6,1,0,0,0,5,15,12.2,+9
27,27,27,2006-03-04,32-063,MIA,,ATL,W (+2),0,16:46,2,4,.500,0,0,,1,2,.500,0,1,1,0,1,0,1,1,5,2.5,-4
28,28,28,2006-03-06,32-065,MIA,@,CHA,W (+1),0,7:59,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,3,0,-1.2,+1
29,29,29,2006-03-08,32-067,MIA,,WAS,W (+6),0,7:06,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,2,0,-0.1,-4
30,30,30,2006-03-10,32-069,MIA,,GSW,L (-5),0,11:18,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,1,2,2,0.6,-2
31,31,31,2006-03-14,32-073,MIA,,UTA,W (+38),0,10:37,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,0,0,5,4.0,-1
32,32,32,2006-03-16,32-075,MIA,,BOS,W (+3),0,4:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-7
33,33,33,2006-03-19,32-078,MIA,@,NYK,W (+11),0,22:25,3,6,.500,0,0,,2,2,1.000,2,2,4,0,1,0,0,0,8,8.0,-12
34,34,34,2006-03-21,32-080,MIA,@,MIN,L (-4),0,12:56,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,1,0,0.5,+4
35,35,35,2006-03-22,32-081,MIA,@,DET,L (-9),0,8:24,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1.5,-9
36,36,36,2006-03-24,32-083,MIA,,CHA,W (+21),0,12:37,1,3,.333,0,0,,0,0,,2,3,5,1,1,0,1,1,2,2.9,-3
37,37,37,2006-03-27,32-086,MIA,,IND,W (+5),0,15:38,2,3,.667,0,1,.000,1,1,1.000,2,0,2,0,0,0,0,0,5,5.1,+9
