,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2005-11-02,25-082,TOR,,WAS,L (-3),0,4:57,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,1,2,2,0.9,-11
1,2,2,2005-11-04,25-084,TOR,,NJN,L (-10),0,5:09,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,2,0,-2.2,-6
2,3,3,2005-11-05,25-085,TOR,@,DET,L (-33),1,7:42,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-7
3,4,4,2005-11-07,25-087,TOR,,CLE,L (-12),0,5:44,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,1,1,2,1.6,0
4,5,5,2005-11-13,25-093,TOR,,SEA,L (-5),0,3:31,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+1
5,6,6,2005-11-15,25-095,TOR,@,PHI,L (-12),0,6:03,1,4,.250,0,0,,0,0,,1,0,1,0,0,0,0,2,2,-0.5,-2
6,7,7,2005-11-16,25-096,TOR,,PHI,L (-6),0,3:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
7,8,8,2005-11-18,25-098,TOR,@,BOS,L (-7),0,4:33,0,1,.000,0,0,,1,2,.500,0,2,2,0,0,0,0,2,1,-0.3,+6
8,9,9,2005-11-20,25-100,TOR,,MIA,W (+13),1,19:43,1,2,.500,0,0,,0,2,.000,2,4,6,1,0,0,2,2,2,0.7,-3
9,10,10,2005-11-22,25-102,TOR,@,PHO,L (-8),1,11:06,1,4,.250,0,0,,0,2,.000,3,1,4,0,1,0,0,2,2,1.4,+10
10,11,11,2005-11-23,25-103,TOR,@,LAC,L (-3),1,14:06,4,6,.667,0,0,,0,0,,2,1,3,0,1,0,2,2,8,5.3,-6
11,12,12,2005-11-25,25-105,TOR,@,SAC,L (-2),1,22:08,6,8,.750,0,0,,2,2,1.000,2,4,6,0,1,0,1,2,14,12.6,-8
12,13,13,2005-11-26,25-106,TOR,@,GSW,L (-26),1,18:36,1,4,.250,0,0,,0,0,,1,3,4,0,0,0,3,2,2,-2.6,-17
13,14,14,2005-11-28,25-108,TOR,,DAL,L (-2),1,10:19,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,2,2,0,-2.2,-9
14,15,15,2005-11-30,25-110,TOR,,MEM,L (-26),1,12:50,0,2,.000,0,0,,0,0,,0,4,4,0,0,0,1,2,0,-2.0,-7
15,16,16,2005-12-02,25-112,TOR,@,ATL,W (+1),1,10:09,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,2,0.5,-4
16,17,17,2005-12-03,25-113,TOR,@,NJN,W (+13),1,19:51,2,4,.500,0,0,,2,2,1.000,1,4,5,1,0,0,1,2,6,4.8,-3
17,18,18,2005-12-06,25-116,TOR,@,WAS,L (-8),1,12:18,2,3,.667,0,0,,0,0,,1,1,2,0,2,0,1,4,4,3.1,-16
18,19,19,2005-12-07,25-117,TOR,,LAL,L (-11),1,10:27,2,5,.400,0,0,,0,0,,0,0,0,0,1,0,1,1,4,0.9,-10
19,20,20,2005-12-10,25-120,TOR,@,CHA,W (+8),1,13:00,2,4,.500,0,0,,0,0,,1,5,6,0,0,0,0,3,4,3.0,+4
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2005-12-14,25-124,TOR,,CHI,L (-11),1,10:45,1,2,.500,0,0,,0,0,,0,2,2,0,2,0,1,3,2,1.4,-5
22,22,22,2005-12-16,25-126,TOR,,GSW,L (-10),1,11:54,0,2,.000,0,0,,0,0,,1,1,2,1,0,0,0,1,0,-0.1,+4
23,23,23,2005-12-18,25-128,TOR,,PHI,L (-27),1,27:30,0,3,.000,0,0,,0,0,,2,5,7,0,1,0,1,3,0,-0.4,-15
24,24,24,2005-12-19,25-129,TOR,@,ORL,W (+2),1,13:09,0,1,.000,0,0,,0,0,,1,3,4,0,0,1,0,2,0,0.8,-9
25,25,25,2005-12-21,25-131,TOR,@,HOU,W (+13),1,12:39,0,0,,0,0,,0,0,,0,6,6,0,0,1,2,3,0,-0.7,+4
26,26,26,2005-12-23,25-133,TOR,@,SAS,L (-5),1,12:11,2,3,.667,0,0,,0,0,,0,3,3,0,1,0,0,5,4,2.6,0
27,27,27,2005-12-27,25-137,TOR,@,DET,L (-7),1,10:51,3,7,.429,0,0,,0,0,,1,1,2,0,0,0,0,0,6,3.3,-6
28,28,28,2005-12-28,25-138,TOR,,ATL,W (+6),1,12:34,0,6,.000,0,0,,0,0,,3,0,3,1,0,0,1,3,0,-3.6,+9
29,29,29,2005-12-30,25-140,TOR,@,IND,W (+2),1,6:33,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-8
30,30,30,2006-01-03,25-144,TOR,@,ATL,W (+11),1,12:15,0,0,,0,0,,0,0,,1,3,4,0,0,0,1,4,0,-1.0,-4
31,31,31,2006-01-04,25-145,TOR,,ORL,W (+24),1,17:31,2,5,.400,0,0,,0,0,,3,6,9,0,0,1,1,4,4,3.3,+8
32,32,32,2006-01-06,25-147,TOR,,HOU,W (+20),0,5:30,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-1.1,+5
33,33,33,2006-01-08,25-149,TOR,,NJN,L (-1),1,13:00,2,2,1.000,0,0,,0,0,,1,3,4,0,0,1,1,1,4,4.3,-1
34,34,34,2006-01-09,25-150,TOR,@,CHI,L (-9),1,3:55,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,3,0,-0.2,-4
35,35,35,2006-01-11,25-152,TOR,,CHA,W (+9),1,13:25,0,1,.000,0,0,,0,0,,0,2,2,2,2,1,1,4,0,1.4,+6
36,36,36,2006-01-15,25-156,TOR,,NYK,W (+26),1,18:04,1,2,.500,0,0,,1,2,.500,1,4,5,0,0,0,1,2,3,1.7,+12
37,37,37,2006-01-17,25-158,TOR,@,UTA,L (-13),1,12:41,0,2,.000,0,0,,0,0,,1,2,3,0,1,0,1,0,0,-0.1,-7
38,38,38,2006-01-18,25-159,TOR,@,POR,L (-2),1,10:16,0,1,.000,0,0,,0,0,,0,2,2,1,1,0,2,1,0,-0.8,-8
39,39,39,2006-03-14,25-214,TOR,@,PHI,W (+14),0,3:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5
