,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2005-11-02,22-061,ATL,@,GSW,L (-25),0,6:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-8
1,2,2,2005-11-04,22-063,ATL,@,LAC,L (-15),0,7:44,1,2,.500,0,0,,0,0,,1,1,2,0,1,0,0,2,2,2.2,-3
2,3,3,2005-11-05,22-064,ATL,@,POR,L (-1),1,14:55,0,1,.000,0,0,,0,0,,1,2,3,0,1,0,0,3,0,0.4,-3
3,4,4,2005-11-08,22-067,ATL,,LAL,L (-6),0,1:55,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-5
4,5,5,2005-11-10,22-069,ATL,,LAC,L (-7),0,0:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
5,6,6,2005-11-12,22-071,ATL,,MEM,L (-1),0,6:31,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,+5
6,7,7,2005-11-17,22-076,ATL,@,DAL,L (-9),0,2:51,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-4
7,8,8,2005-11-18,22-077,ATL,@,NOK,L (-3),0,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4
8,9,9,2005-11-25,22-084,ATL,@,IND,W (+2),0,7:06,1,2,.500,0,0,,0,0,,1,0,1,0,1,0,0,3,2,1.5,-1
9,10,10,2005-12-04,22-093,ATL,@,PHO,L (-18),0,15:14,3,7,.429,0,0,,6,7,.857,3,2,5,0,1,1,1,4,12,9.7,+14
10,11,11,2005-12-06,22-095,ATL,@,DEN,L (-9),1,16:33,0,2,.000,0,0,,4,4,1.000,1,3,4,0,0,1,1,4,4,2.3,-6
11,12,12,2005-12-07,22-096,ATL,@,UTA,L (-12),1,8:57,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,4,0,-1.6,+7
12,13,13,2005-12-14,22-103,ATL,@,PHI,L (-5),0,6:27,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,2,1,0,-2.4,-10
13,14,14,2005-12-20,22-109,ATL,@,MIA,L (-19),0,6:47,0,2,.000,0,0,,1,4,.250,2,0,2,0,1,0,0,2,1,0.0,+8
14,15,15,2006-01-10,22-130,ATL,,BOS,L (-4),0,1:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
15,16,16,2006-01-11,22-131,ATL,@,WAS,L (-31),0,2:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
16,17,17,2006-01-13,22-133,ATL,@,NYK,L (-11),0,1:35,1,3,.333,0,1,.000,0,0,,2,0,2,0,0,0,0,0,2,1.7,+3
17,18,18,2006-01-14,22-134,ATL,,WAS,L (-8),0,0:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+1
18,19,19,2006-01-18,22-138,ATL,,DET,L (-28),0,3:55,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2
19,20,20,2006-01-20,22-140,ATL,,MIL,L (-16),0,3:33,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-0.1,+1
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2006-01-25,22-145,ATL,,CLE,L (-9),0,7:44,0,0,,0,0,,2,2,1.000,1,1,2,0,0,0,0,2,2,2.2,-4
22,22,22,2006-01-30,22-150,ATL,,NYK,W (+19),0,11:19,0,1,.000,0,0,,2,2,1.000,2,1,3,0,0,1,1,6,2,0.3,-6
23,23,23,2006-02-01,22-152,ATL,@,CHA,W (+10),0,6:31,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,2,3,2,-1.5,-4
24,24,24,2006-02-03,22-154,ATL,,ORL,W (+2),0,1:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-6
25,25,25,2006-02-04,22-155,ATL,@,WAS,L (-13),0,9:19,1,2,.500,0,0,,0,0,,1,5,6,0,0,0,1,3,2,1.0,+15
26,26,26,2006-02-07,22-158,ATL,,DET,W (+1),0,8:43,1,2,.500,0,0,,0,0,,1,2,3,0,1,0,2,2,2,0.5,+3
27,27,27,2006-02-10,22-161,ATL,@,SEA,L (-8),0,7:38,0,0,,0,0,,1,2,.500,1,1,2,0,0,0,2,1,1,-0.8,-3
