,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2006-10-31,28-126,CHI,@,MIA,W (+42),0,13:42,2,6,.333,0,0,,0,0,,1,2,3,1,1,1,0,1,4,3.9,+19
1,2,2,2006-11-01,28-127,CHI,@,ORL,L (-15),0,22:43,3,9,.333,0,1,.000,1,1,1.000,2,1,3,0,1,0,1,3,7,2.4,+6
2,3,3,2006-11-03,28-129,CHI,,SAC,L (-1),0,5:25,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,+3
3,4,4,2006-11-06,28-132,CHI,,MIL,W (+25),0,4:07,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,1,0,0,0,4,5.0,+5
4,5,5,2006-11-09,28-135,CHI,@,CLE,L (-19),0,10:18,3,6,.500,0,0,,0,0,,2,0,2,1,0,0,0,1,6,4.7,-5
5,6,6,2006-11-14,28-140,CHI,@,DAL,L (-12),0,10:32,3,5,.600,0,0,,0,0,,1,3,4,0,0,0,1,2,6,3.5,-2
6,7,7,2006-11-16,28-142,CHI,@,HOU,L (-1),0,12:03,3,4,.750,0,0,,0,0,,1,2,3,0,1,0,0,2,6,5.9,+16
7,8,8,2006-11-17,28-143,CHI,@,SAS,L (-17),0,18:31,2,6,.333,0,0,,0,0,,2,4,6,0,0,0,1,1,4,1.8,-6
8,9,9,2006-11-21,28-147,CHI,@,DEN,L (-4),0,16:09,1,5,.200,0,0,,2,2,1.000,0,3,3,1,0,0,2,2,4,-0.3,-8
9,10,10,2006-11-24,28-150,CHI,@,PHI,L (-15),0,5:33,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6
10,11,11,2006-11-25,28-151,CHI,@,NYK,W (+11),0,25:05,7,13,.538,0,0,,1,2,.500,0,1,1,1,1,2,1,4,15,9.1,+20
11,12,12,2006-11-28,28-154,CHI,,NYK,W (+17),0,11:40,2,6,.333,0,0,,0,0,,1,2,3,0,1,0,0,1,4,2.5,+11
12,13,13,2006-12-04,28-160,CHI,,BOS,W (+18),0,7:39,1,4,.250,0,0,,2,2,1.000,2,2,4,1,0,0,0,1,4,3.9,-6
13,14,14,2006-12-06,28-162,CHI,,PHI,W (+27),0,4:19,2,3,.667,0,0,,0,0,,0,1,1,0,0,0,0,1,4,2.6,-1
14,15,15,2006-12-08,28-164,CHI,,TOR,W (+3),0,9:28,2,4,.500,0,0,,0,0,,1,3,4,0,0,1,0,1,4,3.9,+4
15,16,16,2006-12-09,28-165,CHI,,MIN,L (-10),0,6:30,1,4,.250,0,0,,0,0,,0,1,1,0,0,0,0,2,2,-0.9,-9
16,17,17,2006-12-11,28-167,CHI,,IND,W (+15),0,1:17,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,0
17,18,18,2006-12-13,28-169,CHI,,SEA,W (+15),0,9:19,1,5,.200,0,0,,0,0,,0,1,1,0,0,1,0,1,2,-0.5,-12
18,19,19,2006-12-15,28-171,CHI,,MIL,W (+6),0,2:25,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-8
19,20,20,2006-12-16,28-172,CHI,@,ATL,W (+2),0,14:50,3,3,1.000,0,0,,2,3,.667,2,2,4,0,0,0,0,2,8,7.9,-1
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2006-12-19,28-175,CHI,,LAL,W (+5),0,4:21,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,+4
22,22,22,2006-12-23,28-179,CHI,,CHA,W (+39),0,12:00,4,8,.500,0,0,,0,0,,0,2,2,0,0,0,0,0,8,4.6,+13
23,23,23,2006-12-26,28-182,CHI,@,MIN,L (-2),0,4:20,0,1,.000,0,0,,0,0,,1,0,1,0,0,1,0,0,0,0.7,-3
24,24,24,2006-12-30,28-186,CHI,,CLE,W (+7),0,15:10,5,9,.556,0,0,,0,0,,1,6,7,0,1,1,0,4,10,8.3,+21
25,25,25,2007-01-02,28-189,CHI,,PHO,L (-1),0,8:24,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,2,2,0.5,-7
26,26,26,2007-01-05,28-192,CHI,@,NJN,L (-5),0,16:37,2,5,.400,0,0,,0,2,.000,0,2,2,0,0,0,1,3,4,-1.1,-8
