,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2006-11-10,21-133,ORL,@,IND,L (-10),0,15:12,0,2,.000,0,0,,1,4,.250,0,0,0,2,1,0,0,2,1,0.0,-19
1,2,2,2006-11-11,21-134,ORL,@,MIN,W (+11),0,25:23,4,6,.667,0,0,,2,4,.500,3,2,5,2,2,0,1,2,10,10.9,+11
2,3,3,2006-11-13,21-136,ORL,@,BOS,W (+3),0,18:35,4,7,.571,0,0,,2,4,.500,3,2,5,1,0,1,0,2,10,9.2,+1
3,4,4,2006-11-15,21-138,ORL,,DEN,W (+9),0,21:04,4,6,.667,0,0,,1,1,1.000,3,1,4,1,3,0,3,5,9,7.5,+4
4,5,5,2006-11-18,21-141,ORL,,CHA,W (+14),0,28:34,2,4,.500,0,0,,1,1,1.000,1,5,6,1,1,0,2,3,5,3.7,+11
5,6,6,2006-11-20,21-143,ORL,@,MEM,L (-9),0,5:46,1,1,1.000,0,0,,0,0,,1,1,2,1,0,0,0,1,2,3.0,-6
6,7,7,2006-11-22,21-145,ORL,,IND,W (+5),0,6:22,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-7
7,8,8,2006-11-24,21-147,ORL,@,MIA,W (+3),0,11:37,1,6,.167,0,0,,0,0,,2,2,4,1,0,0,1,0,2,-0.1,-2
8,9,9,2006-11-25,21-148,ORL,,ATL,W (+19),0,21:44,3,8,.375,0,0,,1,2,.500,2,2,4,0,1,2,3,2,7,2.8,+2
9,10,10,2006-11-27,21-150,ORL,@,UTA,W (+13),0,22:08,3,6,.500,0,0,,2,3,.667,4,0,4,1,0,0,1,0,8,7.1,+8
10,11,11,2006-11-29,21-152,ORL,@,SEA,W (+10),0,26:07,4,7,.571,0,0,,0,0,,3,3,6,1,2,1,2,4,8,7.5,+10
11,12,12,2006-12-01,21-154,ORL,@,POR,W (+2),0,17:53,4,5,.800,0,0,,2,3,.667,1,2,3,0,0,0,1,1,10,7.6,+5
12,13,13,2006-12-03,21-156,ORL,@,LAC,L (-25),0,9:31,0,3,.000,0,0,,0,0,,0,1,1,1,0,0,2,1,0,-3.5,-7
13,14,14,2006-12-04,21-157,ORL,@,SAC,W (+3),0,12:35,1,2,.500,0,0,,1,1,1.000,1,5,6,1,0,0,0,0,3,4.9,-1
14,15,15,2006-12-06,21-159,ORL,@,IND,L (-14),0,18:46,0,5,.000,0,0,,0,0,,1,2,3,0,0,0,0,0,0,-2.2,-13
15,16,16,2006-12-08,21-161,ORL,,DET,L (-4),0,22:54,4,5,.800,0,0,,2,7,.286,1,2,3,1,1,0,1,3,10,6.9,+1
16,17,17,2006-12-09,21-162,ORL,,PHI,W (+2),0,21:41,6,9,.667,0,0,,1,2,.500,2,1,3,0,0,0,0,1,13,10.0,+2
17,18,18,2006-12-11,21-164,ORL,,PHO,L (-14),0,25:32,9,14,.643,0,0,,1,3,.333,2,5,7,2,1,0,0,2,19,16.5,+5
18,19,19,2006-12-13,21-166,ORL,,TOR,L (-7),1,31:57,3,7,.429,0,0,,1,2,.500,4,1,5,0,3,0,0,2,7,8.2,-22
19,20,20,2006-12-14,21-167,ORL,@,CHA,L (-10),1,31:11,3,5,.600,0,0,,1,2,.500,1,5,6,2,1,2,5,2,7,4.5,-7
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2006-12-16,21-169,ORL,,CLE,W (+7),1,23:46,2,5,.400,0,0,,0,1,.000,1,2,3,3,1,0,1,4,4,2.7,-9
22,22,22,2006-12-20,21-173,ORL,,NOK,W (+3),1,27:43,7,12,.583,0,1,.000,0,2,.000,1,1,2,3,1,0,1,4,14,9.1,+20
23,23,23,2006-12-22,21-175,ORL,,GSW,L (-9),1,38:41,9,15,.600,0,0,,5,7,.714,1,5,6,4,2,0,3,4,23,17.7,-2
24,24,24,2006-12-23,21-176,ORL,@,CLE,L (-3),1,35:19,5,7,.714,0,0,,3,5,.600,3,3,6,1,1,0,0,5,13,12.0,+1
25,25,25,2006-12-27,21-180,ORL,,LAL,L (-13),0,31:25,5,8,.625,0,0,,1,2,.500,3,3,6,0,2,0,1,2,11,10.2,-21
26,26,26,2006-12-29,21-182,ORL,@,WAS,L (-1),0,25:16,5,8,.625,0,0,,8,9,.889,4,1,5,1,3,0,0,5,18,18.8,+4
27,27,27,2006-12-30,21-183,ORL,,MIA,W (+29),0,35:38,7,11,.636,0,1,.000,2,4,.500,1,9,10,3,2,1,1,2,16,16.7,+20
28,28,28,2007-01-02,21-186,ORL,,LAC,W (+5),0,34:30,5,11,.455,0,0,,4,4,1.000,2,3,5,0,2,0,4,3,14,7.4,+2
29,29,29,2007-01-05,21-189,ORL,,CHA,W (+32),0,33:05,4,6,.667,0,0,,2,2,1.000,2,7,9,5,1,2,4,2,10,12.0,+25
