,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2006-11-04,22-131,DAL,@,HOU,L (-31),0,2:36,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,1,2,2,-1.5,-5
1,2,2,2006-11-14,22-141,DAL,,CHI,W (+12),0,0:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2,3,3,2006-11-18,22-145,DAL,,MEM,W (+5),0,0:39,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,0
3,4,4,2006-11-21,22-148,DAL,,WAS,W (+27),0,3:46,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,1,0,0,0,0.3,+1
4,5,5,2006-11-25,22-152,DAL,,NOK,W (+12),0,3:05,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-7
5,6,6,2006-12-11,22-168,DAL,@,UTA,L (-22),0,4:15,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+4
6,7,7,2006-12-15,22-172,DAL,,PHI,W (+14),0,5:31,1,3,.333,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,1.3,-5
7,8,8,2006-12-18,22-175,DAL,@,SAC,W (+18),0,2:50,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2.7,-3
8,9,9,2006-12-22,22-179,DAL,,LAC,W (+32),0,6:29,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,3,2,-1.2,-5
9,10,10,2006-12-26,22-183,DAL,,CHA,W (+13),0,1:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
10,11,11,2006-12-30,22-187,DAL,,NOK,W (+14),0,1:13,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5
11,12,12,2006-12-31,22-188,DAL,@,DEN,W (+4),0,2:39,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,-2
