,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2006-11-14,21-198,NOK,,CHA,W (+9),1,10:40,1,4,.250,0,0,,0,2,.000,2,1,3,1,0,0,0,4,2,-0.4,-2
1,2,2,2006-11-15,21-199,NOK,@,DET,W (+1),1,28:17,4,10,.400,0,0,,4,4,1.000,3,4,7,1,1,1,1,2,12,10.5,-9
2,3,3,2006-11-18,21-202,NOK,@,MIN,W (+3),1,16:03,0,4,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-3.6,-1
3,4,4,2006-11-21,21-205,NOK,,MIA,W (+15),0,2:44,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
4,5,5,2006-11-25,21-209,NOK,@,DAL,L (-12),0,6:04,1,3,.333,0,0,,2,2,1.000,0,2,2,0,0,0,0,0,4,2.9,+9
5,6,6,2006-11-28,21-212,NOK,,TOR,L (-17),0,2:01,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,3.4,+2
6,7,7,2006-12-01,21-215,NOK,,CHI,L (-3),0,1:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
7,8,8,2006-12-08,21-222,NOK,@,SEA,L (-20),0,4:55,1,1,1.000,0,0,,1,2,.500,0,1,1,0,0,0,2,2,3,-0.2,-2
8,9,9,2006-12-09,21-223,NOK,@,GSW,L (-21),0,2:29,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-2
9,10,10,2006-12-14,21-228,NOK,,SAS,L (-26),0,12:00,1,2,.500,0,0,,0,0,,0,4,4,0,0,0,1,1,2,0.8,-3
10,11,11,2006-12-20,21-234,NOK,@,ORL,L (-3),0,9:02,0,0,,0,0,,2,2,1.000,0,5,5,0,0,0,0,0,2,3.5,+11
11,12,12,2006-12-23,21-237,NOK,,SAS,L (-35),0,16:18,0,4,.000,0,0,,2,2,1.000,4,3,7,0,1,1,1,0,2,3.6,-9
12,13,13,2006-12-30,21-244,NOK,@,DAL,L (-14),0,2:53,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,+4
13,14,14,2007-01-04,21-249,NOK,,DET,L (-24),0,9:07,0,4,.000,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-3.6,-5
14,15,15,2007-01-10,21-255,NOK,@,ATL,W (+19),0,4:00,0,0,,0,0,,0,0,,1,0,1,0,0,0,3,1,0,-2.7,-7
15,16,16,2007-03-27,21-331,NOK,,DAL,L (-16),0,5:18,2,2,1.000,0,0,,1,2,.500,2,1,3,0,0,0,0,1,5,5.3,+15
16,17,17,2007-04-04,21-339,NOK,,SEA,W (+9),0,8:01,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-0.5,+1
17,18,18,2007-04-06,21-341,NOK,,PHO,L (-8),0,6:37,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,1,1,2,-0.8,+1
18,19,19,2007-04-07,21-342,NOK,@,MIN,W (+2),0,4:47,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,-2
19,20,20,2007-04-14,21-349,NOK,@,HOU,L (-11),0,6:05,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,0,0,1.3,-8
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2007-04-16,21-351,NOK,@,SAC,W (+7),0,2:45,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-8
