,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2006-11-01,31-156,IND,@,CHA,W (+7),0,6:36,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,1.3,-7
1,2,2,2006-11-04,31-159,IND,@,NYK,W (+14),0,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
2,3,3,2006-11-17,31-172,IND,,NJN,L (-9),0,4:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+7
3,4,4,2006-11-18,31-173,IND,@,MIL,W (+2),0,1:13,0,0,,0,0,,0,0,,1,1,2,1,0,0,0,0,0,1.7,+3
4,5,5,2006-11-28,31-183,IND,@,POR,W (+8),0,6:39,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,3,2,0.5,-1
5,6,6,2006-12-01,31-186,IND,@,SEA,L (-2),0,12:51,1,1,1.000,0,0,,0,0,,0,3,3,1,0,1,2,3,2,0.8,+8
6,7,7,2006-12-02,31-187,IND,@,DEN,L (-20),0,17:27,0,3,.000,0,0,,3,6,.500,1,3,4,1,0,1,4,3,3,-2.5,-8
7,8,8,2006-12-04,31-189,IND,@,LAL,L (-14),0,21:26,4,6,.667,0,0,,2,2,1.000,1,1,2,1,3,1,3,3,10,8.6,+8
8,9,9,2006-12-06,31-191,IND,,ORL,W (+14),0,8:10,1,1,1.000,0,0,,0,0,,1,1,2,1,0,2,0,2,2,4.0,-2
9,10,10,2006-12-08,31-193,IND,,POR,W (+13),1,20:20,3,3,1.000,0,0,,3,4,.750,0,2,2,0,2,4,0,5,9,11.1,+13
10,11,11,2006-12-09,31-194,IND,@,CLE,L (-32),0,15:10,0,1,.000,0,0,,1,2,.500,1,1,2,0,1,0,1,2,1,0.1,-19
